#Table Version   5
#[Z/Z_SOLAR]=-0.50 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  54  59  66  78  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  2.0000000E+03  3.0000000E+01  1.4757000E+02  4.5232000E+02  1.2743000E+03  3.6459000E+03  1.0272000E+04  2.8489000E+04  8.0121000E+04  2.3304000E+05  6.6777000E+05  1.9195000E+06  5.2530000E+06  1.3553000E+07
  2.2500000E+03  4.5000000E+01  9.8719479E+01  2.9816688E+02  9.3072417E+02  2.2612458E+03  5.5806438E+03  1.5497260E+04  4.4964802E+04  1.3346852E+05  3.9493344E+05  1.1903848E+06  3.5779812E+06  1.0268950E+07
  2.5000000E+03  7.1698000E+01  1.3112000E+02  2.5663000E+02  7.0017000E+02  2.6312000E+03  4.5692000E+03  1.1692000E+04  3.1428000E+04  8.7908000E+04  2.5609000E+05  7.4638000E+05  2.2810000E+06  6.8865000E+06
  2.7500000E+03  1.6967700E+02  3.3455927E+02  5.2326760E+02  1.0357300E+03  2.7389740E+03  5.3890333E+03  1.1736979E+04  2.7516479E+04  7.0083354E+04  1.8759750E+05  5.1426312E+05  1.4749281E+06  4.4250083E+06
  3.0000000E+03  3.4580000E+02  6.9196000E+02  1.1732000E+03  1.8075000E+03  3.6386000E+03  8.0169000E+03  1.3916000E+04  2.8436000E+04  6.3388000E+04  1.5296000E+05  3.8999000E+05  1.0229000E+06  2.8537000E+06
  3.2500000E+03  4.9059375E+02  9.4359354E+02  1.7480552E+03  3.1859500E+03  4.8745625E+03  8.5127500E+03  1.9893167E+04  3.1840438E+04  6.2540302E+04  1.3529344E+05  3.1808708E+05  7.7280031E+05  1.9566688E+06
  3.5000000E+03  4.6364000E+02  9.2505000E+02  1.8233000E+03  3.5339000E+03  6.8038000E+03  1.2978000E+04  2.4260000E+04  4.0653000E+04  7.1780000E+04  1.3728000E+05  2.8529000E+05  6.3189000E+05  1.4717000E+06
  3.7500000E+03  3.8871260E+02  7.7780594E+02  1.5563635E+03  3.1131781E+03  6.1917000E+03  1.2280583E+04  2.4328094E+04  4.5881906E+04  8.0585250E+04  1.4614583E+05  2.8097406E+05  5.6866896E+05  1.2105750E+06
  4.0000000E+03  3.5511330E+02  6.4715000E+02  1.2796000E+03  2.5551000E+03  5.1192000E+03  1.0266000E+04  2.0795000E+04  4.1208000E+04  8.0752000E+04  1.4592000E+05  2.6808000E+05  5.1654000E+05  1.0409000E+06
  4.2500000E+03  3.5249586E+02  6.0245000E+02  1.1557635E+03  2.2335240E+03  4.3796802E+03  8.6541531E+03  1.7265844E+04  3.4159135E+04  6.8946417E+04  1.3752531E+05  2.5335885E+05  4.6921938E+05  8.9870292E+05
  4.5000000E+03  3.6405354E+02  6.1589000E+02  1.1612000E+03  2.1775000E+03  4.1341000E+03  7.8795000E+03  1.5207000E+04  2.9154000E+04  5.7998000E+04  1.1585000E+05  2.3266000E+05  4.3629000E+05  8.1267000E+05
