#Table Version   5 
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE:  176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 
#Teff(K)| Pgas@  log g = 6.00   log g = 6.20   log g = 6.40   log g = 6.60   log g = 6.80   log g = 7.00   log g = 7.20   log g = 7.40   log g = 7.60   log g = 7.80   log g = 8.00   log g = 8.20   log g = 8.40   log g = 8.60   log g = 8.80   log g = 9.00   log g = 9.20   log g = 9.40 
  5.0000000E+03  2.5357124E+10  3.4809678E+10  4.7863009E+10  6.5539029E+10  8.9268862E+10  1.2105981E+11  1.6323001E+11  2.1968480E+11  2.9093770E+11  3.8406082E+11  5.0350061E+11  6.4923212E+11  8.3004187E+11  1.0427975E+12  1.2941958E+12  1.5907429E+12  1.9373139E+12  2.3264836E+12
  5.2000000E+03  1.8548124E+10  2.5633033E+10  3.5538574E+10  4.8887744E+10  6.6619290E+10  9.0761152E+10  1.2362321E+11  1.6569141E+11  2.2192182E+11  2.9512092E+11  3.9075091E+11  5.1026996E+11  6.5750642E+11  8.4081413E+11  1.0612067E+12  1.3167399E+12  1.6158461E+12  1.9606497E+12
  5.4000000E+03  1.3718291E+10  1.8949598E+10  2.6145684E+10  3.6041263E+10  4.9602093E+10  6.8029926E+10  9.2747028E+10  1.2574769E+11  1.6943378E+11  2.2682974E+11  3.0164769E+11  3.9920870E+11  5.2131473E+11  6.6880575E+11  8.5664326E+11  1.0836774E+12  1.3449310E+12  1.6508211E+12
  5.6000000E+03  1.0315731E+10  1.4229839E+10  1.9606497E+10  2.6989821E+10  3.7119319E+10  5.0991760E+10  6.9871489E+10  9.5433313E+10  1.2950901E+11  1.7462242E+11  2.3382988E+11  3.1109999E+11  4.1001524E+11  5.3567330E+11  6.9246846E+11  8.7922494E+11  1.1158351E+12  1.3854792E+12
  5.8000000E+03  7.8559733E+09  1.0811850E+10  1.4869624E+10  2.0549440E+10  2.8235794E+10  3.8931398E+10  5.3125129E+10  7.2996158E+10  9.9014774E+10  1.3440023E+11  1.8159337E+11  2.4327641E+11  3.2389183E+11  4.2481515E+11  5.5808455E+11  7.1713348E+11  9.1579865E+11  1.1595781E+12
  6.0000000E+03  6.0841512E+09  8.3579545E+09  1.1489470E+10  1.5754332E+10  2.1802184E+10  2.9771451E+10  4.0550854E+10  5.5834162E+10  7.6243004E+10  1.0387236E+11  1.4151419E+11  1.9019540E+11  2.5515260E+11  3.3829844E+11  4.4637514E+11  5.8667827E+11  7.5683290E+11  9.6582846E+11
  6.2000000E+03  4.7774923E+09  6.5508854E+09  8.9722218E+09  1.2282874E+10  1.6807379E+10  2.2982645E+10  3.1484732E+10  4.3251383E+10  5.8748935E+10  8.0537844E+10  1.0997653E+11  1.4849095E+11  1.9948029E+11  2.6779348E+11  3.5719058E+11  4.7391450E+11  6.2015464E+11  8.0167806E+11
  6.4000000E+03  3.7975194E+09  5.1987628E+09  7.1006810E+09  9.7006313E+09  1.3270888E+10  1.8113401E+10  2.4757113E+10  3.3954708E+10  4.6025657E+10  6.3124798E+10  8.5881575E+10  1.1662724E+11  1.5707244E+11  2.1203131E+11  2.8411882E+11  3.7914034E+11  5.0107184E+11  6.5478693E+11
  6.6000000E+03  3.0485969E+09  4.1629385E+09  5.6846012E+09  7.7588972E+09  1.0577913E+10  1.4414514E+10  1.9638124E+10  2.6797853E+10  3.6509005E+10  4.9716437E+10  6.8045592E+10  9.1875560E+10  1.2456614E+11  1.6850004E+11  2.2714334E+11  3.0471933E+11  4.0541517E+11  5.3653740E+11
  6.8000000E+03  2.4569708E+09  3.3558304E+09  4.5782552E+09  6.2387847E+09  8.4976727E+09  1.1582438E+10  1.5754332E+10  2.1428906E+10  2.9147412E+10  3.9646057E+10  5.3913807E+10  7.3265581E+10  9.9426007E+10  1.3492735E+11  1.8243157E+11  2.4524491E+11  3.2892736E+11  4.3762286E+11
