#Table Version   5                                                                                                                                                                                                                                              
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE: 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381              
#Teff(K)| Pgas@  log g = 5.50   log g = 5.60   log g = 5.70   log g = 5.80   log g = 5.90   log g = 6.00   log g = 6.10   log g = 6.20   log g = 6.30   log g = 6.40   log g = 6.50   log g = 6.60   log g = 6.70   log g = 6.80   log g = 6.90   log g = 7.00   log g = 7.10   log g = 7.20   log g = 7.30   log g = 7.40   log g = 7.50   log g = 7.60   log g = 7.70   log g = 7.80   log g = 7.90   log g = 8.00   log g = 8.10   log g = 8.20   log g = 8.30   log g = 8.40   log g = 8.50   log g = 8.60   log g = 8.70   log g = 8.80   log g = 8.90   log g = 9.00   log g = 9.10   log g = 9.20   log g = 9.30   log g = 9.40   log g = 9.50 
  0.2000000E+04  0.1112912E+10  0.1280636E+10  0.1476937E+10  0.1696197E+10  0.1953111E+10  0.2246033E+10  0.2579118E+10  0.2971350E+10  0.3418116E+10  0.3925429E+10  0.4500554E+10  0.5154224E+10  0.5899311E+10  0.6762905E+10  0.7735720E+10  0.8930234E+10  0.1020015E+11  0.1167849E+11  0.1330063E+11  0.1498713E+11  0.1701116E+11  0.1957927E+11  0.2233307E+11  0.2527661E+11  0.2815229E+11  0.3156597E+11  0.3604963E+11  0.4063613E+11  0.4546058E+11  0.5112801E+11  0.5815039E+11  0.6441217E+11  0.7335477E+11  0.8254549E+11  0.9652582E+11  0.1048832E+12  0.1163846E+12  0.1403955E+12  0.1569417E+12  0.1729497E+12  0.1909704E+12
  0.2100000E+04  0.9860784E+09  0.1134611E+10  0.1306454E+10  0.1501536E+10  0.1718474E+10  0.1978287E+10  0.2279873E+10  0.2618730E+10  0.3005914E+10  0.3429675E+10  0.3955597E+10  0.4512537E+10  0.5175120E+10  0.5944037E+10  0.6815296E+10  0.7741005E+10  0.8860610E+10  0.1012202E+11  0.1159022E+11  0.1321719E+11  0.1512764E+11  0.1716332E+11  0.1933395E+11  0.2186337E+11  0.2479553E+11  0.2817375E+11  0.3134202E+11  0.3579974E+11  0.3978654E+11  0.4502737E+11  0.5126225E+11  0.5709152E+11  0.6386207E+11  0.7330029E+11  0.8216961E+11  0.9035240E+11  0.1060099E+12  0.1203178E+12  0.1293917E+12  0.1523192E+12  0.1663774E+12
  0.2200000E+04  0.8712725E+09  0.1005948E+10  0.1155517E+10  0.1328884E+10  0.1526372E+10  0.1752740E+10  0.2008386E+10  0.2304186E+10  0.2645985E+10  0.3032834E+10  0.3471999E+10  0.4004776E+10  0.4523688E+10  0.5173439E+10  0.5923921E+10  0.6826182E+10  0.7793075E+10  0.8927939E+10  0.1017906E+11  0.1152151E+11  0.1316633E+11  0.1495258E+11  0.1713583E+11  0.1937196E+11  0.2205386E+11  0.2479841E+11  0.2784910E+11  0.3153063E+11  0.3554849E+11  0.4009676E+11  0.4476567E+11  0.5043793E+11  0.5768923E+11  0.6347179E+11  0.7097002E+11  0.8163847E+11  0.9212355E+11  0.1020834E+12  0.1145011E+12  0.1341497E+12  0.1449514E+12
  0.2300000E+04  0.7745513E+09  0.8896658E+09  0.1020650E+10  0.1170850E+10  0.1343800E+10  0.1548495E+10  0.1773315E+10  0.2028810E+10  0.2335357E+10  0.2676226E+10  0.3061101E+10  0.3501210E+10  0.4019215E+10  0.4598281E+10  0.5244545E+10  0.5987324E+10  0.6798728E+10  0.7786399E+10  0.8882638E+10  0.1013478E+11  0.1158828E+11  0.1331190E+11  0.1508225E+11  0.1704053E+11  0.1926960E+11  0.2178641E+11  0.2479181E+11  0.2791780E+11  0.3147620E+11  0.3516638E+11  0.3981750E+11  0.4530863E+11  0.4970331E+11  0.5612720E+11  0.6349826E+11  0.7210883E+11  0.7924399E+11  0.8853116E+11  0.1000583E+12  0.1149679E+12  0.1262847E+12
  0.2400000E+04  0.6802938E+09  0.7851587E+09  0.9003944E+09  0.1033714E+10  0.1188877E+10  0.1349229E+10  0.1553839E+10  0.1783448E+10  0.2033248E+10  0.2337406E+10  0.2696050E+10  0.3074925E+10  0.3516723E+10  0.4042226E+10  0.4594452E+10  0.5227105E+10  0.5964377E+10  0.6843680E+10  0.7805968E+10  0.8929939E+10  0.1020843E+11  0.1161458E+11  0.1320356E+11  0.1500673E+11  0.1704024E+11  0.1936466E+11  0.2187721E+11  0.2466950E+11  0.2779120E+11  0.3155391E+11  0.3555019E+11  0.3974244E+11  0.4446483E+11  0.5024427E+11  0.5675981E+11  0.6308863E+11  0.7024847E+11  0.8015278E+11  0.9066574E+11  0.9960801E+11  0.1122218E+12
  0.2500000E+04  0.5986768E+09  0.6871371E+09  0.7932559E+09  0.9090179E+09  0.1044181E+10  0.1196591E+10  0.1373201E+10  0.1573055E+10  0.1795154E+10  0.2059278E+10  0.2345650E+10  0.2703031E+10  0.3080179E+10  0.3525808E+10  0.4027229E+10  0.4590599E+10  0.5271266E+10  0.6022302E+10  0.6840690E+10  0.7815739E+10  0.8983581E+10  0.1017554E+11  0.1161601E+11  0.1324597E+11  0.1495581E+11  0.1703329E+11  0.1931862E+11  0.2182038E+11  0.2482272E+11  0.2795554E+11  0.3146188E+11  0.3520868E+11  0.3981702E+11  0.4507688E+11  0.5028589E+11  0.5570972E+11  0.6330084E+11  0.7154035E+11  0.7920953E+11  0.8786166E+11  0.1002563E+12
  0.2600000E+04  0.5245401E+09  0.6022567E+09  0.6906111E+09  0.7920099E+09  0.9131981E+09  0.1042656E+10  0.1194881E+10  0.1370616E+10  0.1571425E+10  0.1796085E+10  0.2058179E+10  0.2369456E+10  0.2703082E+10  0.3088333E+10  0.3536139E+10  0.4040020E+10  0.4626083E+10  0.5276498E+10  0.6023609E+10  0.6914140E+10  0.7863868E+10  0.8972610E+10  0.1019601E+11  0.1159263E+11  0.1319489E+11  0.1504417E+11  0.1711641E+11  0.1938333E+11  0.2191411E+11  0.2471968E+11  0.2787083E+11  0.3158646E+11  0.3569967E+11  0.3998309E+11  0.4443612E+11  0.5023222E+11  0.5649452E+11  0.6332610E+11  0.7008989E+11  0.7978038E+11  0.8984766E+11
  0.2700000E+04  0.4568750E+09  0.5237455E+09  0.5988043E+09  0.6946352E+09  0.7972919E+09  0.9141474E+09  0.1043534E+10  0.1198868E+10  0.1372752E+10  0.1578360E+10  0.1815111E+10  0.2067462E+10  0.2363479E+10  0.2709572E+10  0.3104975E+10  0.3527659E+10  0.4063991E+10  0.4635878E+10  0.5299114E+10  0.6058871E+10  0.6893890E+10  0.7892244E+10  0.9005185E+10  0.1023730E+11  0.1166952E+11  0.1329070E+11  0.1503960E+11  0.1713160E+11  0.1933724E+11  0.2202935E+11  0.2490804E+11  0.2812645E+11  0.3145898E+11  0.3545146E+11  0.4001217E+11  0.4513606E+11  0.5030822E+11  0.5604728E+11  0.6318624E+11  0.7128234E+11  0.7944290E+11
  0.2800000E+04  0.3959108E+09  0.4547400E+09  0.5233905E+09  0.5996894E+09  0.6905779E+09  0.7928871E+09  0.9165126E+09  0.1051460E+10  0.1198085E+10  0.1374470E+10  0.1578233E+10  0.1808863E+10  0.2076128E+10  0.2372529E+10  0.2720663E+10  0.3115465E+10  0.3564503E+10  0.4046129E+10  0.4636049E+10  0.5292610E+10  0.6064260E+10  0.6928294E+10  0.7935073E+10  0.9025479E+10  0.1027060E+11  0.1168794E+11  0.1333281E+11  0.1511786E+11  0.1722966E+11  0.1954412E+11  0.2207153E+11  0.2486404E+11  0.2820072E+11  0.3174428E+11  0.3577068E+11  0.4005480E+11  0.4491629E+11  0.5064855E+11  0.5675959E+11  0.6340975E+11  0.7074760E+11
  0.2900000E+04  0.3414574E+09  0.3934818E+09  0.4532767E+09  0.5183470E+09  0.5969963E+09  0.6868149E+09  0.7855977E+09  0.9031285E+09  0.1036115E+10  0.1193286E+10  0.1369994E+10  0.1572482E+10  0.1825780E+10  0.2083670E+10  0.2365086E+10  0.2736486E+10  0.3110255E+10  0.3541848E+10  0.4036163E+10  0.4641491E+10  0.5278793E+10  0.6072853E+10  0.6931516E+10  0.7912514E+10  0.9040202E+10  0.1030878E+11  0.1171229E+11  0.1337329E+11  0.1520546E+11  0.1723501E+11  0.1957256E+11  0.2225671E+11  0.2507899E+11  0.2832885E+11  0.3177540E+11  0.3586212E+11  0.4047298E+11  0.4542264E+11  0.5061027E+11  0.5665615E+11  0.6373524E+11
