#Table Version   5
#[Z/Z_SOLAR]=-2.00 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  54  59  67  79  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  2.0000000E+03  1.2721000E+03  3.4856000E+03  9.5050000E+03  2.4926000E+04  6.3594000E+04  1.6014000E+05  3.9359000E+05  9.1139000E+05  2.0398000E+06  4.3740000E+06  9.1376000E+06  1.8837000E+07  3.7993000E+07
  2.2500000E+03  9.6495427E+02  2.4530927E+03  5.9333510E+03  1.5566979E+04  4.2008146E+04  1.1184042E+05  2.8554531E+05  7.0328979E+05  1.6580490E+06  3.7922417E+06  8.1636948E+06  1.7067510E+07  3.5173562E+07
  2.5000000E+03  7.7853000E+02  2.5393000E+03  5.0036000E+03  1.2297000E+04  3.1355000E+04  8.1201000E+04  2.1137000E+05  5.1981000E+05  1.2888000E+06  3.0163000E+06  6.8669000E+06  1.4751000E+07  3.1011000E+07
  2.7500000E+03  1.0445846E+03  2.7977021E+03  5.6962948E+03  1.2291396E+04  2.8427469E+04  6.7589188E+04  1.6736167E+05  4.1017906E+05  9.9334750E+05  2.3537854E+06  5.5049948E+06  1.2215985E+07  2.6336448E+07
  3.0000000E+03  1.8432000E+03  3.5257000E+03  7.2039000E+03  1.3756000E+04  2.8464000E+04  6.2909000E+04  1.4270000E+05  3.3392000E+05  7.7638000E+05  1.7903000E+06  4.1752000E+06  9.6646000E+06  2.1359000E+07
  3.2500000E+03  2.0724031E+03  4.1185125E+03  8.0867500E+03  1.4739792E+04  2.8182500E+04  5.7411000E+04  1.2442646E+05  2.7747469E+05  6.1923094E+05  1.3754562E+06  3.0723740E+06  7.0702260E+06  1.6497969E+07
  3.5000000E+03  1.7862000E+03  3.8707000E+03  7.7154000E+03  1.5319000E+04  2.8585000E+04  5.1533000E+04  1.0192000E+05  2.1760000E+05  4.7271000E+05  1.0371000E+06  2.2940000E+06  5.3145000E+06  1.2295000E+07
  3.7500000E+03  1.6741771E+03  3.3195687E+03  6.6136010E+03  1.3163625E+04  2.6425354E+04  5.0526990E+04  9.1834875E+04  1.7507115E+05  3.5844750E+05  7.7511760E+05  1.7436938E+06  3.9805625E+06  9.3025198E+06
  4.0000000E+03  1.4135000E+03  2.8474000E+03  5.6754000E+03  1.1244000E+04  2.2085000E+04  4.3861000E+04  8.3942000E+04  1.5606000E+05  2.9738000E+05  5.9234000E+05  1.2642000E+06  2.8436000E+06  6.6081000E+06
  4.2500000E+03  1.1548531E+03  2.3798406E+03  4.8670802E+03  9.7468875E+03  1.9343010E+04  3.7657896E+04  7.2746823E+04  1.3824844E+05  2.6075281E+05  4.9747344E+05  9.9356302E+05  2.0883438E+06  4.6489958E+06
  4.5000000E+03  8.1966000E+02  1.7936000E+03  3.7901000E+03  7.8611000E+03  1.6060000E+04  3.1569000E+04  6.2075000E+04  1.1864000E+05  2.2770000E+05  4.3087000E+05  8.3857000E+05  1.6754000E+06  3.4885000E+06
  4.7500000E+03  5.5788458E+02  1.2266599E+03  2.6728271E+03  5.7594729E+03  1.2158589E+04  2.4776073E+04  5.0067656E+04  9.7214271E+04  1.9163594E+05  3.6426323E+05  7.0620125E+05  1.3913760E+06  2.8003240E+06
  5.0000000E+03  3.7347000E+02  8.2225000E+02  1.8109000E+03  3.9672000E+03  8.5951000E+03  1.8048000E+04  3.7434000E+04  7.4578000E+04  1.5002000E+05  2.9064000E+05  5.7472000E+05  1.1278000E+06  2.2554000E+06
  5.2500000E+03  2.5213555E+02  5.6294573E+02  1.2335184E+03  2.7108031E+03  5.8992865E+03  1.2718135E+04  2.6751552E+04  5.5342365E+04  1.1170997E+05  2.2130625E+05  4.4399031E+05  8.8542469E+05  1.7670104E+06
  5.5000000E+03  1.6792023E+02  3.8772000E+02  8.5147000E+02  1.8620000E+03  4.0530000E+03  8.8947000E+03  1.9149000E+04  4.0185000E+04  8.1945000E+04  1.6866000E+05  3.3449000E+05  6.8007000E+05  1.3656000E+06
  5.7500000E+03  1.1494523E+02  2.5931558E+02  5.9438917E+02  1.3014213E+03  2.8595500E+03  6.2260240E+03  1.3559913E+04  2.9119844E+04  6.1375604E+04  1.2499594E+05  2.5586521E+05  5.1411917E+05  1.0560568E+06
  6.0000000E+03  8.3065588E+01  1.7427751E+02  4.1967000E+02  9.2164000E+02  2.0131000E+03  4.4310000E+03  9.7611000E+03  2.1123000E+04  4.4993000E+04  9.5932000E+04  1.9407000E+05  3.9203000E+05  8.0398000E+05
  6.2500000E+03  6.7231972E+01  1.2186718E+02  3.0203042E+02  6.3639977E+02  1.4115158E+03  3.1361759E+03  6.9445309E+03  1.5520427E+04  3.3879229E+04  7.1651469E+04  1.4732760E+05  3.0942021E+05  6.2138156E+05
  6.5000000E+03  5.8354038E+01  8.8840807E+01  2.1386000E+02  4.3086954E+02  9.7932798E+02  2.2020117E+03  4.9211457E+03  1.1486000E+04  2.5114000E+04  5.3988000E+04  1.1622000E+05  2.3844000E+05  4.8898000E+05
  6.7500000E+03  5.3606148E+01  7.2380812E+01  1.4252624E+02  2.8746048E+02  6.6251975E+02  1.5166974E+03  3.4420036E+03  8.5438896E+03  1.8772240E+04  4.1670396E+04  8.8994854E+04  1.8500833E+05  3.9287990E+05
  7.0000000E+03  5.1303840E+01  6.2727725E+01  9.1161065E+01  1.9247818E+02  4.3542911E+02  1.0137443E+03  2.3451478E+03  6.2688000E+03  1.4114000E+04  3.1586000E+04  6.8446000E+04  1.5029000E+05  3.1034000E+05
  7.2500000E+03  5.0437203E+01  5.7354577E+01  5.8699095E+01  1.4081407E+02  3.0821497E+02  7.2325418E+02  1.7018884E+03  4.6158172E+03  1.0532398E+04  2.4013734E+04  5.2749094E+04  1.1724382E+05  2.4591348E+05
  7.5000000E+03  5.0399041E+01  5.4595227E+01  5.6438509E+01  1.0719832E+02  2.1939547E+02  5.1206111E+02  1.2260403E+03  3.3810104E+03  7.8509271E+03  1.8196740E+04  4.1325927E+04  9.1443146E+04  1.9948688E+05
  7.7500000E+03  5.0828108E+01  5.3397027E+01  6.1451279E+01  8.6267606E+01  1.5956675E+02  3.6100429E+02  8.7427122E+02  2.4427988E+03  5.8145289E+03  1.3683618E+04  3.1509012E+04  7.1484133E+04  1.6191512E+05
  8.0000000E+03  5.1508591E+01  5.3106493E+01  5.8129501E+01  7.3751814E+01  1.2100450E+02  2.5647035E+02  6.1815896E+02  1.7531000E+03  4.2500000E+03  1.0218000E+04  2.3675000E+04  5.5152000E+04  1.2725000E+05
  8.2500000E+03  5.2310880E+01  5.3327511E+01  5.6528637E+01  6.6523063E+01  9.7097676E+01  1.8706913E+02  4.3706731E+02  1.2500754E+03  3.0817605E+03  7.5684387E+03  1.7849639E+04  4.2420113E+04  9.9780355E+04
  8.5000000E+03  5.3156316E+01  5.3823676E+01  5.5926651E+01  6.2502470E+01  8.2703042E+01  1.4277144E+02  3.1383474E+02  9.1747510E+02  2.2364073E+03  5.6056812E+03  1.3371612E+04  3.2484198E+04  7.7728729E+04
  8.7500000E+03  5.3997426E+01  5.4453965E+01  5.5892617E+01  6.0393506E+01  7.4222969E+01  1.1536054E+02  2.3322180E+02  6.3609793E+02  1.6943164E+03  4.1067492E+03  9.9896676E+03  2.4627508E+04  6.0150684E+04
  9.0000000E+03  5.4804554E+01  5.5133246E+01  5.6168801E+01  5.9409527E+01  6.9354841E+01  9.8783179E+01  1.8230280E+02  4.4305000E+02  1.2272000E+03  3.1887000E+03  7.7698000E+03  1.8780000E+04  4.6340000E+04
  9.2500000E+03  5.5558491E+01  5.5809908E+01  5.6601986E+01  5.9079132E+01  6.6673652E+01  8.8987510E+01  1.5111753E+02  3.2114565E+02  8.8498592E+02  2.4209556E+03  6.0578337E+03  1.4659261E+04  3.4989918E+04
  9.5000000E+03  5.6246043E+01  5.6451574E+01  5.7099080E+01  5.9123513E+01  6.5321763E+01  8.3409525E+01  1.3267209E+02  2.4934883E+02  6.6502327E+02  1.7993800E+03  4.7900435E+03  1.1743400E+04  2.6573149E+04
  9.7500000E+03  5.6857492E+01  5.7037108E+01  5.7602961E+01  5.9371624E+01  6.4778616E+01  8.0467822E+01  1.2233074E+02  2.0926254E+02  5.3182590E+02  1.3961749E+03  3.7196394E+03  9.5733840E+03  2.0295650E+04
  1.0000000E+04  5.7385077E+01  5.7551862E+01  5.8077201E+01  5.9718795E+01  6.4732058E+01  7.9200232E+01  1.1714948E+02  1.8784913E+02  4.5123641E+02  1.1377493E+03  2.9500685E+03  7.7038179E+03  1.5505080E+04
  1.0250000E+04  5.7822210E+01  5.7985043E+01  5.8497927E+01  6.0099913E+01  6.4982921E+01  7.9015805E+01  1.1530399E+02  1.7770287E+02  4.0147046E+02  9.6355572E+02  2.4253510E+03  6.2502338E+03  1.2283526E+04
  1.0500000E+04  5.8162903E+01  5.8328040E+01  5.8848100E+01  6.0471792E+01  6.5412969E+01  7.9547931E+01  1.1566967E+02  1.7544313E+02  3.7590214E+02  8.5286701E+02  2.0600803E+03  5.1848707E+03  9.9425986E+03
  1.0750000E+04  5.8401314E+01  5.8573407E+01  5.9115332E+01  6.0805863E+01  6.5941404E+01  8.0563518E+01  1.1754764E+02  1.7816588E+02  3.6685425E+02  7.8915193E+02  1.8145119E+03  4.4176585E+03  8.2860622E+03
  1.1000000E+04  5.8532155E+01  5.8714766E+01  5.9289603E+01  6.1081939E+01  6.6516011E+01  8.1913483E+01  1.2049892E+02  1.8410095E+02  3.6878682E+02  7.5892428E+02  1.6585956E+03  3.8718044E+03  7.1527681E+03
  1.1250000E+04  5.8549919E+01  5.8745975E+01  5.9362982E+01  6.1285405E+01  6.7101751E+01  8.3500815E+01  1.2424471E+02  1.9214051E+02  3.7793343E+02  7.5236151E+02  1.5703928E+03  3.5021677E+03  6.4120490E+03
  1.1500000E+04  5.8449149E+01  5.8661154E+01  5.9328174E+01  6.1404682E+01  6.7673582E+01  8.5259330E+01  1.2859873E+02  2.0157409E+02  3.9213043E+02  7.6241990E+02  1.5321641E+03  3.2656657E+03  5.9617150E+03
  1.1750000E+04  5.8224327E+01  5.8454474E+01  5.9178370E+01  6.1430022E+01  6.8212199E+01  8.7140946E+01  1.3343162E+02  2.1222378E+02  4.1006971E+02  7.8457453E+02  1.5327204E+03  3.1355328E+03  5.7225587E+03
  1.2000000E+04  5.7869847E+01  5.8120072E+01  5.8906901E+01  6.1352190E+01  6.8700605E+01  8.9106677E+01  1.3864925E+02  2.2380466E+02  4.3077952E+02  8.1544353E+02  1.5604216E+03  3.0856432E+03  5.6370832E+03
  1.2250000E+04  5.7379995E+01  5.7651987E+01  5.8507015E+01  6.1162030E+01  6.9122553E+01  9.1121991E+01  1.4417619E+02  2.3603817E+02  4.5360626E+02  8.5247836E+02  1.6071510E+03  3.0966877E+03  5.6636318E+03
  1.2500000E+04  5.6748774E+01  5.7043981E+01  5.7971767E+01  6.0849956E+01  6.9461083E+01  9.3152256E+01  1.4994499E+02  2.4882426E+02  4.7812486E+02  8.9422385E+02  1.6681587E+03  3.1515760E+03  5.7736156E+03
  1.2750000E+04  5.5970397E+01  5.6289931E+01  5.7293762E+01  6.0405853E+01  6.9697995E+01  9.5160783E+01  1.5588794E+02  2.6203379E+02  5.0400840E+02  9.4001987E+02  1.7406004E+03  3.2415704E+03  5.9472453E+03
  1.3000000E+04  5.5038568E+01  5.5383215E+01  5.6465784E+01  5.9819252E+01  6.9814211E+01  9.7109329E+01  1.6193767E+02  2.7553734E+02  5.3109962E+02  9.8874759E+02  1.8222238E+03  3.3547860E+03  6.1706691E+03
  1.4000000E+04  4.9651879E+01  5.0100333E+01  5.1507860E+01  5.5858427E+01  6.8757705E+01  1.0368140E+02  1.8602837E+02  3.3158410E+02  6.4751852E+02  1.2091539E+03  2.2115713E+03  3.9854883E+03  7.4069321E+03
  1.5000000E+04  4.1297554E+01  4.1851045E+01  4.3587007E+01  4.8942137E+01  6.4751621E+01  1.0733588E+02  2.0778293E+02  3.8616178E+02  7.6984216E+02  1.4512190E+03  2.6629016E+03  4.7745830E+03  9.0353929E+03
  1.6000000E+04  2.9535646E+01  3.0196511E+01  3.2267455E+01  3.8643123E+01  5.7375103E+01  1.0755760E+02  2.2592562E+02  4.3773573E+02  8.9100414E+02  1.7000895E+03  3.1438765E+03  5.6519212E+03  1.0960986E+04
  1.7000000E+04  4.1948881E+01  4.3399303E+01  4.5881729E+01  4.8671773E+01  4.6149770E+01  1.0398167E+02  2.4063333E+02  4.8693510E+02  1.0113212E+03  1.9514258E+03  3.6327369E+03  6.5638486E+03  1.3039569E+04
  1.8000000E+04  5.4507903E+01  5.6611152E+01  5.9930726E+01  6.4395760E+01  7.1743913E+01  9.5893519E+01  2.5136458E+02  5.3365687E+02  1.1329857E+03  2.2078308E+03  4.1309975E+03  7.5073603E+03  1.5151669E+04
  1.9000000E+04  6.7715497E+01  7.0352555E+01  7.4113545E+01  7.8017788E+01  8.0852685E+01  8.2528042E+01  2.5665396E+02  5.7565164E+02  1.2535179E+03  2.4699453E+03  4.6436635E+03  8.4663673E+03  1.7292197E+04
  2.0000000E+04  8.2063029E+01  8.5365928E+01  8.9950513E+01  9.3860910E+01  9.1615099E+01  6.3146540E+01  2.5513673E+02  6.1071658E+02  1.3691798E+03  2.7347918E+03  5.1709665E+03  9.4500134E+03  1.9494516E+04
  2.1000000E+04  9.7830514E+01  1.0214052E+02  1.0880518E+02  1.1742401E+02  1.2932972E+02  1.5447579E+02  2.4571578E+02  6.3693830E+02  1.4782174E+03  2.9962800E+03  5.7040093E+03  1.0455095E+04  2.1751675E+04
  2.2000000E+04  1.1502687E+02  1.2033423E+02  1.2867706E+02  1.3976640E+02  1.5497991E+02  1.8014409E+02  2.2740621E+02  6.5125772E+02  1.5756649E+03  3.2475088E+03  6.2328665E+03  1.1475195E+04  2.4040885E+04
  2.3000000E+04  1.3391568E+02  1.4013146E+02  1.4946155E+02  1.6053485E+02  1.7216427E+02  1.8427570E+02  1.9944893E+02  6.5054996E+02  1.6567676E+03  3.4832209E+03  6.7464351E+03  1.2481411E+04  2.6362103E+04
  2.4000000E+04  1.5513595E+02  1.6238723E+02  1.7279631E+02  1.8364599E+02  1.9049685E+02  1.8593659E+02  1.6153389E+02  6.5629030E+02  1.7180404E+03  3.6950751E+03  7.2319294E+03  1.3462333E+04  2.8722871E+04
  2.5000000E+04  1.7924597E+02  1.8783957E+02  2.0036322E+02  2.1371809E+02  2.2177836E+02  2.0794395E+02  1.1415836E+02  6.5144125E+02  1.7516451E+03  3.8761722E+03  7.6790360E+03  1.4395392E+04  3.1098655E+04
  2.6000000E+04  2.0602337E+02  2.1603607E+02  2.3169678E+02  2.5172729E+02  2.7613185E+02  3.1019605E+02  3.8303584E+02  6.4205017E+02  1.7525252E+03  4.0164887E+03  8.0725509E+03  1.5250252E+04  3.3437285E+04
  2.7000000E+04  2.3412520E+02  2.4489915E+02  2.6268529E+02  2.8737429E+02  3.2147710E+02  3.7368355E+02  4.6564825E+02  6.3634650E+02  1.7154639E+03  4.1048298E+03  8.3951612E+03  1.6003784E+04  3.5695594E+04
  2.8000000E+04  2.6159450E+02  2.7210793E+02  2.8995840E+02  3.1497913E+02  3.4895783E+02  3.9722682E+02  4.6939159E+02  5.7367732E+02  1.6388998E+03  4.1376843E+03  8.6414707E+03  1.6631023E+04  3.7863528E+04
  2.9000000E+04  2.8667196E+02  2.9626274E+02  3.1264041E+02  3.3478100E+02  3.6241326E+02  3.9680022E+02  4.4095851E+02  4.9781490E+02  1.6562745E+03  4.1061789E+03  8.7878796E+03  1.7109790E+04  3.9953338E+04
  3.0000000E+04  3.0857492E+02  3.1747243E+02  3.3232518E+02  3.5081700E+02  3.7003544E+02  3.8703130E+02  3.9999654E+02  4.1078289E+02  1.6959279E+03  4.0128836E+03  8.8290426E+03  1.7416293E+04  4.1975570E+04
  3.1000000E+04  3.2801135E+02  3.3745035E+02  3.5246750E+02  3.6928798E+02  3.8201090E+02  3.8250369E+02  3.6168717E+02  3.1681378E+02  1.7551057E+03  3.8757752E+03  8.7692736E+03  1.7553854E+04  4.3923655E+04
  3.2000000E+04  3.4713710E+02  3.5901809E+02  3.7727422E+02  3.9700159E+02  4.0973725E+02  4.0126379E+02  3.4815947E+02  2.2298394E+02  1.8240256E+03  3.6953521E+03  8.6335633E+03  1.7555549E+04  4.5776849E+04
  3.3000000E+04  3.6879488E+02  3.8495583E+02  4.0989116E+02  4.3874934E+02  4.6321899E+02  4.6701246E+02  4.0746396E+02  1.3771744E+02  1.7111957E+03  3.5211277E+03  8.4140796E+03  1.7402866E+04  4.7506209E+04
  3.4000000E+04  3.9526989E+02  4.1656166E+02  4.5022712E+02  4.9302691E+02  5.4207967E+02  5.9813775E+02  6.7740032E+02  8.6538115E+02  1.5841185E+03  3.3847729E+03  8.1945549E+03  1.7162812E+04  4.9085019E+04
  3.5000000E+04  4.2718739E+02  4.5282262E+02  4.9412058E+02  5.4898308E+02  6.1767444E+02  7.0694922E+02  8.3823620E+02  1.0618794E+03  1.4536346E+03  3.3087798E+03  8.0433618E+03  1.6959320E+04  5.0491463E+04
  3.6000000E+04  4.6309739E+02  4.9094943E+02  5.3638852E+02  5.9741851E+02  6.7447381E+02  7.7288292E+02  9.0514927E+02  1.0893853E+03  1.3302285E+03  3.3058480E+03  7.9985718E+03  1.6884861E+04  5.1710919E+04
  3.7000000E+04  4.9962718E+02  5.2709490E+02  5.7251722E+02  6.3345714E+02  7.0926075E+02  8.0220872E+02  9.1736744E+02  1.0589767E+03  1.2201721E+03  3.7319192E+03  8.1042383E+03  1.7006630E+04  5.2739397E+04
  3.8000000E+04  5.3212182E+02  5.5701195E+02  5.9902453E+02  6.5530538E+02  7.2408186E+02  8.0522495E+02  8.9974586E+02  1.0074977E+03  1.1229245E+03  4.0919162E+03  8.3595434E+03  1.7402107E+04  5.3591556E+04
  3.9000000E+04  5.5573022E+02  5.7688170E+02  6.1370707E+02  6.6321395E+02  7.2282615E+02  7.9074923E+02  8.6587144E+02  9.4715827E+02  1.0327097E+03  4.3731126E+03  8.7330913E+03  1.8061418E+04  5.4306196E+04
  4.0000000E+04  5.6674584E+02  5.8436886E+02  6.1628601E+02  6.5961083E+02  7.1105770E+02  7.6716542E+02  8.2480709E+02  8.8239858E+02  9.4165237E+02  4.5915411E+03  9.1860029E+03  1.8951942E+04  5.4945587E+04
