#Table Version   5
#[Z/Z_SOLAR]= 0.50 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  52  57  65  77  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  2.0000000E+03  1.1000000E+01  1.6236000E+01  5.1516000E+01  1.6628000E+02  4.5000000E+02  1.4324000E+03  4.2164000E+03  1.1640000E+04  3.2534000E+04  9.3824000E+04  2.7907000E+05  8.6214000E+05  2.7794000E+06
  2.2500000E+03  1.5000000E+01  1.7216427E+01  3.7026875E+01  1.0714290E+02  1.6705427E+02  9.1946500E+02  2.4447250E+03  6.1366490E+03  1.6747812E+04  4.9514219E+04  1.5076557E+05  4.5417521E+05  1.5769534E+06
  2.5000000E+03  2.8000000E+01  4.3580000E+01  7.2017000E+01  1.2485000E+02  2.5943000E+02  6.8570000E+02  1.9430000E+03  4.5856000E+03  1.1717000E+04  3.2565000E+04  9.4155000E+04  2.8351000E+05  8.8713000E+05
  2.7500000E+03  3.5087000E+01  1.0227626E+02  1.7880278E+02  3.1102510E+02  5.5969052E+02  1.0145298E+03  2.6764708E+03  5.3677979E+03  1.1650208E+04  2.8262375E+04  7.4330729E+04  2.0536667E+05  5.8801292E+05
  3.0000000E+03  7.7822000E+01  1.4789000E+02  2.8278000E+02  5.1895000E+02  9.7068000E+02  1.8482000E+03  3.7435000E+03  8.1097000E+03  1.4242000E+04  2.8941000E+04  6.6669000E+04  1.6905000E+05  4.4679000E+05
  3.2500000E+03  1.0914242E+02  2.3961698E+02  4.2165646E+02  7.5572240E+02  1.4069029E+03  2.7333500E+03  4.4549000E+03  8.7732458E+03  1.8875104E+04  3.3701333E+04  6.6534688E+04  1.4916635E+05  3.6257906E+05
  3.5000000E+03  1.3803000E+02  2.6967000E+02  5.1410000E+02  9.7054000E+02  1.8211000E+03  3.4072000E+03  6.3781000E+03  1.2236000E+04  2.3582000E+04  4.3563000E+04  7.7180000E+04  1.4926000E+05  3.1900000E+05
  3.7500000E+03  1.1832673E+02  2.4102031E+02  4.9034083E+02  9.8759208E+02  1.9683385E+03  3.8462396E+03  7.3961177E+03  1.4406990E+04  2.6872031E+04  5.0518708E+04  9.2332948E+04  1.6581792E+05  3.1866146E+05
  4.0000000E+03  1.0081597E+02  1.9484000E+02  4.0081000E+02  8.2395000E+02  1.7050000E+03  3.4909000E+03  7.0454000E+03  1.3826000E+04  2.7290000E+04  5.3158000E+04  1.0082000E+05  1.8188000E+05  3.3268000E+05
  4.2500000E+03  8.8618583E+01  1.6648083E+02  3.3135417E+02  6.7331781E+02  1.3910229E+03  2.8861937E+03  5.9441875E+03  1.2052708E+04  2.4496854E+04  4.9144031E+04  9.7986531E+04  1.8597312E+05  3.3810438E+05
  4.5000000E+03  8.6369797E+01  1.6300000E+02  3.0860000E+02  5.9702000E+02  1.1783000E+03  2.3897000E+03  4.8896000E+03  1.0063000E+04  2.0666000E+04  4.2106000E+04  8.5649000E+04  1.7292000E+05  3.3038000E+05
  4.7500000E+03  8.8208852E+01  1.7411312E+02  3.2351677E+02  6.0256250E+02  1.1350375E+03  2.1828156E+03  4.2937260E+03  8.6671417E+03  1.7427594E+04  3.5295156E+04  7.2044875E+04  1.4703604E+05  2.9884979E+05
  5.0000000E+03  9.1419760E+01  1.8329000E+02  3.4295000E+02  6.3870000E+02  1.1836000E+03  2.2127000E+03  4.1860000E+03  8.1373000E+03  1.5718000E+04  3.0893000E+04  6.1713000E+04  1.2471000E+05  2.5343000E+05
  5.2500000E+03  9.0880885E+01  1.7656106E+02  3.4552156E+02  6.5729281E+02  1.2388167E+03  2.3162323E+03  4.3201865E+03  8.1939771E+03  1.5295104E+04  2.9055635E+04  5.6083719E+04  1.1027562E+05  2.1947229E+05
  5.5000000E+03  8.5291934E+01  1.5555856E+02  3.2394000E+02  6.3799000E+02  1.2323000E+03  2.3505000E+03  4.4288000E+03  8.3520000E+03  1.5410000E+04  2.8760000E+04  5.4160000E+04  1.0322000E+05  1.9934000E+05
  5.7500000E+03  7.6350831E+01  1.2927890E+02  2.8098010E+02  5.7286625E+02  1.1432143E+03  2.2456323E+03  4.3565250E+03  8.2754240E+03  1.5441708E+04  2.8835250E+04  5.3899000E+04  1.0073925E+05  1.8906302E+05
  6.0000000E+03  6.6927377E+01  1.0621385E+02  2.2753000E+02  4.7789000E+02  9.8747000E+02  2.0015000E+03  3.9945000E+03  7.7967000E+03  1.4934000E+04  2.8393000E+04  5.3473000E+04  9.9508000E+04  1.8455000E+05
  6.2500000E+03  5.9345959E+01  9.2187582E+01  1.6792237E+02  3.6857605E+02  7.8923344E+02  1.6633225E+03  3.4183851E+03  6.9417167E+03  1.3726896E+04  2.6820240E+04  5.1557177E+04  9.6870885E+04  1.8117552E+05
