#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  2.6122830E+03  5.0857757E+03  9.7488022E+03  1.8625179E+04  3.4728939E+04  5.8878807E+04  1.0962664E+05  2.2696774E+05  5.1583397E+05  1.2124311E+06  3.0014600E+06  0.0000000E+00
  3.7500000E+03  0.0000000E+00  2.4052470E+03  4.8204536E+03  9.5106982E+03  1.8588286E+04  3.6316785E+04  6.8447075E+04  1.2214195E+05  2.2782081E+05  4.6066506E+05  1.0035692E+06  2.3291155E+06  0.0000000E+00
  4.0000000E+03  0.0000000E+00  2.1331800E+03  4.2866626E+03  8.5195510E+03  1.6854717E+04  3.3310738E+04  6.5465834E+04  1.2548502E+05  2.2833580E+05  4.2249233E+05  8.4567609E+05  1.8085744E+06  0.0000000E+00
  4.2500000E+03  0.0000000E+00  1.8507553E+03  3.8128879E+03  7.6509784E+03  1.5125296E+04  2.9643714E+04  5.8031797E+04  1.1370151E+05  2.1720751E+05  4.0370490E+05  7.5882960E+05  1.4955411E+06  0.0000000E+00
  4.5000000E+03  0.0000000E+00  1.4380183E+03  3.1100261E+03  6.4783680E+03  1.3135007E+04  2.6131682E+04  5.1357872E+04  1.0004845E+05  1.9229251E+05  3.6103917E+05  6.7772603E+05  1.2896852E+06  0.0000000E+00
  4.7500000E+03  0.0000000E+00  1.0025804E+03  2.2760634E+03  4.9723197E+03  1.0520063E+04  2.1655516E+04  4.3722599E+04  8.6650876E+04  1.6839225E+05  3.1897551E+05  5.9791442E+05  1.1317461E+06  0.0000000E+00
  5.0000000E+03  0.0000000E+00  6.7186649E+02  1.5543438E+03  3.4995504E+03  7.6860848E+03  1.6478007E+04  3.4497907E+04  7.0552037E+04  1.4072689E+05  2.7241252E+05  5.1645878E+05  9.7826586E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  4.5193261E+02  1.0518230E+03  2.3918486E+03  5.3400709E+03  1.1728443E+04  2.5337627E+04  5.3622573E+04  1.1089248E+05  2.2190667E+05  4.3039610E+05  8.2384764E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  3.0858168E+02  7.2077372E+02  1.6445843E+03  3.6958887E+03  8.2075941E+03  1.8028776E+04  3.9068674E+04  8.3106615E+04  1.7219892E+05  3.4463993E+05  6.7272484E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  2.1308416E+02  5.0153716E+02  1.1484652E+03  2.5903126E+03  5.7871598E+03  1.2827313E+04  2.8172421E+04  6.1093557E+04  1.2998121E+05  2.6825821E+05  5.3567962E+05  0.0000000E+00
  6.0000000E+03  0.0000000E+00  1.4718018E+02  3.5180928E+02  8.1147685E+02  1.8380944E+03  4.1243439E+03  9.1966054E+03  2.0378799E+04  4.4764167E+04  9.6963756E+04  2.0521966E+05  4.2049571E+05  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  2.4732485E+02  5.7749710E+02  1.3177538E+03  2.9729416E+03  6.6664559E+03  1.4875233E+04  3.2971717E+04  7.2319974E+04  1.5615731E+05  3.2759448E+05  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.7288127E+02  4.1136413E+02  9.4951040E+02  2.1606600E+03  4.8785526E+03  1.0960449E+04  2.4487515E+04  5.4286683E+04  1.1885294E+05  2.5460189E+05  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  1.1735436E+02  2.9146234E+02  6.8357824E+02  1.5735269E+03  3.5871994E+03  8.1293179E+03  1.8320971E+04  4.1006133E+04  9.0805741E+04  1.9786660E+05  0.0000000E+00
  7.0000000E+03  0.0000000E+00  0.0000000E+00  7.5493618E+01  2.0071012E+02  4.8853989E+02  1.1418536E+03  2.6364352E+03  6.0437968E+03  1.3763005E+04  3.1124151E+04  6.9712348E+04  1.5409410E+05  0.0000000E+00
  7.2500000E+03  0.0000000E+00  0.0000000E+00  4.4613649E+01  1.3208140E+02  3.3951198E+02  8.2006730E+02  1.9263447E+03  4.4793079E+03  1.0336891E+04  2.3675484E+04  5.3668047E+04  1.2021680E+05  0.0000000E+00
  7.5000000E+03  0.0000000E+00  0.0000000E+00  2.2520436E+01  8.1980297E+01  2.2694879E+02  5.7414505E+02  1.3892453E+03  3.2923810E+03  7.7236563E+03  1.7960440E+04  4.1315931E+04  9.3888188E+04  0.0000000E+00
  7.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7355307E+01  1.4620030E+02  3.9053522E+02  9.8197263E+02  2.3894339E+03  5.7201307E+03  1.3535020E+04  3.1680987E+04  7.3169611E+04  0.0000000E+00
  8.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4800043E+01  9.0692863E+01  2.6014286E+02  6.8271989E+02  1.7137476E+03  4.1904719E+03  1.0110418E+04  2.4107655E+04  5.6738360E+04  0.0000000E+00
  8.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1762582E+01  5.4510436E+01  1.6984166E+02  4.6808990E+02  1.2164987E+03  3.0572509E+03  7.5068415E+03  1.8207657E+04  4.3672816E+04  0.0000000E+00
  8.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2488380E+01  1.0979285E+02  3.1802481E+02  8.5918191E+02  2.2244492E+03  5.5838858E+03  1.3711942E+04  3.3399354E+04  0.0000000E+00
  8.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0992974E+01  7.2810254E+01  2.1758836E+02  6.0626224E+02  1.6162292E+03  4.1622910E+03  1.0401788E+04  2.5542726E+04  0.0000000E+00
