#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  3.4875580E+03  6.9250598E+03  1.3577164E+04  2.6405046E+04  4.8094732E+04  8.7809395E+04  1.7483418E+05  3.7872976E+05  8.6632880E+05  2.0374289E+06  4.8961628E+06  0.0000000E+00
  3.7500000E+03  0.0000000E+00  3.0964575E+03  6.3088711E+03  1.2659081E+04  2.5153844E+04  4.9693458E+04  9.1414837E+04  1.6637389E+05  3.2734602E+05  6.8890240E+05  1.5435543E+06  3.5779324E+06  0.0000000E+00
  4.0000000E+03  0.0000000E+00  2.6839004E+03  5.4839482E+03  1.1024523E+04  2.1977980E+04  4.3825822E+04  8.6757837E+04  1.6222425E+05  2.9799875E+05  5.7129666E+05  1.1763214E+06  2.5889426E+06  0.0000000E+00
  4.2500000E+03  0.0000000E+00  2.1881191E+03  4.6411150E+03  9.5285966E+03  1.9133639E+04  3.7962325E+04  7.4671067E+04  1.4415242E+05  2.7046549E+05  5.0560769E+05  9.7330327E+05  1.9763744E+06  0.0000000E+00
  4.5000000E+03  0.0000000E+00  1.5669755E+03  3.5080170E+03  7.5458759E+03  1.5702686E+04  3.1847316E+04  6.3574167E+04  1.2409780E+05  2.3455106E+05  4.3861182E+05  8.2900756E+05  1.6065471E+06  0.0000000E+00
  4.7500000E+03  0.0000000E+00  1.0374264E+03  2.3971233E+03  5.3786989E+03  1.1694407E+04  2.4732417E+04  5.0985004E+04  1.0220455E+05  1.9822674E+05  3.7465609E+05  7.0511885E+05  1.3458485E+06  0.0000000E+00
  5.0000000E+03  0.0000000E+00  6.8225585E+02  1.5895996E+03  3.6182549E+03  8.0628749E+03  1.7612971E+04  3.7639477E+04  7.8419815E+04  1.5830790E+05  3.0736234E+05  5.8464603E+05  1.1152484E+06  0.0000000E+00
  5.2500000E+03  0.0000000E+00  4.5638067E+02  1.0652819E+03  2.4326286E+03  5.4651552E+03  1.2113940E+04  2.6460575E+04  5.6781870E+04  1.1862697E+05  2.3987353E+05  4.6790948E+05  9.0180799E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  3.1112676E+02  7.2737596E+02  1.6622282E+03  3.7464017E+03  8.3538590E+03  1.8450681E+04  4.0257987E+04  8.6405966E+04  1.8044566E+05  3.6304276E+05  7.1236155E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  2.1468379E+02  5.0537351E+02  1.1579174E+03  2.6144530E+03  5.8525465E+03  1.3005220E+04  2.8684795E+04  6.2491138E+04  1.3361094E+05  2.7711810E+05  5.5566514E+05  0.0000000E+00
  6.0000000E+03  0.0000000E+00  1.4823879E+02  3.5427193E+02  8.1686751E+02  1.8509411E+03  4.1569929E+03  9.2843383E+03  2.0616793E+04  4.5411665E+04  9.8700442E+04  2.0955062E+05  4.3073450E+05  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  2.4883837E+02  5.8081662E+02  1.3254768E+03  2.9911791E+03  6.7132568E+03  1.4997569E+04  3.3296713E+04  7.3168477E+04  1.5834155E+05  3.3314010E+05  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.7388022E+02  4.1339889E+02  9.5411557E+02  2.1710902E+03  4.9047704E+03  1.1027680E+04  2.4665266E+04  5.4754415E+04  1.2004401E+05  2.5760224E+05  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  1.1797590E+02  2.9274651E+02  6.8635905E+02  1.5803208E+03  3.6040939E+03  8.1705434E+03  1.8427014E+04  4.1278612E+04  9.1503562E+04  1.9967481E+05  0.0000000E+00
  7.0000000E+03  0.0000000E+00  0.0000000E+00  7.5874653E+01  2.0156288E+02  4.9018211E+02  1.1461338E+03  2.6471733E+03  6.0689900E+03  1.3833492E+04  3.1293535E+04  7.0138633E+04  1.5519926E+05  0.0000000E+00
  7.2500000E+03  0.0000000E+00  0.0000000E+00  4.4911811E+01  1.3271777E+02  3.4071611E+02  8.2286755E+02  1.9328869E+03  4.4956124E+03  1.0380047E+04  2.3782287E+04  5.3948356E+04  1.2095870E+05  0.0000000E+00
  7.5000000E+03  0.0000000E+00  0.0000000E+00  2.2750969E+01  8.2545420E+01  2.2821371E+02  5.7677170E+02  1.3947856E+03  3.3038177E+03  7.7511471E+03  1.8029211E+04  4.1496978E+04  9.4363843E+04  0.0000000E+00
  7.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7778360E+01  1.4724109E+02  3.9316061E+02  9.8737167E+02  2.3995046E+03  5.7393775E+03  1.3580874E+04  3.1804138E+04  7.3487802E+04  0.0000000E+00
  8.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4999183E+01  9.1469841E+01  2.6229226E+02  6.8757944E+02  1.7236185E+03  4.2091523E+03  1.0143548E+04  2.4187330E+04  5.6954401E+04  0.0000000E+00
  8.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1822601E+01  5.4894214E+01  1.7115594E+02  4.7174036E+02  1.2259842E+03  3.0759526E+03  7.5384909E+03  1.8273029E+04  4.3826117E+04  0.0000000E+00
  8.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2652309E+01  1.1051630E+02  3.2031366E+02  8.6560544E+02  2.2394915E+03  5.6154038E+03  1.3767860E+04  3.3516624E+04  0.0000000E+00
  8.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1067437E+01  7.3163993E+01  2.1886301E+02  6.1032970E+02  1.6279438E+03  4.1896307E+03  1.0455567E+04  2.5634574E+04  0.0000000E+00
  9.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5930674E+01  5.2242924E+01  1.5458880E+02  4.3532632E+02  1.1857209E+03  3.1298272E+03  8.0059885E+03  1.9801862E+04  0.0000000E+00
