#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  3.8611083E+02  7.6252940E+02  1.4745407E+03  2.7843337E+03  5.1662681E+03  9.4434502E+03  1.7151377E+04  3.0844805E+04  5.3169960E+04  9.3037944E+04  1.8041836E+05  0.0000000E+00
  3.7500000E+03  0.0000000E+00  3.4661966E+02  7.1476127E+02  1.4506532E+03  2.8984305E+03  5.7120702E+03  1.1099585E+04  2.1372941E+04  4.0794816E+04  7.3724485E+04  1.2744652E+05  2.2466530E+05  0.0000000E+00
  4.0000000E+03  0.0000000E+00  2.7707038E+02  5.7533214E+02  1.1900108E+03  2.4490093E+03  5.0038308E+03  1.0148716E+04  2.0367180E+04  4.0457916E+04  7.8902712E+04  1.4580130E+05  2.5875046E+05  0.0000000E+00
  4.2500000E+03  0.0000000E+00  2.4224289E+02  4.8492316E+02  9.7861788E+02  1.9932982E+03  4.0802417E+03  8.3939820E+03  1.7262204E+04  3.5347795E+04  7.1481489E+04  1.4171219E+05  2.6611307E+05  0.0000000E+00
  4.5000000E+03  0.0000000E+00  2.4143973E+02  4.6364259E+02  8.9420419E+02  1.7449826E+03  3.4554633E+03  6.9545152E+03  1.4137803E+04  2.8986835E+04  5.9297405E+04  1.2071130E+05  2.4165541E+05  0.0000000E+00
  4.7500000E+03  0.0000000E+00  2.5045704E+02  4.7747649E+02  9.0048575E+02  1.7004982E+03  3.2415744E+03  6.2706602E+03  1.2328789E+04  2.4603714E+04  4.9611644E+04  1.0049108E+05  2.0390229E+05  0.0000000E+00
  5.0000000E+03  0.0000000E+00  2.4951784E+02  4.8932977E+02  9.3576090E+02  1.7655352E+03  3.3190655E+03  6.2560525E+03  1.1906908E+04  2.2928940E+04  4.4767683E+04  8.8424154E+04  1.7638845E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  2.2484253E+02  4.6132535E+02  9.1421445E+02  1.7703355E+03  3.3750210E+03  6.3719529E+03  1.2015102E+04  2.2655664E+04  4.3089425E+04  8.2718635E+04  1.6064040E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  1.8404306E+02  3.9733475E+02  8.2295663E+02  1.6550770E+03  3.2543640E+03  6.2851057E+03  1.2007585E+04  2.2691544E+04  4.2817274E+04  8.0837025E+04  1.5369879E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  1.3930429E+02  3.1600027E+02  6.8413165E+02  1.4327575E+03  2.9219390E+03  5.8317758E+03  1.1442675E+04  2.2059738E+04  4.2122941E+04  7.9673472E+04  1.5055102E+05  0.0000000E+00
  6.0000000E+03  0.0000000E+00  9.9869610E+01  2.3756421E+02  5.3453181E+02  1.1602814E+03  2.4523953E+03  5.0690137E+03  1.0260340E+04  2.0387740E+04  3.9855081E+04  7.6695098E+04  1.4629259E+05  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  1.7259398E+02  4.0162174E+02  8.9809207E+02  1.9556162E+03  4.1666931E+03  8.7018685E+03  1.7849718E+04  3.5934906E+04  7.0945913E+04  1.3812247E+05  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.2168830E+02  2.9483099E+02  6.7590090E+02  1.5068026E+03  3.2900670E+03  7.0611513E+03  1.4907717E+04  3.0887395E+04  6.2843106E+04  1.2547880E+05  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  8.2619561E+01  2.1157979E+02  5.0061052E+02  1.1377701E+03  2.5335682E+03  5.5577972E+03  1.2011238E+04  2.5546819E+04  5.3470804E+04  1.0977493E+05  0.0000000E+00
  7.0000000E+03  0.0000000E+00  0.0000000E+00  5.3203416E+01  1.4671983E+02  3.6336025E+02  8.4807705E+02  1.9221828E+03  4.2934756E+03  9.4599687E+03  2.0582953E+04  4.4140380E+04  9.2914660E+04  0.0000000E+00
  7.2500000E+03  0.0000000E+00  0.0000000E+00  3.1323954E+01  9.7567852E+01  2.5532992E+02  6.2105240E+02  1.4417177E+03  3.2713411E+03  7.3436327E+03  1.6294151E+04  3.5668148E+04  7.6810872E+04  0.0000000E+00
  7.5000000E+03  0.0000000E+00  0.0000000E+00  1.5096917E+01  6.0841479E+01  1.7245143E+02  4.3925981E+02  1.0621043E+03  2.4668567E+03  5.6364663E+03  1.2747593E+04  2.8428202E+04  6.2514694E+04  0.0000000E+00
  7.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.4941569E+01  1.1094960E+02  2.9906051E+02  7.5288479E+02  1.8223310E+03  4.2685664E+03  9.8394507E+03  2.2410025E+04  5.0282226E+04  0.0000000E+00
  8.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8102391E+01  6.9099445E+01  1.9951013E+02  5.2483015E+02  1.3177800E+03  3.2035327E+03  7.5532948E+03  1.7529960E+04  4.0098636E+04  0.0000000E+00
  8.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4196274E+00  4.1205231E+01  1.2909676E+02  3.5577318E+02  9.2527577E+02  2.3272270E+03  5.6839114E+03  1.3512348E+04  3.1572564E+04  0.0000000E+00
  8.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4922187E+01  8.3138587E+01  2.3810957E+02  6.4042328E+02  1.6621211E+03  4.1978623E+03  1.0307271E+04  2.4634967E+04  0.0000000E+00
  8.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6612201E+01  5.6206532E+01  1.6272247E+02  4.4391186E+02  1.1767396E+03  3.0515653E+03  7.7351871E+03  1.9038678E+04  0.0000000E+00
  9.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2801417E+01  4.1472463E+01  1.1768666E+02  3.1824850E+02  8.4511387E+02  2.2187456E+03  5.7494962E+03  1.4583690E+04  0.0000000E+00
