#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  1.6279092E+02  3.1016596E+02  5.7607652E+02  1.0533533E+03  1.9097116E+03  3.4429888E+03  6.1571851E+03  1.1117659E+04  1.9868593E+04  3.6252157E+04  6.6591644E+04  0.0000000E+00
  3.7500000E+03  0.0000000E+00  1.7336542E+02  3.4799212E+02  6.8970291E+02  1.3502062E+03  2.6280108E+03  5.0553210E+03  9.5798267E+03  1.7932537E+04  3.3228198E+04  6.0963780E+04  1.0917344E+05  0.0000000E+00
  4.0000000E+03  0.0000000E+00  1.4859964E+02  3.0413568E+02  6.1835469E+02  1.2515538E+03  2.5271356E+03  5.0920183E+03  1.0139505E+04  1.9666261E+04  3.7600917E+04  7.1009541E+04  1.3142456E+05  0.0000000E+00
  4.2500000E+03  0.0000000E+00  1.2800334E+02  2.5767057E+02  5.2089457E+02  1.0627096E+03  2.1961635E+03  4.5538192E+03  9.4206419E+03  1.8982359E+04  3.7489210E+04  7.3250110E+04  1.4159881E+05  0.0000000E+00
  4.5000000E+03  0.0000000E+00  1.2193369E+02  2.3536552E+02  4.5840586E+02  9.1128733E+02  1.8565731E+03  3.8346682E+03  8.0052798E+03  1.6569836E+04  3.3588544E+04  6.7359358E+04  1.3415741E+05  0.0000000E+00
  4.7500000E+03  0.0000000E+00  1.2593141E+02  2.3719977E+02  4.4719463E+02  8.5530575E+02  1.6807796E+03  3.3849212E+03  6.8530236E+03  1.4042066E+04  2.8689004E+04  5.8259829E+04  1.1794781E+05  0.0000000E+00
  5.0000000E+03  0.0000000E+00  1.3357204E+02  2.5360955E+02  4.7508468E+02  8.8895490E+02  1.6867890E+03  3.2781535E+03  6.4081763E+03  1.2654205E+04  2.5313617E+04  5.0871064E+04  1.0265363E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  1.3306653E+02  2.6109728E+02  4.9846567E+02  9.3743212E+02  1.7597486E+03  3.3342825E+03  6.3484752E+03  1.2167348E+04  2.3582481E+04  4.6263254E+04  9.1629206E+04  0.0000000E+00
  5.5000000E+03  0.0000000E+00  1.2170571E+02  2.5075120E+02  4.9657091E+02  9.5809121E+02  1.8192162E+03  3.4377354E+03  6.4647853E+03  1.2188759E+04  2.3087687E+04  4.4202028E+04  8.5524552E+04  0.0000000E+00
  5.7500000E+03  0.0000000E+00  1.0163854E+02  2.2198058E+02  4.6001667E+02  9.2076506E+02  1.7983367E+03  3.4577317E+03  6.5520038E+03  1.2343211E+04  2.3161879E+04  4.3683964E+04  8.2900217E+04  0.0000000E+00
  6.0000000E+03  0.0000000E+00  7.8238964E+01  1.8195890E+02  3.9590769E+02  8.2619584E+02  1.6734756E+03  3.3089544E+03  6.4147001E+03  1.2267082E+04  2.3152524E+04  4.3592872E+04  8.1961340E+04  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  1.3991125E+02  3.1979856E+02  6.9548814E+02  1.4631726E+03  2.9910965E+03  5.9815971E+03  1.1730392E+04  2.2569064E+04  4.3003916E+04  8.1098658E+04  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.0186684E+02  2.4588884E+02  5.5587358E+02  1.2109625E+03  2.5621703E+03  5.2939561E+03  1.0696622E+04  2.1167320E+04  4.1198335E+04  7.8862975E+04  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  7.0384933E+01  1.8090648E+02  4.2736096E+02  9.5953999E+02  2.0945115E+03  4.4651811E+03  9.3043951E+03  1.8991293E+04  3.7995288E+04  7.4444917E+04  0.0000000E+00
  7.0000000E+03  0.0000000E+00  0.0000000E+00  4.5879829E+01  1.2762103E+02  3.1663996E+02  7.3818780E+02  1.6525479E+03  3.6191862E+03  7.7664206E+03  1.6345665E+04  3.3662587E+04  6.7865145E+04  0.0000000E+00
  7.2500000E+03  0.0000000E+00  0.0000000E+00  2.7434852E+01  8.6072962E+01  2.2620434E+02  5.5037307E+02  1.2735381E+03  2.8492127E+03  6.2739336E+03  1.3572352E+04  2.8769011E+04  5.9756588E+04  0.0000000E+00
  7.5000000E+03  0.0000000E+00  0.0000000E+00  1.3656195E+01  5.5069854E+01  1.5587412E+02  3.9626054E+02  9.5337887E+02  2.2000111E+03  4.9469071E+03  1.0965097E+04  2.3888325E+04  5.1003904E+04  0.0000000E+00
  7.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2804636E+01  1.0331092E+02  2.7717316E+02  6.9307093E+02  1.6619926E+03  3.8372299E+03  8.6808119E+03  1.9375830E+04  4.2449654E+04  0.0000000E+00
  8.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7544737E+01  6.5861428E+01  1.8822628E+02  4.9081657E+02  1.2194356E+03  2.9227478E+03  6.7788416E+03  1.5451816E+04  3.4652310E+04  0.0000000E+00
  8.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4689440E+00  4.0344702E+01  1.2442315E+02  3.4032445E+02  8.7478621E+02  2.1707598E+03  5.2197809E+03  1.2161035E+04  2.7865347E+04  0.0000000E+00
  8.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4792941E+01  8.1919448E+01  2.3141578E+02  6.1382663E+02  1.5838873E+03  3.9346530E+03  9.4775953E+03  2.2163893E+04  0.0000000E+00
  8.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6298574E+01  5.5320722E+01  1.5972259E+02  4.3225689E+02  1.1318504E+03  2.8947916E+03  7.2725913E+03  1.7515754E+04  0.0000000E+00
  9.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2485750E+01  4.0145787E+01  1.1397492E+02  3.0877851E+02  8.1798139E+02  2.1309380E+03  5.4553987E+03  1.3633682E+04  0.0000000E+00
  9.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2664437E+01  8.7509857E+01  2.2928426E+02  6.0109516E+02  1.5745456E+03  4.0967177E+03  1.0486005E+04  0.0000000E+00
