! Table 6 of Lodders (2003), ApJ, 591: 1220
! Massaged into a machine-readable form by EFB 31 May 2012
!
! Z El     A     %            N(Si= 1e6)
!=======================================
  1 H      1     99.99806     2.431e10
  1 H      2      0.00194     4.716e5 
  2 He     3      0.016597    3.889e5 
  2 He     4     99.983403    2.343e9 
  3 Li     6      7.589       4.21    
  3 Li     7     92.411       51.26   
  4 Be     9    100           0.7374  
  5 B     10     19.82        3.433   
  5 B     11     80.18        13.887  
  6 C     12     98.8922      7.001e6 
  6 C     13      1.1078      78420   
  7 N     14     99.6337      1.943e6 
  7 N     15      0.3663      7143    
  8 O     16     99.7628      1.410e7 
  8 O     17      0.0372      5260    
  8 O     18      0.20004     28270   
  9 F     19    100           841.1   
 10 Ne    20     92.9431      1.996e6 
 10 Ne    21      0.2228      4786    
 10 Ne    22      6.8341      1.468e5 
 11 Na    23    100           57510   
 12 Mg    24     78.992       8.057e5 
 12 Mg    25     10.003       1.020e5 
 12 Mg    26     11.005       1.123e5 
 13 Al    27    100           84100   
 14 Si    28     92.22968     9.2230e5
 14 Si    29      4.68316     46830   
 14 Si    30      3.08716     30870   
 15 P     31    100           8373    
 16 S     32     95.018       4.227e5 
 16 S     33      0.75        3340    
 16 S     34      4.215       18750   
 16 S     36      0.017       76      
 17 Cl    35     75.771       3968    
 17 Cl    37     24.229       1269    
 18 Ar    36     84.5946      86710   
 18 Ar    38     15.3808      15765   
 18 Ar    40      0.0246      25      
 19 K     39     93.25811     3443    
 19 K     40      0.011672    0.431   
 19 K     41      6.73022     248.5   
 20 Ca    40     96.941       60947   
 20 Ca    42      0.647       407     
 20 Ca    43      0.135       84.9                            
 20 Ca    44      2.086       1311                            
 20 Ca    46      0.004       2.5                             
 20 Ca    48      0.187       118                             
 21 Sc    45    100           34.20   
 22 Ti    46      8.249       200     
 22 Ti    47      7.437       180     
 22 Ti    48      73.72       1785    
 22 Ti    49      5.409       131     
 22 Ti    50      5.185       126     
 23 V     50      0.2497      0.720   
 23 V     51      99.7503     287.68  
 24 Cr    50      4.3452      559     
 24 Cr    52      83.7895     10775   
 24 Cr    53      9.5006      1222    
 24 Cr    54      2.3647      304     
 25 Mn    55    100           9168    
 26 Fe    54      5.845       48980   
 26 Fe    56      91.754      768,900 
 26 Fe    57      2.119       17760   
 26 Fe    58      0.282       2360    
 27 Co    59    100           2323    
 28 Ni    58     68.0769      32541   
 28 Ni    60     26.2231      12532   
 28 Ni    61      1.1399      545     
 28 Ni    62      3.6345      1737    
 28 Ni    64      0.9256      442     
 29 Cu    63     69.174       364.5   
 29 Cu    65     30.826       162.5   
 30 Zn    64     48.63        596     
 30 Zn    66     27.9         342     
 30 Zn    67      4.10        50.3    
 30 Zn    68     18.75        230     
 30 Zn    70      0.62        7.6     
 31 Ga    69     60.1079      21.62   
 31 Ga    71     39.8921      14.35   
 32 Ge    70     21.234       25.6    
 32 Ge    72     27.662       33.4    
 32 Ge    73      7.717       9.3     
 32 Ge    74     35.943       43.3    
 32 Ge    76      7.444       9.0     
 33 As    75    100           6.089   
 34 Se    74      0.889       0.58    
 34 Se    76      9.366       6.16    
 34 Se    77      7.635       5.02    
 34 Se    78     23.772       15.64   
 34 Se    80     49.607       32.64   
 34 Se    82      8.731       5.74    
 35 Br    79     50.686       5.74    
 35 Br    81     49.314       5.58    
 36 Kr    78      0.362       0.20    
 36 Kr    80      2.33        1.28    
 36 Kr    82     11.65        6.43    
 36 Kr    83     11.55        6.37    
 36 Kr    84     56.90        31.38   
 36 Kr    86     17.21        9.49    
 37 Rb    85     72.1654      4.743
 37 Rb    87     27.8346      1.829
 38 Sr    84      0.5551      0.13124
 38 Sr    86      9.8168      2.32069
 38 Sr    87      7.3771      1.7439
 38 Sr    88     82.2510      19.4441
 39 Y     89    100           4.608
 40 Zr    90     51.452       5.830
 40 Zr    91     11.223       1.272
 40 Zr    92     17.146       1.943
 40 Zr    94     17.38        1.969
 40 Zr    96      2.799       0.317
 41 Nb    93    100           0.7554
 42 Mo    92     14.8362      0.386
 42 Mo    94      9.2466      0.241
 42 Mo    95     15.9201      0.414
 42 Mo    96     16.6756      0.434
 42 Mo    97      9.5551      0.249
 42 Mo    98     24.1329      0.628
 42 Mo   100      9.6335      0.251
 44 Ru    96      5.542       0.1053
 44 Ru    98      1.8688      0.0355
 44 Ru    99     12.7579      0.242
 44 Ru   100     12.5985      0.239
 44 Ru   101     17.06        0.324
 44 Ru   102     31.5519      0.599
 44 Ru   104     18.621       0.354
 45 Rh   103    100           0.3708
 46 Pd   102      1.02        0.0146
 46 Pd   104     11.14        0.160
 46 Pd   105     22.33        0.320
 46 Pd   106     27.33        0.392
 46 Pd   108     26.46        0.380
 46 Pd   110     11.72        0.168
 47 Ag   107     51.8392      0.2547
