#Teff logg mdivh bb_U bb_B bb_V bb_R bb_I
100.0 0.0 0.0 -409.151331102 -316.731992341 -244.997036826 -194.223290877 -171.273521464
200.0 0.0 0.0 -195.20027507 -149.94644848 -114.492656174 -89.5010554457 -77.8565520924
300.0 0.0 0.0 -124.640735664 -95.1087464647 -71.7486752285 -55.351122907 -47.4750415734
400.0 0.0 0.0 -89.7298970317 -68.0588265278 -50.7456158265 -38.6450877085 -32.6532173848
500.0 0.0 0.0 -69.0028615629 -52.0483422762 -38.3632478957 -26.8601084269 -22.8311658979
600.0 0.0 0.0 -55.3305836241 -41.5204318155 -29.3917887107 -21.3102322963 -17.5659431532
700.0 0.0 0.0 -45.6685583781 -31.6521229113 -24.1273463012 -17.3665121977 -13.8770051178
800.0 0.0 0.0 -38.4998579911 -26.847732745 -20.2593033448 -14.4260297012 -11.1668883431
900.0 0.0 0.0 -31.0351181815 -23.1290754436 -17.2599008903 -12.1547937337 -9.1049472644
1000.0 0.0 0.0 -27.0552843401 -20.171242552 -14.8726836394 -10.3525175121 -7.49352365413
1100.0 0.0 0.0 -23.8211834265 -17.7660703452 -12.9333106179 -8.89176333998 -6.20728478288
1200.0 0.0 0.0 -21.1455804531 -15.7749805502 -11.3314085202 -7.68754079997 -5.1629765984
1300.0 0.0 0.0 -18.8989652845 -14.1021603608 -9.99000443966 -6.68094898823 -4.30317742196
1400.0 0.0 0.0 -16.9888191556 -12.6792454558 -8.85374072154 -5.82984192035 -3.58703420767
1500.0 0.0 0.0 -15.3473105354 -11.4561405423 -7.88177196015 -5.10323855053 -2.98471456654
1600.0 0.0 0.0 -13.9235887112 -10.3952906812 -7.0433004825 -4.47783639983 -2.47394500213
1700.0 0.0 0.0 -12.678792226 -9.46798084548 -6.31466925762 -3.93575979009 -2.03777442202
1800.0 0.0 0.0 -11.5827188161 -8.65187348241 -5.67741098559 -3.46306041815 -1.66308544361
1900.0 0.0 0.0 -10.6115458703 -7.92932675377 -5.11690438529 -3.04869173124 -1.33957744886
2000.0 0.0 0.0 -9.74623431045 -7.28621927689 -4.62142751097 -2.68379052132 -1.05905593933
2100.0 0.0 0.0 -8.97138837241 -6.7111118512 -4.1814773929 -2.36116298736 -0.814925875682
2200.0 0.0 0.0 -8.27442636235 -6.19463847857 -3.78927239204 -2.07491010348 -0.601823939627
2300.0 0.0 0.0 -7.6449678022 -5.72905658374 -3.43838243556 -1.82014991179 -0.41534731971
2400.0 0.0 0.0 -7.07437387225 -5.30790980838 -3.12345036593 -1.59280854709 -0.251850775969
2500.0 0.0 0.0 -6.55539823134 -4.92577174232 -2.83997925687 -1.38946084055 -0.108292792085
2600.0 0.0 0.0 -6.0819184941 -4.57804873737 -2.58416818693 -1.20720724544 0.0178824598345
2700.0 0.0 0.0 -5.64872744753 -4.26082645345 -2.35278408093 -1.043577749 0.128836674175
2800.0 0.0 0.0 -5.25136906517 -3.97074919223 -2.14306072239 -0.896456091825 0.226409144937
2900.0 0.0 0.0 -4.88600849922 -3.70492410244 -1.95261846174 -0.764019448275 0.31217349266
3000.0 0.0 0.0 -4.54932811668 -3.46084445862 -1.77939984921 -0.644690004053 0.387482911566
3100.0 0.0 0.0 -4.23844369392 -3.23632771407 -1.62161763695 -0.537095779024 0.453506549273
3200.0 0.0 0.0 -3.95083635592 -3.02946510492 -1.47771247259 -0.44003869944 0.511258975293
3300.0 0.0 0.0 -3.6842969172 -2.83858036337 -1.34631824814 -0.35246840507 0.561624215637
3400.0 0.0 0.0 -3.43688006842 -2.66219567296 -1.22623354159 -0.273460610851 0.60537548691
3500.0 0.0 0.0 -3.20686643715 -2.49900342405 -1.116397942 -0.202199161322 0.64319149307
3600.0 0.0 0.0 -2.99273099 -2.3478426479 -1.0158723149 -0.137961021351 0.675669963955
3700.0 0.0 0.0 -2.79311657457 -2.20767924912 -0.923822266836 -0.0801036891401 0.703338961411
3800.0 0.0 0.0 -2.60681165328 -2.07758934111 -0.839504222556 -0.0280545773522 0.726666369011
3900.0 0.0 0.0 -2.4327314753 -1.95674513087 -0.762253647773 0.0186979846306 0.746067895053
4000.0 0.0 0.0 -2.26990208407 -1.84440290994 -0.691475043128 0.0606124079 0.761913852035
