Wavelength,Transmission
3247.5,7e-05
3250.0,0.00011
3252.5,0.00015
3255.0,0.0002
3257.5,0.00028
3260.0,0.00038
3262.5,0.00052
3265.0,0.00069
3267.5,0.00091
3270.0,0.00118
3272.5,0.00149
3275.0,0.00187
3277.5,0.00234
3280.0,0.00289
3282.5,0.00352
3285.0,0.00423
3287.5,0.00509
3290.0,0.00606
3292.5,0.0071
3295.0,0.00827
3297.5,0.00957
3300.0,0.01099
3302.5,0.01252
3305.0,0.01416
3307.5,0.01594
3310.0,0.01784
3312.5,0.0198
3315.0,0.02187
3317.5,0.02406
3320.0,0.02631
3322.5,0.02863
3325.0,0.03101
3327.5,0.03347
3330.0,0.03599
3332.5,0.03855
3335.0,0.04117
3337.5,0.04384
3340.0,0.04654
3342.5,0.04925
3345.0,0.05199
3347.5,0.05474
3350.0,0.05748
3352.5,0.06018
3355.0,0.06289
3357.5,0.06558
3360.0,0.06828
3362.5,0.07099
3365.0,0.07368
3367.5,0.07636
3370.0,0.07898
3372.5,0.08158
3375.0,0.08413
3377.5,0.08665
3380.0,0.08916
3382.5,0.09166
3385.0,0.09414
3387.5,0.09659
3390.0,0.09901
3392.5,0.1014
3395.0,0.10374
3397.5,0.10607
3400.0,0.10837
3402.5,0.11068
3405.0,0.11297
3407.5,0.11523
3410.0,0.11743
3412.5,0.11961
3415.0,0.12173
3417.5,0.12379
3420.0,0.12581
3422.5,0.12778
3425.0,0.12968
3427.5,0.13154
3430.0,0.13333
3432.5,0.1351
3435.0,0.13683
3437.5,0.1385
3440.0,0.14013
3442.5,0.14175
3445.0,0.14334
3447.5,0.14488
3450.0,0.14633
3452.5,0.14772
3455.0,0.14904
3457.5,0.15029
3460.0,0.1515
3462.5,0.15268
3465.0,0.15382
3467.5,0.1549
3470.0,0.15593
3472.5,0.15692
3475.0,0.15786
3477.5,0.15875
3480.0,0.15959
3482.5,0.16039
3485.0,0.16117
3487.5,0.16187
3490.0,0.16255
3492.5,0.16319
3495.0,0.16379
3497.5,0.16435
3500.0,0.16486
3502.5,0.16535
3505.0,0.1658
3507.5,0.1662
3510.0,0.16654
3512.5,0.16686
3515.0,0.16712
3517.5,0.16733
3520.0,0.1675
3522.5,0.16765
3525.0,0.16776
3527.5,0.16783
3530.0,0.1679
3532.5,0.16798
3535.0,0.16806
3537.5,0.16809
3540.0,0.16809
3542.5,0.16805
3545.0,0.16795
3547.5,0.16783
3550.0,0.16767
3552.5,0.1675
3555.0,0.16733
3557.5,0.1671
3560.0,0.16684
3562.5,0.16654
3565.0,0.1662
3567.5,0.16583
3570.0,0.16548
3572.5,0.16515
3575.0,0.16484
3577.5,0.1645
3580.0,0.16412
3582.5,0.16369
3585.0,0.16322
3587.5,0.16273
3590.0,0.16223
3592.5,0.16173
3595.0,0.16122
3597.5,0.16072
3600.0,0.16023
3602.5,0.15974
3605.0,0.15927
3607.5,0.15879
3610.0,0.15826
3612.5,0.15767
3615.0,0.15706
3617.5,0.15644
3620.0,0.15585
3622.5,0.15533
3625.0,0.15484
3627.5,0.15435
3630.0,0.15384
3632.5,0.15329
3635.0,0.15272
3637.5,0.15214
3640.0,0.1516
3642.5,0.15108
3645.0,0.15059
3647.5,0.15007
3650.0,0.14956
3652.5,0.14907
3655.0,0.14859
3657.5,0.14811
3660.0,0.1476
3662.5,0.14709
3665.0,0.14656
3667.5,0.14604
3670.0,0.14555
3672.5,0.1451
3675.0,0.14468
3677.5,0.14429
3680.0,0.1439
3682.5,0.14353
3685.0,0.14318
3687.5,0.14283
3690.0,0.14247
3692.5,0.14208
3695.0,0.14168
3697.5,0.1413
3700.0,0.14097
3702.5,0.1407
3705.0,0.14046
3707.5,0.14024
3710.0,0.14
3712.5,0.13973
3715.0,0.13944
3717.5,0.13916
3720.0,0.13889
3722.5,0.13864
3725.0,0.1384
3727.5,0.13818
3730.0,0.13798
3732.5,0.13779
3735.0,0.13761
3737.5,0.13747
3740.0,0.13735
3742.5,0.13725
3745.0,0.13718
3747.5,0.13713
3750.0,0.13713
3752.5,0.13714
3755.0,0.13719
3757.5,0.13727
3760.0,0.13736
3762.5,0.13745
3765.0,0.13757
3767.5,0.13771
3770.0,0.13788
3772.5,0.13804
3775.0,0.13825
3777.5,0.13851
3780.0,0.13885
3782.5,0.13925
3785.0,0.13973
3787.5,0.14028
3790.0,0.14089
3792.5,0.14152
3795.0,0.1422
3797.5,0.14297
3800.0,0.14379
3802.5,0.14467
3805.0,0.14561
3807.5,0.14666
3810.0,0.1478
3812.5,0.14899
3815.0,0.1503
3817.5,0.1517
3820.0,0.15317
3822.5,0.15468
3825.0,0.15625
3827.5,0.15792
3830.0,0.15969
3832.5,0.16152
3835.0,0.16345
3837.5,0.16549
3840.0,0.16762
3842.5,0.16979
3845.0,0.17203
3847.5,0.17439
3850.0,0.17688
3852.5,0.17943
3855.0,0.18208
3857.5,0.18487
3860.0,0.18771
3862.5,0.1906
3865.0,0.19355
3867.5,0.1966
3870.0,0.19973
3872.5,0.20291
3875.0,0.20616
3877.5,0.20953
3880.0,0.21295
3882.5,0.21645
3885.0,0.22003
3887.5,0.22368
3890.0,0.22737
3892.5,0.23108
3895.0,0.23482
3897.5,0.23863
3900.0,0.24247
3902.5,0.24633
3905.0,0.25024
3907.5,0.25419
3910.0,0.2582
3912.5,0.26225
3915.0,0.26633
3917.5,0.27045
3920.0,0.27455
3922.5,0.27862
3925.0,0.28267
3927.5,0.28672
3930.0,0.2908
3932.5,0.29492
3935.0,0.29905
3937.5,0.30317
3940.0,0.30724
3942.5,0.31124
3945.0,0.3152
3947.5,0.31911
3950.0,0.32302
3952.5,0.32696
3955.0,0.33089
3957.5,0.33478
3960.0,0.33864
3962.5,0.34245
3965.0,0.34621
3967.5,0.34993
3970.0,0.3536
3972.5,0.35723
3975.0,0.36081
3977.5,0.36437
3980.0,0.36795
3982.5,0.37156
3985.0,0.37519
3987.5,0.37879
3990.0,0.38233
3992.5,0.38583
3995.0,0.38928
3997.5,0.39268
4000.0,0.39599
4002.5,0.39924
4005.0,0.40244
4007.5,0.4056
4010.0,0.40877
4012.5,0.41197
4015.0,0.41519
4017.5,0.41842
4020.0,0.42168
4022.5,0.42499
4025.0,0.42833
4027.5,0.43165
