Wavelength,Transmission
3245.0,7e-05
3247.5,0.00013
3250.0,0.00023
3252.5,0.00032
3255.0,0.0004
3257.5,0.0005
3260.0,0.00068
3262.5,0.00097
3265.0,0.00141
3267.5,0.002
3270.0,0.00268
3272.5,0.00333
3275.0,0.00389
3277.5,0.00449
3280.0,0.00547
3282.5,0.00704
3285.0,0.00925
3287.5,0.01202
3290.0,0.01503
3292.5,0.01794
3295.0,0.02075
3297.5,0.02361
3300.0,0.0266
3302.5,0.02981
3305.0,0.03329
3307.5,0.03699
3310.0,0.04122
3312.5,0.04643
3315.0,0.05239
3317.5,0.05874
3320.0,0.06513
3322.5,0.07133
3325.0,0.07721
3327.5,0.08281
3330.0,0.08826
3332.5,0.0937
3335.0,0.09891
3337.5,0.10395
3340.0,0.10921
3342.5,0.11484
3345.0,0.12071
3347.5,0.12657
3350.0,0.13223
3352.5,0.13764
3355.0,0.1428
3357.5,0.14772
3360.0,0.15236
3362.5,0.15682
3365.0,0.16114
3367.5,0.16546
3370.0,0.17012
3372.5,0.17553
3375.0,0.18135
3377.5,0.18728
3380.0,0.19315
3382.5,0.19888
3385.0,0.20432
3387.5,0.20945
3390.0,0.21431
3392.5,0.21889
3395.0,0.22308
3397.5,0.22681
3400.0,0.23026
3402.5,0.23337
3405.0,0.23612
3407.5,0.23878
3410.0,0.24062
3412.5,0.24113
3415.0,0.24391
3417.5,0.25
3420.0,0.25595
3422.5,0.26023
3425.0,0.2629
3427.5,0.26545
3430.0,0.26831
3432.5,0.27108
3435.0,0.27371
3437.5,0.27623
3440.0,0.2787
3442.5,0.28112
3445.0,0.28349
3447.5,0.28573
3450.0,0.28782
3452.5,0.28981
3455.0,0.29166
3457.5,0.29337
3460.0,0.29501
3462.5,0.2966
3465.0,0.29812
3467.5,0.29953
3470.0,0.30085
3472.5,0.30212
3475.0,0.30331
3477.5,0.3044
3480.0,0.30541
3482.5,0.30637
3485.0,0.30727
3487.5,0.30806
3490.0,0.30881
3492.5,0.30952
3495.0,0.31018
3497.5,0.31075
3500.0,0.31127
3502.5,0.31173
3505.0,0.31213
3507.5,0.31245
3510.0,0.31269
3512.5,0.31289
3515.0,0.31302
3517.5,0.31308
3520.0,0.31309
3522.5,0.31305
3525.0,0.31296
3527.5,0.31283
3530.0,0.3127
3532.5,0.31261
3535.0,0.31253
3537.5,0.3124
3540.0,0.31221
3542.5,0.31195
3545.0,0.31163
3547.5,0.31125
3550.0,0.31084
3552.5,0.31044
3555.0,0.31001
3557.5,0.30953
3560.0,0.309
3562.5,0.30839
3565.0,0.30774
3567.5,0.30706
3570.0,0.30641
3572.5,0.30582
3575.0,0.30527
3577.5,0.30468
3580.0,0.30402
3582.5,0.30329
3585.0,0.3025
3587.5,0.30167
3590.0,0.30084
3592.5,0.30004
3595.0,0.29924
3597.5,0.29842
3600.0,0.29776
3602.5,0.2973
3605.0,0.29692
3607.5,0.2963
3610.0,0.2963
3612.5,0.29797
3615.0,0.29958
3617.5,0.29996
3620.0,0.29966
3622.5,0.29901
3625.0,0.29817
3627.5,0.29716
3630.0,0.2961
3632.5,0.29506
3635.0,0.29408
3637.5,0.29324
3640.0,0.29278
3642.5,0.29274
3645.0,0.29303
3647.5,0.29341
3650.0,0.29365
3652.5,0.29354
3655.0,0.29326
3657.5,0.2929
3660.0,0.29237
3662.5,0.29172
3665.0,0.29106
3667.5,0.29051
3670.0,0.29034
3672.5,0.29076
3675.0,0.2915
3677.5,0.2923
3680.0,0.29309
3682.5,0.29376
3685.0,0.29417
3687.5,0.2942
3690.0,0.29365
3692.5,0.29235
3695.0,0.2905
3697.5,0.28836
3700.0,0.286
3702.5,0.28357
3705.0,0.28127
3707.5,0.2792
3710.0,0.27754
3712.5,0.27644
3715.0,0.27586
3717.5,0.27577
3720.0,0.27615
3722.5,0.27695
3725.0,0.27806
3727.5,0.27934
3730.0,0.2806
3732.5,0.28162
3735.0,0.28242
3737.5,0.28305
3740.0,0.28347
3742.5,0.2837
3745.0,0.28363
3747.5,0.28321
3750.0,0.28245
3752.5,0.28142
3755.0,0.2801
3757.5,0.27836
3760.0,0.27608
3762.5,0.27331
3765.0,0.27024
3767.5,0.26722
3770.0,0.2645
3772.5,0.26221
3775.0,0.26046
3777.5,0.25934
3780.0,0.259
3782.5,0.25944
3785.0,0.26062
3787.5,0.26238
3790.0,0.2646
3792.5,0.26718
3795.0,0.26994
3797.5,0.2726
3800.0,0.27476
3802.5,0.27621
3805.0,0.27696
3807.5,0.27725
3810.0,0.27713
3812.5,0.27655
3815.0,0.27573
3817.5,0.27496
3820.0,0.27445
3822.5,0.27442
3825.0,0.27497
3827.5,0.27611
3830.0,0.27789
3832.5,0.28036
3835.0,0.28345
3837.5,0.28703
3840.0,0.29095
3842.5,0.29505
3845.0,0.29921
3847.5,0.30335
3850.0,0.30723
3852.5,0.31055
3855.0,0.31349
3857.5,0.3163
3860.0,0.31912
3862.5,0.32203
3865.0,0.32505
3867.5,0.32817
3870.0,0.33138
3872.5,0.33473
3875.0,0.33822
3877.5,0.34186
3880.0,0.34567
3882.5,0.34962
3885.0,0.35372
3887.5,0.35796
3890.0,0.36223
3892.5,0.36644
3895.0,0.3707
3897.5,0.37512
3900.0,0.37975
3902.5,0.38462
3905.0,0.38972
3907.5,0.39504
3910.0,0.40062
3912.5,0.4065
3915.0,0.41254
3917.5,0.41855
3920.0,0.42439
3922.5,0.42997
3925.0,0.43521
3927.5,0.44009
3930.0,0.4446
3932.5,0.44871
3935.0,0.45247
3937.5,0.45593
3940.0,0.45915
3942.5,0.46223
3945.0,0.4653
3947.5,0.46852
3950.0,0.47208
3952.5,0.47614
3955.0,0.48066
3957.5,0.48567
3960.0,0.49124
3962.5,0.49733
3965.0,0.50388
3967.5,0.51069
3970.0,0.51766
3972.5,0.5247
3975.0,0.53161
3977.5,0.53821
3980.0,0.54436
3982.5,0.54993
3985.0,0.55482
3987.5,0.55896
3990.0,0.56229
3992.5,0.56485
3995.0,0.56674
3997.5,0.56813
4000.0,0.56917
4002.5,0.57007
4005.0,0.57109
4007.5,0.57241
4010.0,0.5743
4012.5,0.57692
4015.0,0.58036
4017.5,0.58461
4020.0,0.58968
4022.5,0.59554
4025.0,0.60211
4027.5,0.60929
4030.0,0.61696
4032.5,0.62497
4035.0,0.63309
4037.5,0.64109
4040.0,0.64874
4042.5,0.65584
4045.0,0.66221
4047.5,0.66773
4050.0,0.67228
4052.5,0.67579
4055.0,0.67838
4057.5,0.6803
4060.0,0.68186
4062.5,0.68329
4065.0,0.68475
4067.5,0.68631
4070.0,0.68815
4072.5,0.69056
4075.0,0.69343
4077.5,0.6967
4080.0,0.70049
4082.5,0.70477
4085.0,0.70936
4087.5,0.71399
4090.0,0.71832
4092.5,0.72202
4095.0,0.72527
4097.5,0.7283
4100.0,0.73124
4102.5,0.73414
4105.0,0.73703
4107.5,0.73981
4110.0,0.74238
4112.5,0.7447
4115.0,0.7469
4117.5,0.74925
4120.0,0.75201
4122.5,0.75529
4125.0,0.759
4127.5,0.76287
4130.0,0.76675
4132.5,0.7706
4135.0,0.77432
4137.5,0.77777
4140.0,0.78081
4142.5,0.78336
4145.0,0.78544
4147.5,0.78711
4150.0,0.78844
4152.5,0.78943
4155.0,0.79023
4157.5,0.79104
4160.0,0.792
4162.5,0.79326
4165.0,0.79494
4167.5,0.79709
4170.0,0.79991
