Wavelength,Transmission
3245.0,6e-05
3247.5,0.0001
3250.0,0.00017
3252.5,0.00025
3255.0,0.00032
3257.5,0.0004
3260.0,0.00054
3262.5,0.00079
3265.0,0.00117
3267.5,0.00168
3270.0,0.00228
3272.5,0.00285
3275.0,0.00337
3277.5,0.00394
3280.0,0.00485
3282.5,0.00631
3285.0,0.00839
3287.5,0.01102
3290.0,0.01392
3292.5,0.01679
3295.0,0.01963
3297.5,0.02256
3300.0,0.02568
3302.5,0.02908
3305.0,0.0328
3307.5,0.0368
3310.0,0.04141
3312.5,0.04709
3315.0,0.05365
3317.5,0.06071
3320.0,0.06795
3322.5,0.07511
3325.0,0.08204
3327.5,0.08878
3330.0,0.09547
3332.5,0.10223
3335.0,0.10886
3337.5,0.11539
3340.0,0.12225
3342.5,0.1296
3345.0,0.13738
3347.5,0.14522
3350.0,0.15292
3352.5,0.16044
3355.0,0.16777
3357.5,0.17489
3360.0,0.18177
3362.5,0.18849
3365.0,0.19515
3367.5,0.20183
3370.0,0.20901
3372.5,0.2172
3375.0,0.226
3377.5,0.235
3380.0,0.24404
3382.5,0.25297
3385.0,0.26162
3387.5,0.26996
3390.0,0.278
3392.5,0.28578
3395.0,0.29308
3397.5,0.29984
3400.0,0.30624
3402.5,0.31224
3405.0,0.31784
3407.5,0.32328
3410.0,0.32759
3412.5,0.33025
3415.0,0.33594
3417.5,0.34608
3420.0,0.3563
3422.5,0.36427
3425.0,0.36986
3427.5,0.37534
3430.0,0.38137
3432.5,0.38723
3435.0,0.39288
3437.5,0.39842
3440.0,0.40389
3442.5,0.4093
3445.0,0.41465
3447.5,0.41981
3450.0,0.42476
3452.5,0.42955
3455.0,0.43414
3457.5,0.43852
3460.0,0.44278
3462.5,0.44696
3465.0,0.45104
3467.5,0.45493
3470.0,0.45867
3472.5,0.46233
3475.0,0.46586
3477.5,0.4692
3480.0,0.47243
3482.5,0.47554
3485.0,0.47853
3487.5,0.48137
3490.0,0.48409
3492.5,0.48675
3495.0,0.48928
3497.5,0.49167
3500.0,0.49393
3502.5,0.49609
3505.0,0.49813
3507.5,0.50001
3510.0,0.50174
3512.5,0.50337
3515.0,0.50488
3517.5,0.50624
3520.0,0.50746
3522.5,0.50858
3525.0,0.50962
3527.5,0.51054
3530.0,0.51143
3532.5,0.51237
3535.0,0.51328
3537.5,0.51407
3540.0,0.51475
3542.5,0.51528
3545.0,0.51568
3547.5,0.51594
3550.0,0.51614
3552.5,0.5163
3555.0,0.5164
3557.5,0.51637
3560.0,0.51622
3562.5,0.51593
3565.0,0.51554
3567.5,0.51506
3570.0,0.51459
3572.5,0.51421
3575.0,0.51385
3577.5,0.5134
3580.0,0.51282
3582.5,0.51207
3585.0,0.5112
3587.5,0.51023
3590.0,0.50924
3592.5,0.50828
3595.0,0.50726
3597.5,0.50623
3600.0,0.50539
3602.5,0.50487
3605.0,0.5045
3607.5,0.50369
3610.0,0.50388
3612.5,0.50691
3615.0,0.50979
3617.5,0.5106
3620.0,0.5102
3622.5,0.50917
3625.0,0.5078
3627.5,0.50615
3630.0,0.50435
3632.5,0.50258
3635.0,0.50087
3637.5,0.49941
3640.0,0.49855
3642.5,0.4984
3645.0,0.49879
3647.5,0.49932
3650.0,0.49958
3652.5,0.49923
3655.0,0.49855
3657.5,0.49773
3660.0,0.49662
3662.5,0.49527
3665.0,0.49388
3667.5,0.49268
3670.0,0.49209
3672.5,0.49248
3675.0,0.49339
3677.5,0.49439
3680.0,0.49537
3682.5,0.49611
3685.0,0.49638
3687.5,0.49601
3690.0,0.49466
3692.5,0.49201
3695.0,0.48845
3697.5,0.48435
3700.0,0.4799
3702.5,0.47534
3705.0,0.47096
3707.5,0.46697
3710.0,0.46367
3712.5,0.46129
3715.0,0.45977
3717.5,0.45904
3720.0,0.45911
3722.5,0.45986
3725.0,0.46109
3727.5,0.46259
3730.0,0.46403
3732.5,0.46507
3735.0,0.46573
3737.5,0.46608
3740.0,0.46611
3742.5,0.46575
3745.0,0.46495
3747.5,0.46353
3750.0,0.46155
3752.5,0.45916
3755.0,0.45625
3757.5,0.45267
3760.0,0.44822
3762.5,0.44296
3765.0,0.43724
3767.5,0.43161
3770.0,0.42647
3772.5,0.42203
3775.0,0.41844
3777.5,0.41591
3780.0,0.41459
3782.5,0.41454
3785.0,0.41565
3787.5,0.41766
3790.0,0.42039
3792.5,0.42367
3795.0,0.42723
3797.5,0.43059
3800.0,0.43313
3802.5,0.43456
3805.0,0.43486
3807.5,0.43445
3810.0,0.43339
3812.5,0.43159
3815.0,0.42942
3817.5,0.42732
3820.0,0.42565
3822.5,0.42471
3825.0,0.42466
3827.5,0.42552
3830.0,0.42735
3832.5,0.43021
3835.0,0.43402
3837.5,0.43854
3840.0,0.44357
3842.5,0.44883
3845.0,0.45415
3847.5,0.45943
3850.0,0.46428
3852.5,0.46823
3855.0,0.47162
3857.5,0.47479
3860.0,0.47794
3862.5,0.48119
3865.0,0.48464
3867.5,0.48817
3870.0,0.49183
3872.5,0.49565
3875.0,0.49968
3877.5,0.5039
3880.0,0.50835
3882.5,0.51298
3885.0,0.51781
3887.5,0.5228
3890.0,0.52783
3892.5,0.53273
3895.0,0.53767
3897.5,0.54283
3900.0,0.54826
3902.5,0.554
3905.0,0.56006
3907.5,0.56639
3910.0,0.57305
3912.5,0.58013
3915.0,0.58738
3917.5,0.59456
3920.0,0.60147
3922.5,0.60796
3925.0,0.61395
3927.5,0.6194
3930.0,0.6243
