Wavelength,Transmission
6000.0,0.0
6002.5,0.00013
6005.0,0.00014
6007.5,0.00013
6010.0,0.00012
6012.5,0.00013
6015.0,0.00013
6017.5,0.00014
6020.0,0.00015
6022.5,0.00017
6025.0,0.00019
6027.5,0.00021
6030.0,0.00022
6032.5,0.00024
6035.0,0.00025
6037.5,0.00026
6040.0,0.00028
6042.5,0.0003
6045.0,0.00032
6047.5,0.00034
6050.0,0.00037
6052.5,0.00039
6055.0,0.00041
6057.5,0.00043
6060.0,0.00045
6062.5,0.00046
6065.0,0.00048
6067.5,0.0005
6070.0,0.00051
6072.5,0.00054
6075.0,0.00057
6077.5,0.0006
6080.0,0.00063
6082.5,0.00068
6085.0,0.00071
6087.5,0.00076
6090.0,0.0008
6092.5,0.00084
6095.0,0.00088
6097.5,0.00093
6100.0,0.00098
6102.5,0.00103
6105.0,0.00108
6107.5,0.00115
6110.0,0.0012
6112.5,0.00128
6115.0,0.00136
6117.5,0.00144
6120.0,0.00153
6122.5,0.00162
6125.0,0.00171
6127.5,0.00181
6130.0,0.00192
6132.5,0.00204
6135.0,0.00217
6137.5,0.00231
6140.0,0.00247
6142.5,0.00264
6145.0,0.00284
6147.5,0.00304
6150.0,0.00326
6152.5,0.00346
6155.0,0.00368
6157.5,0.00393
6160.0,0.00419
6162.5,0.00447
6165.0,0.00477
6167.5,0.00511
6170.0,0.00548
6172.5,0.00588
6175.0,0.00632
6177.5,0.0068
6180.0,0.00731
6182.5,0.00784
6185.0,0.0084
6187.5,0.00902
6190.0,0.0097
6192.5,0.0104
6195.0,0.01119
6197.5,0.01207
6200.0,0.013
6202.5,0.01398
6205.0,0.01505
6207.5,0.01628
6210.0,0.01765
6212.5,0.01912
6215.0,0.02077
6217.5,0.02264
6220.0,0.02463
6222.5,0.02676
6225.0,0.02906
6227.5,0.03166
6230.0,0.03449
6232.5,0.0374
6235.0,0.04065
6237.5,0.04437
6240.0,0.04849
6242.5,0.05301
6245.0,0.05805
6247.5,0.06381
6250.0,0.07008
6252.5,0.07654
6255.0,0.08369
6257.5,0.09181
6260.0,0.10066
6262.5,0.11021
6265.0,0.12071
6267.5,0.13265
6270.0,0.14576
6272.5,0.15951
6275.0,0.17463
6277.5,0.19164
6280.0,0.21029
6282.5,0.23052
6285.0,0.25243
6287.5,0.27638
6290.0,0.30159
6292.5,0.32694
6295.0,0.35347
6297.5,0.38228
6300.0,0.41378
6302.5,0.44791
6305.0,0.48422
6307.5,0.52174
6310.0,0.5594
6312.5,0.59629
6315.0,0.6324
6317.5,0.66782
6320.0,0.70242
6322.5,0.73596
6325.0,0.76801
6327.5,0.79792
6330.0,0.82587
6332.5,0.85233
6335.0,0.87648
6337.5,0.8978
6340.0,0.9166
6342.5,0.93306
6345.0,0.94717
6347.5,0.95865
6350.0,0.96839
6352.5,0.97755
6355.0,0.98533
6357.5,0.99102
6360.0,0.99478
6362.5,0.99685
6365.0,0.99753
6367.5,0.99718
6370.0,0.9969
6372.5,0.99787
6375.0,0.99922
6377.5,1.0
6380.0,0.99988
6382.5,0.99874
6385.0,0.99673
6387.5,0.99434
6390.0,0.99216
6392.5,0.9906
6395.0,0.98934
6397.5,0.98803
6400.0,0.98659
6402.5,0.98496
6405.0,0.98316
6407.5,0.98134
6410.0,0.97957
6412.5,0.97785
6415.0,0.97619
6417.5,0.97463
6420.0,0.97325
6422.5,0.97208
6425.0,0.97105
6427.5,0.97005
6430.0,0.96896
6432.5,0.96773
6435.0,0.96638
6437.5,0.96492
6440.0,0.96327
6442.5,0.96157
6445.0,0.95981
6447.5,0.95747
6450.0,0.95616
6452.5,0.95796
6455.0,0.96046
6457.5,0.96199
6460.0,0.96326
6462.5,0.96432
6465.0,0.96501
6467.5,0.96548
6470.0,0.96583
6472.5,0.9661
6475.0,0.96624
6477.5,0.96616
6480.0,0.96577
6482.5,0.96505
6485.0,0.96405
6487.5,0.96289
6490.0,0.96166
6492.5,0.96041
6495.0,0.95915
6497.5,0.95793
6500.0,0.9568
6502.5,0.95579
6505.0,0.95489
6507.5,0.95405
6510.0,0.95322
6512.5,0.95237
6515.0,0.95152
6517.5,0.95066
6520.0,0.94968
6522.5,0.94859
6525.0,0.94745
6527.5,0.94635
6530.0,0.94544
6532.5,0.94483
6535.0,0.94442
6537.5,0.94404
6540.0,0.94356
6542.5,0.94296
6545.0,0.94223
6547.5,0.94147
6550.0,0.94081
6552.5,0.94027
6555.0,0.93982
6557.5,0.93938
6560.0,0.93885
6562.5,0.93823
6565.0,0.93757
6567.5,0.937
6570.0,0.93676
6572.5,0.93702
6575.0,0.93755
6577.5,0.93809
6580.0,0.93836
6582.5,0.93825
6585.0,0.93784
6587.5,0.93736
6590.0,0.9371
6592.5,0.9372
6595.0,0.93749
6597.5,0.9378
6600.0,0.93801
6602.5,0.93811
6605.0,0.93806
6607.5,0.93797
6610.0,0.93789
6612.5,0.93785
6615.0,0.93782
6617.5,0.93781
6620.0,0.93783
6622.5,0.93787
6625.0,0.93796
6627.5,0.93809
6630.0,0.93831
6632.5,0.93868
6635.0,0.93911
6637.5,0.93951
6640.0,0.93972
6642.5,0.93971
6645.0,0.93951
6647.5,0.93933
6650.0,0.93931
6652.5,0.93959
6655.0,0.94004
6657.5,0.94053
6660.0,0.94101
6662.5,0.94145
6665.0,0.94179
6667.5,0.94205
6670.0,0.9422
6672.5,0.94219
6675.0,0.94207
6677.5,0.9419
6680.0,0.94173
6682.5,0.9416
6685.0,0.94152
6687.5,0.94152
6690.0,0.94158
6692.5,0.94175
6695.0,0.94199
6697.5,0.9423
6700.0,0.94266
6702.5,0.94303
6705.0,0.94339
6707.5,0.94375
6710.0,0.94401
6712.5,0.94411
6715.0,0.94412
6717.5,0.94417
6720.0,0.94435
6722.5,0.9447
6725.0,0.94521
6727.5,0.94572
6730.0,0.94618
6732.5,0.94651
6735.0,0.94673
6737.5,0.9469
6740.0,0.94699
6742.5,0.94701
6745.0,0.94698
6747.5,0.94691
6750.0,0.94682
6752.5,0.94673
6755.0,0.94665
6757.5,0.94659
6760.0,0.94656
6762.5,0.94657
6765.0,0.94665
6767.5,0.94681
6770.0,0.94711
6772.5,0.94761
6775.0,0.94822
6777.5,0.9488
6780.0,0.94925
6782.5,0.94952
6785.0,0.9496
6787.5,0.94958
6790.0,0.9495
6792.5,0.94933
6795.0,0.94912
6797.5,0.94893
6800.0,0.94889
6802.5,0.94904
6805.0,0.94934
6807.5,0.94961
6810.0,0.94971
6812.5,0.94952
6815.0,0.94915
6817.5,0.94873
6820.0,0.94836
6822.5,0.94809
6825.0,0.94791
6827.5,0.94776
6830.0,0.9476
6832.5,0.94745
6835.0,0.94731
6837.5,0.94717
6840.0,0.947
6842.5,0.9468
6845.0,0.94658
6847.5,0.94637
6850.0,0.94623
6852.5,0.94624
6855.0,0.94633
6857.5,0.94634
6860.0,0.94615
6862.5,0.94571
6865.0,0.94509
6867.5,0.94445
6870.0,0.94401
6872.5,0.9439
6875.0,0.94399
6877.5,0.9441
6880.0,0.94408
6882.5,0.94388
6885.0,0.94353
6887.5,0.94318
6890.0,0.94298
6892.5,0.94303
6895.0,0.94322
6897.5,0.94341
6900.0,0.94349
6902.5,0.9434
6905.0,0.94319
6907.5,0.94298
6910.0,0.94293
6912.5,0.94317
6915.0,0.94355
6917.5,0.94386
6920.0,0.94393
6922.5,0.94372
6925.0,0.94322
6927.5,0.94268
6930.0,0.94223
6932.5,0.94194
6935.0,0.94178
6937.5,0.94169
6940.0,0.94168
6942.5,0.94173
6945.0,0.94186
6947.5,0.94203
6950.0,0.94225
6952.5,0.94251
6955.0,0.9428
6957.5,0.94303
6960.0,0.94312
6962.5,0.94305
6965.0,0.94284
6967.5,0.9426
6970.0,0.94246
6972.5,0.94246
6975.0,0.94257
6977.5,0.94274
6980.0,0.94297
6982.5,0.94323
6985.0,0.94353
6987.5,0.94381
6990.0,0.94406
6992.5,0.94422
6995.0,0.9443
6997.5,0.94438
7000.0,0.94454
7002.5,0.94477
7005.0,0.94507
7007.5,0.9453
7010.0,0.94523
7012.5,0.94472
7015.0,0.94398
7017.5,0.94334
7020.0,0.94308
7022.5,0.94333
7025.0,0.94402
7027.5,0.94478
7030.0,0.94531
7032.5,0.94543
7035.0,0.94531
7037.5,0.94508
7040.0,0.94484
7042.5,0.94462
7045.0,0.94444
7047.5,0.94427
7050.0,0.94411
7052.5,0.94398
7055.0,0.94387
7057.5,0.94382
7060.0,0.9439
7062.5,0.94412
7065.0,0.94442
7067.5,0.94462
7070.0,0.94451
7072.5,0.94384
7075.0,0.94288
7077.5,0.94193
7080.0,0.94134
7082.5,0.9412
7085.0,0.94145
7087.5,0.94176
7090.0,0.94176
7092.5,0.94121
7095.0,0.94039
7097.5,0.93961
7100.0,0.93909
7102.5,0.93896
7105.0,0.93915
7107.5,0.93941
7110.0,0.93951
7112.5,0.93935
7115.0,0.93903
7117.5,0.93866
7120.0,0.93828
7122.5,0.93794
7125.0,0.93762
7127.5,0.93729
7130.0,0.93696
7132.5,0.93662
7135.0,0.93629
7137.5,0.93592
7140.0,0.93548
7142.5,0.93496
7145.0,0.93439
7147.5,0.93385
7150.0,0.93343
7152.5,0.93326
7155.0,0.93321
7157.5,0.93316
7160.0,0.93296
7162.5,0.93256
7165.0,0.93199
7167.5,0.93143
7170.0,0.93101
7172.5,0.93083
7175.0,0.93079
7177.5,0.93077
7180.0,0.93072
7182.5,0.93056
7185.0,0.93031
7187.5,0.93005
7190.0,0.92985
7192.5,0.92971
7195.0,0.9296
7197.5,0.92949
7200.0,0.92934
7202.5,0.92915
7205.0,0.92891
7207.5,0.92866
7210.0,0.92837
7212.5,0.92803
7215.0,0.92768
7217.5,0.92738
7220.0,0.92717
7222.5,0.92708
7225.0,0.92711
7227.5,0.92724
7230.0,0.9275
7232.5,0.92792
7235.0,0.92844
7237.5,0.92895
7240.0,0.92936
