Wavelength,Transmission
149120.0,0.00028657
149185.68,0.00088887107
149251.36,0.0014911721
149317.04,0.0020934732
149382.71,0.0026957787
149448.39,0.003299955
149514.07,0.0039286105
149579.75,0.0046578785
149645.43,0.005585546
149711.11,0.0067253676
149776.78,0.0079893968
149842.46,0.0092897628
149908.14,0.010594119
149973.82,0.011905905
150039.5,0.013285404
150105.18,0.014894724
150170.85,0.016894363
150236.53,0.019257035
150302.21,0.021802703
150367.89,0.024392539
150433.57,0.026985696
150499.25,0.029579986
150564.92,0.032237481
150630.6,0.035365939
150696.28,0.039902104
150761.96,0.04659242
150827.64,0.05509317
150893.32,0.064408961
150958.99,0.073893961
151024.67,0.083388226
151090.35,0.092882495
151156.03,0.10237676
151221.71,0.11187103
151287.39,0.12136509
151353.07,0.13084611
151418.74,0.1402269
151484.42,0.14930184
151550.1,0.15790039
151615.78,0.16609161
151681.46,0.17409592
151747.14,0.18206045
151812.81,0.19002269
151878.49,0.19798493
151944.17,0.20594564
152009.85,0.21384013
152075.53,0.22128307
152141.21,0.22744993
152206.88,0.23175182
152272.56,0.2345549
152338.24,0.2367165
152403.92,0.23875017
152469.6,0.24072464
152535.28,0.24246635
152600.95,0.24372798
152666.63,0.24445499
152732.31,0.24485552
152797.99,0.24515543
152863.67,0.24544348
152929.35,0.24573138
152995.03,0.24601929
153060.7,0.24630719
153126.38,0.24659638
153192.06,0.24690914
153257.74,0.24733597
153323.42,0.24801697
153389.1,0.2490012
153454.77,0.25018418
153520.45,0.25143563
153586.13,0.25271025
153651.81,0.25402964
153717.49,0.25542023
153783.17,0.25687313
153848.84,0.25835539
153914.52,0.25984413
153980.2,0.26133327
154045.88,0.26282241
154111.56,0.26431156
154177.24,0.2658007
154242.91,0.26728985
154308.59,0.26877899
154374.27,0.27026813
154439.95,0.27175728
154505.63,0.27324572
154571.31,0.27472441
154636.98,0.27616149
154702.66,0.27751421
154768.34,0.27877439
154834.02,0.27997874
154899.7,0.28115615
154965.38,0.28226239
155031.06,0.28317245
155096.73,0.28379545
155162.41,0.28418743
155228.09,0.28448039
155293.77,0.28475412
155359.45,0.28502693
155425.13,0.28529975
155490.8,0.28557223
155556.48,0.28583381
155622.16,0.28602896
155687.84,0.28604974
155753.52,0.28583074
155819.2,0.2854303
155884.87,0.28495746
155950.55,0.28447191
156016.23,0.28398397
156081.91,0.28346949
156147.59,0.28284276
156213.27,0.28198974
156278.94,0.28088986
156344.62,0.27964248
156410.3,0.27835089
156475.98,0.27705436
156541.66,0.27575778
156607.34,0.2744612
156673.02,0.27316462
156738.69,0.27186803
156804.37,0.27057145
156870.05,0.26927487
156935.73,0.26797829
157001.41,0.26668171
157067.09,0.26538512
157132.76,0.26408843
157198.44,0.26278263
157264.12,0.26140076
157329.8,0.25977435
157395.48,0.25775031
157461.16,0.25537164
157526.83,0.25281775
157592.51,0.25014251
157658.19,0.24706757
157723.87,0.24311189
157789.55,0.23810967
157855.23,0.23242449
157920.9,0.22651126
157986.58,0.2205675
158052.26,0.21462319
158117.94,0.20867888
158183.62,0.20273457
158249.3,0.19679025
158314.97,0.19084452
158380.65,0.18487145
158446.33,0.17876388
158512.01,0.17235254
158577.69,0.16557431
158643.37,0.1585524
158709.05,0.15144719
158774.72,0.14433038
158840.4,0.13721333
158906.08,0.13009629
158971.76,0.12297924
159037.44,0.11586219
159103.12,0.10874515
159168.79,0.1016281
159234.47,0.094511055
159300.15,0.087394009
159365.83,0.080276962
159431.51,0.073159991
159497.19,0.066057454
159562.86,0.059108938
159628.54,0.052728358
159694.22,0.04737624
159759.9,0.043039619
159825.58,0.039248856
159891.26,0.035601214
159956.93,0.031966202
160022.61,0.028331461
160088.29,0.024714049
160153.97,0.021241891
160219.65,0.018237587
160285.33,0.015995053
160351.01,0.014432853
160416.68,0.013198554
160482.36,0.012038838
160548.04,0.010884085
160613.72,0.0097293372
160679.4,0.0085747461
160745.08,0.0074288734
160810.75,0.0063478029
160876.43,0.005460075
160942.11,0.0048678015
161007.79,0.0045235008
161073.47,0.0042906619
161139.15,0.0040809142
161204.82,0.0038724247
161270.5,0.0036639358
161336.18,0.0034554468
161401.86,0.0032469578
161467.54,0.0030384688
161533.22,0.0028299798
161598.89,0.0026214908
161664.57,0.0024130019
161730.25,0.0022045129
161795.93,0.0019960239
161861.61,0.0017875349
161927.29,0.0015790459
161992.96,0.0013705569
162058.64,0.001162068
162124.32,0.00095357898
162190.0,0.00074509
