Wavelength,Transmission
214040.0,0.0001
214100.0,0.0001
214160.0,0.0001
214220.0,0.0001
214280.0,0.0001
214330.0,0.0001
214390.0,0.0002
214450.0,0.0002
214510.0,0.0002
214570.0,0.0002
214620.0,0.0002
214680.0,0.0003
214740.0,0.0003
214800.0,0.0003
214860.0,0.0003
214910.0,0.0003
214970.0,0.0003
215030.0,0.0004
215090.0,0.0004
215150.0,0.0004
215200.0,0.0004
215260.0,0.0004
215320.0,0.0004
215380.0,0.0004
215440.0,0.0004
215490.0,0.0004
215550.0,0.0004
215610.0,0.0004
215670.0,0.0004
215730.0,0.0004
215780.0,0.0004
215840.0,0.0004
215900.0,0.0004
215960.0,0.0004
216020.0,0.0004
216070.0,0.0004
216130.0,0.0004
216190.0,0.0004
216250.0,0.0004
216310.0,0.0004
216360.0,0.0003
216420.0,0.0003
216480.0,0.0003
216540.0,0.0003
216600.0,0.0003
216650.0,0.0003
216710.0,0.0003
216770.0,0.0003
216830.0,0.0003
216890.0,0.0003
216940.0,0.0003
217000.0,0.0003
217060.0,0.0003
217120.0,0.0003
217180.0,0.0003
217230.0,0.0003
217290.0,0.0003
217350.0,0.0003
217410.0,0.0003
217470.0,0.0003
217520.0,0.0003
217580.0,0.0003
217640.0,0.0003
217700.0,0.0003
217760.0,0.0003
217810.0,0.0003
217870.0,0.0003
217930.0,0.0003
217990.0,0.0004
218050.0,0.0004
218100.0,0.0004
218160.0,0.0004
218220.0,0.0004
218280.0,0.0004
218340.0,0.0004
218390.0,0.0005
218450.0,0.0005
218510.0,0.0005
218570.0,0.0005
218630.0,0.0005
218680.0,0.0006
218740.0,0.0006
218800.0,0.0006
218860.0,0.0006
218920.0,0.0007
218970.0,0.0007
219030.0,0.0007
219090.0,0.0007
219150.0,0.0008
219210.0,0.0008
219260.0,0.0008
219320.0,0.0008
219380.0,0.0009
219440.0,0.0009
219500.0,0.0009
219550.0,0.001
219610.0,0.001
219670.0,0.001
219730.0,0.001
219790.0,0.0011
219840.0,0.0011
219900.0,0.0011
219960.0,0.0012
220020.0,0.0012
220080.0,0.0012
220130.0,0.0012
220190.0,0.0013
220250.0,0.0013
220310.0,0.0013
220370.0,0.0013
220420.0,0.0013
220480.0,0.0014
220540.0,0.0014
220600.0,0.0014
220660.0,0.0014
220710.0,0.0014
220770.0,0.0014
220830.0,0.0015
220890.0,0.0015
220950.0,0.0015
221000.0,0.0015
221060.0,0.0015
221120.0,0.0015
221180.0,0.0015
221240.0,0.0015
221290.0,0.0015
221350.0,0.0015
221410.0,0.0015
221470.0,0.0015
221530.0,0.0015
221580.0,0.0015
221640.0,0.0015
221700.0,0.0015
221760.0,0.0015
221820.0,0.0016
221870.0,0.0016
221930.0,0.0016
221990.0,0.0016
222050.0,0.0016
222110.0,0.0016
222160.0,0.0016
222220.0,0.0016
222280.0,0.0016
222340.0,0.0016
222400.0,0.0017
222450.0,0.0017
222510.0,0.0017
222570.0,0.0017
222630.0,0.0017
222690.0,0.0018
222740.0,0.0018
222800.0,0.0018
222860.0,0.0019
222920.0,0.0019
222980.0,0.0019
223030.0,0.002
223090.0,0.002
223150.0,0.0021
223210.0,0.0021
223270.0,0.0022
223320.0,0.0023
223380.0,0.0023
223440.0,0.0024
223500.0,0.0025
223560.0,0.0025
223610.0,0.0026
223670.0,0.0027
223730.0,0.0028
223790.0,0.0029
223850.0,0.0029
223900.0,0.003
223960.0,0.0031
224020.0,0.0032
224080.0,0.0033
224140.0,0.0034
224190.0,0.0036
224250.0,0.0037
224310.0,0.0038
224370.0,0.0039
224430.0,0.004
224480.0,0.0041
224540.0,0.0042
224600.0,0.0044
224660.0,0.0045
224720.0,0.0046
224770.0,0.0047
224830.0,0.0048
224890.0,0.005
224950.0,0.0051
225010.0,0.0052
225060.0,0.0053
225120.0,0.0055
225180.0,0.0056
225240.0,0.0057
225300.0,0.0058
225350.0,0.006
225410.0,0.0061
225470.0,0.0062
225530.0,0.0063
225590.0,0.0065
225640.0,0.0066
225700.0,0.0067
225760.0,0.0069
225820.0,0.007
225880.0,0.0071
225930.0,0.0073
225990.0,0.0074
226050.0,0.0075
226110.0,0.0077
226170.0,0.0078
226220.0,0.008
226280.0,0.0081
226340.0,0.0083
226400.0,0.0085
226460.0,0.0087
226510.0,0.0088
226570.0,0.009
226630.0,0.0092
226690.0,0.0094
226750.0,0.0096
226800.0,0.0098
226860.0,0.0101
226920.0,0.0103
226980.0,0.0105
227040.0,0.0108
227090.0,0.0111
227150.0,0.0113
227210.0,0.0116
227270.0,0.0119
227330.0,0.0122
227380.0,0.0125
227440.0,0.0129
227500.0,0.0132
227560.0,0.0135
227620.0,0.0139
227670.0,0.0143
227730.0,0.0147
227790.0,0.015
227850.0,0.0155
227910.0,0.0159
227960.0,0.0163
228020.0,0.0167
228080.0,0.0172
228140.0,0.0176
228200.0,0.0181
228250.0,0.0186
228310.0,0.0191
228370.0,0.0196
228430.0,0.0201
228490.0,0.0206
228540.0,0.0212
228600.0,0.0217
228660.0,0.0223
228720.0,0.0228
228780.0,0.0234
228830.0,0.024
228890.0,0.0246
228950.0,0.0252
229010.0,0.0258
229070.0,0.0265
229120.0,0.0272
229180.0,0.0278
229240.0,0.0285
229300.0,0.0292
229360.0,0.0299
229410.0,0.0306
229470.0,0.0314
229530.0,0.0321
229590.0,0.0329
229650.0,0.0337
229700.0,0.0345
229760.0,0.0353
229820.0,0.0361
229880.0,0.037
229940.0,0.0378
229990.0,0.0387
230050.0,0.0396
230110.0,0.0405
230170.0,0.0414
230230.0,0.0424
230280.0,0.0434
230340.0,0.0444
230400.0,0.0454
230460.0,0.0465
230520.0,0.0476
230570.0,0.0486
230630.0,0.0498
230690.0,0.0509
230750.0,0.0521
230810.0,0.0533
230860.0,0.0545
230920.0,0.0558
230980.0,0.057
231040.0,0.0584
231100.0,0.0597
231150.0,0.0611
231210.0,0.0624
231270.0,0.0639
231330.0,0.0653
231390.0,0.0668
231440.0,0.0683
231500.0,0.0698
231560.0,0.0713
231620.0,0.0729
231680.0,0.0745
231730.0,0.0761
231790.0,0.0777
231850.0,0.0794
231910.0,0.081
231970.0,0.0827
232020.0,0.0844
232080.0,0.0861
232140.0,0.0879
232200.0,0.0896
232260.0,0.0914
232310.0,0.0932
232370.0,0.0949
232430.0,0.0967
232490.0,0.0985
232550.0,0.1003
232600.0,0.1022
232660.0,0.104
232720.0,0.1058
232780.0,0.1077
232840.0,0.1095
232890.0,0.1114
232950.0,0.1132
233010.0,0.1151
233070.0,0.1169
233130.0,0.1188
233180.0,0.1207
233240.0,0.1225
233300.0,0.1244
233360.0,0.1263
233420.0,0.1281
233470.0,0.13
233530.0,0.1319
233590.0,0.1337
233650.0,0.1356
233710.0,0.1374
233760.0,0.1393
233820.0,0.1411
233880.0,0.1429
233940.0,0.1448
234000.0,0.1466
234050.0,0.1484
234110.0,0.1502
234170.0,0.152
234230.0,0.1537
234290.0,0.1555
234340.0,0.1573
234400.0,0.159
234460.0,0.1607
234520.0,0.1624
234580.0,0.1641
234630.0,0.1658
234690.0,0.1674
234750.0,0.169
234810.0,0.1707
234870.0,0.1722
234920.0,0.1738
234980.0,0.1754
235040.0,0.1769
235100.0,0.1785
235160.0,0.1801
235210.0,0.1816
235270.0,0.1831
235330.0,0.1846
235390.0,0.1861
235450.0,0.1875
235500.0,0.1889
235560.0,0.1903
235620.0,0.1916
235680.0,0.1929
235740.0,0.1942
235790.0,0.1955
235850.0,0.1967
235910.0,0.1978
235970.0,0.199
236030.0,0.2002
236080.0,0.2012
236140.0,0.2023
236200.0,0.2034
236260.0,0.2044
236320.0,0.2053
236370.0,0.2063
236430.0,0.2072
236490.0,0.2081
236550.0,0.209
236610.0,0.2099
236660.0,0.2107
236720.0,0.2115
236780.0,0.2123
236840.0,0.213
236900.0,0.2137
