Wavelength,Transmission
12797.9,0.000114018
12807.9,0.000130904
12817.9,0.000150553
12827.9,0.00017276
12837.9,0.000198265
12847.9,0.000227338
12857.9,0.000261516
12867.9,0.000302631
12877.9,0.000346276
12887.9,0.00040194
12897.9,0.000466704
12907.9,0.000539474
12917.9,0.000625161
12927.9,0.000738185
12937.9,0.000860926
12947.9,0.00100688
12957.9,0.00120139
12967.9,0.00142181
12977.9,0.00169382
12987.9,0.00204397
12997.9,0.00246139
13007.9,0.00297229
13017.9,0.00361802
13027.9,0.00441297
13037.9,0.00535765
13047.9,0.00649437
13057.9,0.00780339
13067.9,0.00902663
13077.9,0.00989439
13087.9,0.0109851
13097.9,0.0119422
13107.9,0.0130791
13117.9,0.0145165
13127.9,0.0162748
13137.9,0.0181405
13147.9,0.020708
13157.9,0.0228907
13167.9,0.0262277
13177.9,0.0297241
13187.9,0.0346917
13197.9,0.040074
13207.9,0.0475486
13217.9,0.0556905
13227.9,0.0659581
13237.9,0.0769476
13247.9,0.0912655
13257.9,0.105273
13267.9,0.122619
13277.9,0.141442
13287.9,0.163153
13297.9,0.186328
13307.9,0.211412
13317.9,0.236019
13327.9,0.260668
13337.9,0.284754
13347.9,0.306025
13357.9,0.324849
13367.9,0.340604
13377.9,0.35381
13387.9,0.363584
13397.9,0.370872
13407.9,0.375996
13417.9,0.379346
13427.9,0.381722
13437.9,0.385153
13447.9,0.384408
13457.9,0.385971
13467.9,0.388145
13477.9,0.38858
13487.9,0.389836
13497.9,0.390628
13507.9,0.392413
13517.9,0.392887
13527.9,0.393185
13537.9,0.394578
13547.9,0.393762
13557.9,0.394391
13567.9,0.394374
13577.9,0.39391
13587.9,0.393782
13597.9,0.393319
13607.9,0.392614
13617.9,0.391982
13627.9,0.390799
13637.9,0.391044
13647.9,0.391816
13657.9,0.391851
13667.9,0.390566
13677.9,0.39023
13687.9,0.391194
13697.9,0.390883
13707.9,0.39195
13717.9,0.391805
13727.9,0.390814
13737.9,0.390828
13747.9,0.390674
13757.9,0.390831
13767.9,0.390571
13777.9,0.390699
13787.9,0.390258
13797.9,0.389778
13807.9,0.388964
13817.9,0.388934
13827.9,0.390305
13837.9,0.389572
13847.9,0.38926
13857.9,0.389556
13867.9,0.389587
13877.9,0.38833
13887.9,0.388751
13897.9,0.389724
13907.9,0.390249
13917.9,0.389695
13927.9,0.390939
13937.9,0.390752
13947.9,0.391694
13957.9,0.392299
13967.9,0.392602
13977.9,0.394388
13987.9,0.394654
13997.9,0.394858
14007.9,0.396593
14017.9,0.397073
14027.9,0.397762
14037.9,0.398775
14047.9,0.399182
14057.9,0.400776
14067.9,0.401069
14077.9,0.40104
14087.9,0.402324
14097.9,0.403395
14107.9,0.402741
14117.9,0.404425
14127.9,0.405129
14137.9,0.406579
14147.9,0.406583
14157.9,0.407386
14167.9,0.408521
14177.9,0.407932
14187.9,0.409696
14197.9,0.409709
14207.9,0.410056
14217.9,0.411584
14227.9,0.411805
14237.9,0.412972
14247.9,0.413184
14257.9,0.412373
14267.9,0.413732
14277.9,0.413862
14287.9,0.413911
14297.9,0.416124
14307.9,0.416325
14317.9,0.416982
14327.9,0.416109
14337.9,0.416539
14347.9,0.417404
14357.9,0.416896
14367.9,0.416903
14377.9,0.418077
14387.9,0.4182
14397.9,0.418121
14407.9,0.41926
14417.9,0.418481
14427.9,0.419169
14437.9,0.419758
14447.9,0.420274
14457.9,0.419373
14467.9,0.420094
14477.9,0.41982
14487.9,0.421372
14497.9,0.420254
14507.9,0.420132
14517.9,0.421233
14527.9,0.421128
14537.9,0.419523
14547.9,0.418556
14557.9,0.419772
14567.9,0.418627
14577.9,0.41841
14587.9,0.418917
14597.9,0.418044
14607.9,0.416281
14617.9,0.415092
14627.9,0.414781
14637.9,0.41429
14647.9,0.414398
14657.9,0.414466
14667.9,0.412524
14677.9,0.412319
14687.9,0.412327
14697.9,0.411272
14707.9,0.409755
14717.9,0.40943
14727.9,0.410262
14737.9,0.408843
14747.9,0.410666
14757.9,0.409606
14767.9,0.410158
14777.9,0.410311
14787.9,0.410477
14797.9,0.410732
14807.9,0.41027
14817.9,0.41093
14827.9,0.41165
14837.9,0.411593
14847.9,0.413052
14857.9,0.41558
14867.9,0.414759
14877.9,0.41581
14887.9,0.416324
14897.9,0.41691
14907.9,0.417658
14917.9,0.419472
14927.9,0.419825
14937.9,0.420285
14947.9,0.421116
14957.9,0.422439
14967.9,0.423619
14977.9,0.423386
14987.9,0.424416
14997.9,0.426903
15007.9,0.427415
15017.9,0.427414
15027.9,0.427734
15037.9,0.429309
15047.9,0.429739
15057.9,0.430341
15067.9,0.431887
15077.9,0.431919
15087.9,0.433196
15097.9,0.434312
15107.9,0.435024
15117.9,0.434691
15127.9,0.436142
15137.9,0.43669
15147.9,0.435649
15157.9,0.436459
15167.9,0.436623
15177.9,0.438
15187.9,0.436369
15197.9,0.437567
15207.9,0.436741
15217.9,0.436005
15227.9,0.43814
15237.9,0.436515
15247.9,0.435495
15257.9,0.436191
15267.9,0.436459
15277.9,0.436101
15287.9,0.43545
15297.9,0.433919
15307.9,0.43542
15317.9,0.434428
15327.9,0.434056
15337.9,0.432813
15347.9,0.433383
15357.9,0.433348
15367.9,0.432481
15377.9,0.433604
15387.9,0.432716
15397.9,0.431718
15407.9,0.431534
15417.9,0.431539
15427.9,0.431284
15437.9,0.431765
15447.9,0.430756
15457.9,0.430821
15467.9,0.430976
15477.9,0.430385
