Wavelength,Transmission
9220.0,0.000571418
9230.0,0.000647327
9240.0,0.000766054
9250.0,0.000853317
9260.0,0.00086167
9270.0,0.000987578
9280.0,0.00112447
9290.0,0.00124343
9300.0,0.00127515
9310.0,0.00136398
9320.0,0.0015404
9330.0,0.00170559
9340.0,0.00178869
9350.0,0.001835
9360.0,0.00193462
9370.0,0.00205859
9380.0,0.00215732
9390.0,0.00223874
9400.0,0.00226787
9410.0,0.00226867
9420.0,0.00227156
9430.0,0.00231001
9440.0,0.00227512
9450.0,0.00223144
9460.0,0.00217543
9470.0,0.00210915
9480.0,0.00201797
9490.0,0.00194135
9500.0,0.0018574
9510.0,0.00176654
9520.0,0.00171605
9530.0,0.00164825
9540.0,0.00154633
9550.0,0.00148429
9560.0,0.00144583
9570.0,0.00139829
9580.0,0.00135044
9590.0,0.00134238
9600.0,0.00133296
9610.0,0.00136753
9620.0,0.00145439
9630.0,0.00156185
9640.0,0.00162518
9650.0,0.00174067
9660.0,0.00191211
9670.0,0.00211781
9680.0,0.00233938
9690.0,0.00263663
9700.0,0.00305437
9710.0,0.00352707
9720.0,0.00408593
9730.0,0.00478281
9740.0,0.00564694
9750.0,0.00662465
9760.0,0.007879
9770.0,0.00936066
9780.0,0.0111271
9790.0,0.0131484
9800.0,0.0157258
9810.0,0.0185516
9820.0,0.021896
9830.0,0.0256667
9840.0,0.0299526
9850.0,0.0350523
9860.0,0.040401
9870.0,0.0462096
9880.0,0.0523904
9890.0,0.0597454
9900.0,0.0674261
9910.0,0.0753459
9920.0,0.0847337
9930.0,0.0937999
9940.0,0.102863
9950.0,0.111801
9960.0,0.122667
9970.0,0.133355
9980.0,0.144136
9990.0,0.154884
10000.0,0.164669
10010.0,0.174201
10020.0,0.183834
10030.0,0.193596
10040.0,0.203387
10050.0,0.212138
10060.0,0.22022
10070.0,0.226666
10080.0,0.233667
10090.0,0.240028
10100.0,0.246148
10110.0,0.252517
10120.0,0.258666
10130.0,0.263874
10140.0,0.268395
10150.0,0.272745
10160.0,0.275612
10170.0,0.278584
10180.0,0.282135
10190.0,0.2858
10200.0,0.289156
10210.0,0.292237
10220.0,0.295182
10230.0,0.296474
10240.0,0.298149
10250.0,0.298929
10260.0,0.299814
10270.0,0.300842
10280.0,0.302431
10290.0,0.304141
10300.0,0.30493
10310.0,0.305735
10320.0,0.306569
10330.0,0.306936
10340.0,0.307671
10350.0,0.308227
10360.0,0.308956
10370.0,0.31014
10380.0,0.310529
10390.0,0.310791
10400.0,0.309972
10410.0,0.310107
10420.0,0.310037
10430.0,0.311025
10440.0,0.311955
10450.0,0.312693
10460.0,0.312476
10470.0,0.312512
10480.0,0.313549
10490.0,0.313433
10500.0,0.313093
10510.0,0.313345
10520.0,0.31473
10530.0,0.315794
10540.0,0.315867
10550.0,0.316015
10560.0,0.314751
10570.0,0.314056
10580.0,0.31378
10590.0,0.314174
10600.0,0.315079
10610.0,0.315414
10620.0,0.316364
10630.0,0.316826
10640.0,0.317492
10650.0,0.317466
10660.0,0.318532
10670.0,0.319484
10680.0,0.3206
10690.0,0.321657
10700.0,0.321309
10710.0,0.321185
10720.0,0.321884
10730.0,0.322405
10740.0,0.32299
10750.0,0.323847
10760.0,0.325818
10770.0,0.326575
10780.0,0.327171
10790.0,0.328549
10800.0,0.329247
10810.0,0.329797
10820.0,0.330388
10830.0,0.330745
10840.0,0.331033
10850.0,0.331897
10860.0,0.333219
10870.0,0.334566
10880.0,0.334652
10890.0,0.334452
10900.0,0.33422
10910.0,0.334966
10920.0,0.336972
10930.0,0.338273
10940.0,0.33879
10950.0,0.338134
10960.0,0.338251
10970.0,0.33839
10980.0,0.33867
10990.0,0.339074
11000.0,0.339744
11010.0,0.340529
11020.0,0.340601
11030.0,0.340364
11040.0,0.34077
11050.0,0.340651
11060.0,0.340413
11070.0,0.340479
11080.0,0.342041
11090.0,0.341754
11100.0,0.341413
11110.0,0.341552
11120.0,0.342003
11130.0,0.341746
11140.0,0.341763
11150.0,0.342839
11160.0,0.343468
11170.0,0.34372
11180.0,0.344348
11190.0,0.344607
