Wavelength,Transmission
20793.0,0.000107469
20803.0,0.000140004
20813.0,0.000184095
20823.0,0.00024885
20833.0,0.000342441
20843.0,0.000474071
20853.0,0.000677728
20863.0,0.000983255
20873.0,0.00147884
20883.0,0.00222807
20893.0,0.00342182
20903.0,0.005295
20913.0,0.00797616
20923.0,0.0119179
20933.0,0.017092
20943.0,0.0237052
20953.0,0.0317775
20963.0,0.0413422
20973.0,0.0521817
20983.0,0.0634178
20993.0,0.074177
21003.0,0.0832909
21013.0,0.0919438
21023.0,0.102108
21033.0,0.113692
21043.0,0.126681
21053.0,0.143502
21063.0,0.161998
21073.0,0.184937
21083.0,0.209318
21093.0,0.240102
21103.0,0.272345
21113.0,0.307939
21123.0,0.344436
21133.0,0.37728
21143.0,0.409575
21153.0,0.433287
21163.0,0.451935
21173.0,0.466291
21183.0,0.475341
21193.0,0.477677
21203.0,0.4818
21213.0,0.481406
21223.0,0.483143
21233.0,0.48312
21243.0,0.479361
21253.0,0.475957
21263.0,0.46871
21273.0,0.45536
21283.0,0.435291
21293.0,0.408469
21303.0,0.374007
21313.0,0.339505
21323.0,0.30041
21333.0,0.264397
21343.0,0.229902
21353.0,0.198308
21363.0,0.170701
21373.0,0.147237
21383.0,0.128825
21393.0,0.111996
21403.0,0.0979074
21413.0,0.0847365
21423.0,0.0719702
21433.0,0.0604536
21443.0,0.0499166
21453.0,0.0409578
21463.0,0.0326772
21473.0,0.0256806
21483.0,0.0197729
21493.0,0.0147751
21503.0,0.0107322
21513.0,0.00751351
21523.0,0.00511303
21533.0,0.00337217
21543.0,0.00221793
21553.0,0.00145375
21563.0,0.000965096
21573.0,0.000658268
21583.0,0.0004605
21593.0,0.000325462
21603.0,0.000239286
21613.0,0.000176958
21623.0,0.000132413
21633.0,0.000103486
