Wavelength,Transmission
32429.6,0.000100902
32443.1,0.000106997
32456.6,0.000111651
32470.1,0.00011407
32483.6,0.00011576
32497.1,0.000117014
32510.6,0.000122361
32524.1,0.000130514
32537.7,0.000136619
32551.2,0.000139675
32564.7,0.000144658
32578.2,0.000150673
32591.7,0.000156031
32605.2,0.00016394
32618.7,0.000174487
32632.2,0.000185668
32645.8,0.000196706
32659.3,0.000207132
32672.8,0.000217011
32686.3,0.000229338
32699.8,0.000244779
32713.3,0.000260921
32726.8,0.00027599
32740.3,0.000292768
32753.9,0.000313508
32767.4,0.000335405
32780.9,0.00036036
32794.4,0.000387815
32807.9,0.000417102
32821.4,0.000450873
32834.9,0.000489377
32848.4,0.000531419
32861.9,0.000576101
32875.5,0.000625934
32889.0,0.000683864
32902.5,0.000750391
32916.0,0.000820774
32929.5,0.000897537
32943.0,0.000985985
32956.5,0.0010837
32970.0,0.00119028
32983.6,0.00130937
32997.1,0.00144074
33010.6,0.00158342
33024.1,0.0017383
33037.6,0.00190745
33051.1,0.00209293
33064.6,0.00229104
33078.1,0.00249787
33091.7,0.00271894
33105.2,0.00295244
33118.7,0.00319654
33132.2,0.00344534
33145.7,0.00369951
33159.2,0.00395282
33172.7,0.00420317
33186.2,0.00445279
33199.8,0.00469865
33213.3,0.00493586
33226.8,0.00515796
33240.3,0.00536788
33253.8,0.00556586
33267.3,0.00575247
33280.8,0.00592726
33294.3,0.00609114
33307.9,0.00624005
33321.4,0.00637847
33334.9,0.0065114
33348.4,0.00664306
33361.9,0.00676284
33375.4,0.00687874
33388.9,0.0069983
33402.4,0.00711787
33416.0,0.00722594
33429.5,0.00734044
33443.0,0.00746124
33456.5,0.00758915
33470.0,0.00772254
33483.5,0.00786808
33497.0,0.0080287
33510.5,0.00817445
33524.1,0.00832575
33537.6,0.0084946
33551.1,0.00867714
33564.6,0.00887091
33578.1,0.0090815
33591.6,0.00931363
33605.1,0.00960116
33618.6,0.0099723
33632.2,0.0103739
33645.7,0.0108097
33659.2,0.0112838
33672.7,0.0118006
33686.2,0.0123572
33699.7,0.0129596
33713.2,0.0137281
33726.7,0.0145773
33740.2,0.0155166
33753.8,0.016515
33767.3,0.0176043
33780.8,0.0187938
33794.3,0.0200951
33807.8,0.0214421
33821.3,0.022859
33834.8,0.0244071
33848.3,0.0260964
33861.9,0.027945
33875.4,0.0299679
33888.9,0.0321879
33902.4,0.0346016
33915.9,0.037145
33929.4,0.0399287
33942.9,0.042981
33956.4,0.0463186
33970.0,0.0499618
33983.5,0.0539424
33997.0,0.0582905
34010.5,0.0630334
34024.0,0.0681994
34037.5,0.0738229
34051.0,0.0799439
34064.5,0.0865921
34078.1,0.0937975
34091.6,0.101606
34105.1,0.110127
34118.6,0.119204
34132.1,0.12891
34145.6,0.139236
34159.1,0.150329
34172.6,0.161878
34186.2,0.17395
34199.7,0.186459
34213.2,0.199464
34226.7,0.212759
34240.2,0.226219
34253.7,0.23971
34267.2,0.253046
34280.7,0.266026
34294.3,0.27859
34307.8,0.290553
34321.3,0.301824
34334.8,0.312372
34348.3,0.322016
34361.8,0.330829
34375.3,0.338772
34388.8,0.34582
34402.4,0.35197
34415.9,0.35711
34429.4,0.361471
34442.9,0.365595
34456.4,0.368692
34469.9,0.371265
34483.4,0.373532
34496.9,0.375507
34510.5,0.377076
34524.0,0.378442
34537.5,0.379612
34551.0,0.380635
34564.5,0.381551
34578.0,0.382409
34591.5,0.38323
34605.0,0.384168
34618.5,0.385325
34632.1,0.38651
34645.6,0.387757
34659.1,0.389066
34672.6,0.390451
34686.1,0.391913
34699.6,0.393455
34713.1,0.394815
34726.6,0.396241
34740.2,0.397755
34753.7,0.39934
34767.2,0.401323
34780.7,0.403168
34794.2,0.40513
34807.7,0.407394
34821.2,0.409566
34834.7,0.411774
34848.3,0.414022
34861.8,0.416296
34875.3,0.418592
34888.8,0.420888
34902.3,0.423192
34915.8,0.425584
34929.3,0.427934
34942.8,0.43025
34956.4,0.432517
34969.9,0.434726
34983.4,0.436872
34996.9,0.438923
35010.4,0.44085
35023.9,0.442672
35037.4,0.444403
35050.9,0.446045
35064.5,0.447586
35078.0,0.449456
35091.5,0.450904
35105.0,0.452419
35118.5,0.453876
35132.0,0.454958
35145.5,0.455934
35159.0,0.456808
35172.6,0.457588
35186.1,0.458292
35199.6,0.458896
35213.1,0.459348
35226.6,0.459733
35240.1,0.460058
35253.6,0.460323
35267.1,0.460515
35280.7,0.460651
35294.2,0.460743
35307.7,0.460746
35321.2,0.460701
35334.7,0.460634
35348.2,0.460992
35361.7,0.460997
35375.2,0.460895
35388.8,0.460799
35402.3,0.460683
35415.8,0.460464
35429.3,0.460756
35442.8,0.460633
35456.3,0.460514
35469.8,0.460435
35483.3,0.460391
35496.8,0.4604
35510.4,0.460438
35523.9,0.46102
35537.4,0.461138
35550.9,0.461304
35564.4,0.461541
35577.9,0.46184
35591.4,0.462196
35604.9,0.462639
35618.5,0.463197
35632.0,0.463826
35645.5,0.464518
35659.0,0.46526
35672.5,0.466053
35686.0,0.467209
35699.5,0.468301
35713.0,0.469163
