Wavelength,Transmission
14330.0,0.00101453
14340.0,0.00111799
14350.0,0.00122831
14360.0,0.00134356
14370.0,0.00147863
14380.0,0.00162246
14390.0,0.00178063
14400.0,0.00195714
14410.0,0.00214477
14420.0,0.0023624
14430.0,0.00259992
14440.0,0.0028543
14450.0,0.00313947
14460.0,0.00343894
14470.0,0.00376361
14480.0,0.00412686
14490.0,0.0045129
14500.0,0.00496044
14510.0,0.00545101
14520.0,0.00598457
14530.0,0.00663063
14540.0,0.00733983
14550.0,0.00817333
14560.0,0.00914483
14570.0,0.0101998
14580.0,0.0114904
14590.0,0.0129435
14600.0,0.0145865
14610.0,0.0166246
14620.0,0.018875
14630.0,0.0215711
14640.0,0.0247485
14650.0,0.0282292
14660.0,0.0326538
14670.0,0.0375899
14680.0,0.0432314
14690.0,0.0500964
14700.0,0.0576214
14710.0,0.0666111
14720.0,0.0768937
14730.0,0.0880524
14740.0,0.101651
14750.0,0.116343
14760.0,0.132769
14770.0,0.151508
14780.0,0.171447
14790.0,0.194035
14800.0,0.218414
14810.0,0.244223
14820.0,0.27307
14830.0,0.303121
14840.0,0.335186
14850.0,0.369252
14860.0,0.40432
14870.0,0.441332
14880.0,0.479102
14890.0,0.517582
14900.0,0.556471
14910.0,0.595142
14920.0,0.633203
14930.0,0.669641
14940.0,0.705026
14950.0,0.736887
14960.0,0.766362
14970.0,0.793185
14980.0,0.815004
14990.0,0.834526
15000.0,0.849685
15010.0,0.861319
15020.0,0.870859
15030.0,0.87592
15040.0,0.879543
15050.0,0.881294
15060.0,0.881457
15070.0,0.881098
15080.0,0.880065
15090.0,0.879016
15100.0,0.877958
15110.0,0.877488
15120.0,0.877394
15130.0,0.87788
15140.0,0.879217
15150.0,0.880964
15160.0,0.883531
15170.0,0.886515
15180.0,0.889816
15190.0,0.893436
15200.0,0.897019
15210.0,0.900512
15220.0,0.903464
15230.0,0.906097
15240.0,0.907893
15250.0,0.909147
15260.0,0.909919
15270.0,0.909902
15280.0,0.909647
15290.0,0.909017
15300.0,0.908281
15310.0,0.907525
15320.0,0.906991
15330.0,0.906725
15340.0,0.906741
15350.0,0.907351
15360.0,0.908228
15370.0,0.9096
15380.0,0.911121
15390.0,0.912702
15400.0,0.914056
15410.0,0.915093
15420.0,0.915738
15430.0,0.915479
15440.0,0.914757
15450.0,0.913074
15460.0,0.910644
15470.0,0.907749
15480.0,0.903937
15490.0,0.899969
15500.0,0.895772
15510.0,0.8919
15520.0,0.888299
15530.0,0.885495
15540.0,0.883495
15550.0,0.882071
15560.0,0.882203
15570.0,0.88297
15580.0,0.884765
15590.0,0.88765
15600.0,0.891038
15610.0,0.895312
15620.0,0.899726
15630.0,0.904256
15640.0,0.908373
15650.0,0.912147
15660.0,0.915278
15670.0,0.917479
15680.0,0.919153
15690.0,0.919538
15700.0,0.919227
15710.0,0.918225
15720.0,0.916167
15730.0,0.913874
15740.0,0.911306
15750.0,0.908816
15760.0,0.906399
15770.0,0.904441
15780.0,0.902836
15790.0,0.901642
15800.0,0.901226
15810.0,0.901179
15820.0,0.901856
15830.0,0.902854
15840.0,0.904036
15850.0,0.905241
15860.0,0.906276
15870.0,0.907077
15880.0,0.907226
15890.0,0.906992
15900.0,0.905855
15910.0,0.903723
15920.0,0.900919
15930.0,0.89681
15940.0,0.892326
15950.0,0.887255
15960.0,0.881784
15970.0,0.876189
15980.0,0.870573
15990.0,0.865287
16000.0,0.860263
16010.0,0.85662
16020.0,0.85362
16030.0,0.851726
16040.0,0.851218
16050.0,0.851466
16060.0,0.853458
16070.0,0.856509
16080.0,0.860552
16090.0,0.866579
16100.0,0.873134
16110.0,0.880445
16120.0,0.888103
16130.0,0.895903
16140.0,0.903585
16150.0,0.910889
16160.0,0.917774
16170.0,0.9227
16180.0,0.926746
16190.0,0.929125
16200.0,0.93001
16210.0,0.93
16220.0,0.927913
16230.0,0.924983
16240.0,0.920961
16250.0,0.915818
16260.0,0.910412
16270.0,0.904906
16280.0,0.899645
16290.0,0.894544
16300.0,0.890297
16310.0,0.886645
16320.0,0.883904
16330.0,0.88264
16340.0,0.882043
16350.0,0.882667
16360.0,0.884041
16370.0,0.88598
16380.0,0.888981
16390.0,0.892338
16400.0,0.896264
16410.0,0.900282
16420.0,0.904307
16430.0,0.908187
16440.0,0.911855
16450.0,0.915335
16460.0,0.918103
16470.0,0.920538
16480.0,0.92238
16490.0,0.923754
16500.0,0.924874
16510.0,0.925453
16520.0,0.925756
16530.0,0.925772
16540.0,0.925341
16550.0,0.924753
16560.0,0.92391
16570.0,0.922816
16580.0,0.921571
16590.0,0.919924
16600.0,0.917905
16610.0,0.915431
16620.0,0.912323
16630.0,0.908894
16640.0,0.90481
16650.0,0.900135
16660.0,0.895074
16670.0,0.888274
16680.0,0.880929
16690.0,0.872795
16700.0,0.863544
16710.0,0.853731
16720.0,0.842726
16730.0,0.830243
16740.0,0.816705
16750.0,0.801416
16760.0,0.785408
16770.0,0.768242
16780.0,0.749521
16790.0,0.729774
16800.0,0.707048
16810.0,0.683068
16820.0,0.658038
16830.0,0.631052
16840.0,0.603059
16850.0,0.573285
16860.0,0.541176
16870.0,0.508068
16880.0,0.474245
16890.0,0.440437
16900.0,0.406649
16910.0,0.372641
