Wavelength,Transmission
37450.0,0.00101415
37460.0,0.00105713
37470.0,0.00110211
37480.0,0.00115002
37490.0,0.00120003
37500.0,0.00125204
37510.0,0.00130616
37520.0,0.00136234
37530.0,0.00141964
37540.0,0.00147832
37550.0,0.00153889
37560.0,0.00160221
37570.0,0.00166745
37580.0,0.00173453
37590.0,0.00180365
37600.0,0.00187496
37610.0,0.00194864
37620.0,0.00202506
37630.0,0.00210547
37640.0,0.0021894
37650.0,0.00227622
37660.0,0.00236599
37670.0,0.00246019
37680.0,0.00255839
37690.0,0.00266036
37700.0,0.00276622
37710.0,0.0028776
37720.0,0.00299229
37730.0,0.00311006
37740.0,0.00323104
37750.0,0.00335812
37760.0,0.00348933
37770.0,0.00362464
37780.0,0.00376438
37790.0,0.00390996
37800.0,0.0040597
37810.0,0.0042141
37820.0,0.0043747
37830.0,0.00454399
37840.0,0.00471963
37850.0,0.00490171
37860.0,0.00509163
37870.0,0.00528976
37880.0,0.00549466
37890.0,0.00570671
37900.0,0.00592963
37910.0,0.00616344
37920.0,0.00640624
37930.0,0.00665804
37940.0,0.0069233
37950.0,0.00720034
37960.0,0.00748833
37970.0,0.00778792
37980.0,0.0081069
37990.0,0.00844015
38000.0,0.00878715
38010.0,0.00914855
38020.0,0.00953283
38030.0,0.00993352
38040.0,0.0103515
38050.0,0.0107898
38060.0,0.011257
38070.0,0.0117453
38080.0,0.0122555
38090.0,0.0127928
38100.0,0.013364
38110.0,0.0139623
38120.0,0.0145886
38130.0,0.0152532
38140.0,0.0159597
38150.0,0.016701
38160.0,0.0174779
38170.0,0.0183063
38180.0,0.0191844
38190.0,0.0201064
38200.0,0.0210743
38210.0,0.0221142
38220.0,0.0232141
38230.0,0.0243712
38240.0,0.0255877
38250.0,0.0269016
38260.0,0.0282865
38270.0,0.0297446
38280.0,0.0312841
38290.0,0.0329473
38300.0,0.0347012
38310.0,0.0365498
38320.0,0.0385111
38330.0,0.0406227
38340.0,0.0428506
38350.0,0.0451983
38360.0,0.0477024
38370.0,0.0503878
38380.0,0.0532213
38390.0,0.0562075
38400.0,0.0594065
38410.0,0.0628223
38420.0,0.0664231
38430.0,0.0702165
38440.0,0.074295
38450.0,0.0786246
38460.0,0.0831837
38470.0,0.0879802
38480.0,0.0931487
38490.0,0.098603
38500.0,0.104335
38510.0,0.11036
38520.0,0.116843
38530.0,0.123643
38540.0,0.130769
38550.0,0.13826
38560.0,0.146251
38570.0,0.154601
38580.0,0.163312
38590.0,0.172457
38600.0,0.182111
38610.0,0.192145
38620.0,0.202555
38630.0,0.21344
38640.0,0.224804
38650.0,0.236533
38660.0,0.248626
38670.0,0.261191
38680.0,0.274152
38690.0,0.287432
38700.0,0.301019
38710.0,0.31501
38720.0,0.329271
38730.0,0.343759
38740.0,0.35846
38750.0,0.373411
38760.0,0.388491
38770.0,0.403675
38780.0,0.418938
38790.0,0.434234
38800.0,0.449514
38810.0,0.464748
38820.0,0.479901
38830.0,0.494897
38840.0,0.509751
38850.0,0.524435
38860.0,0.538881
38870.0,0.553033
38880.0,0.566936
38890.0,0.58058
38900.0,0.593869
38910.0,0.606794
38920.0,0.619416
38930.0,0.631729
38940.0,0.643597
38950.0,0.655087
38960.0,0.666248
38970.0,0.67708
38980.0,0.687417
38990.0,0.697401
39000.0,0.707062
39010.0,0.716394
39020.0,0.725235
39030.0,0.73377
39040.0,0.741999
39050.0,0.7499
39060.0,0.757375
39070.0,0.764574
39080.0,0.771499
39090.0,0.778113
39100.0,0.784372
39110.0,0.790383
39120.0,0.796152
39130.0,0.801622
39140.0,0.806791
39150.0,0.811738
39160.0,0.816467
39170.0,0.820917
39180.0,0.82512
39190.0,0.829125
39200.0,0.832938
39210.0,0.836489
39220.0,0.83984
39230.0,0.843018
39240.0,0.846029
39250.0,0.848808
39260.0,0.851431
39270.0,0.853906
39280.0,0.856228
39290.0,0.858352
39300.0,0.860348
39310.0,0.862217
39320.0,0.863947
39330.0,0.86552
39340.0,0.866986
