#Teff logg M_div_H   U  B  V  R  I  J  H  K  L  Lprime  M
2000.0 4.0 -0.1 -13.443 -11.39 -7.895 -4.464 -1.831 1.666 3.511 2.701 4.345 4.765 5.68
2000.0 4.5 -0.1 -13.402 -11.416 -7.896 -4.454 -1.794 1.664 3.503 2.728 4.352 4.772 5.687
2000.0 5.0 -0.1 -13.358 -11.428 -7.888 -4.431 -1.738 1.664 3.488 2.753 4.361 4.779 5.685
2000.0 5.5 -0.1 -13.22 -11.079 -7.377 -4.136 -1.483 1.656 3.418 2.759 4.355 4.753 5.638
2200.0 3.5 -0.1 -11.866 -9.557 -6.378 -3.612 -1.185 1.892 3.294 2.608 3.929 4.289 4.842
2200.0 4.5 -0.1 -11.845 -9.643 -6.348 -3.589 -1.132 1.874 3.31 2.648 3.947 4.305 4.939
2200.0 5.5 -0.1 -11.655 -9.615 -6.279 -3.508 -0.997 1.886 3.279 2.709 3.964 4.314 4.928
2500.0 -1.02 -0.1 -7.41 -7.624 -6.204 -3.854 -1.533 1.884 3.32 2.873 3.598 3.964 5.579
2500.0 -0.7 -0.1 -7.008 -7.222 -5.818 -3.618 -1.338 1.905 3.266 2.868 3.502 3.877 5.417
2500.0 -0.29 -0.1 -6.526 -6.74 -5.357 -3.421 -1.215 1.927 3.216 2.87 3.396 3.781 5.247
2500.0 5.5 -0.1 -9.518 -7.575 -5.01 -2.756 -0.511 1.959 3.057 2.642 3.472 3.756 4.265
2800.0 -1.02 -0.1 -7.479 -7.386 -5.941 -3.716 -1.432 1.824 3.259 2.812 3.567 3.784 5.333
2800.0 -0.7 -0.1 -7.125 -7.032 -5.596 -3.477 -1.231 1.822 3.218 2.813 3.479 3.717 5.229
2800.0 -0.29 -0.1 -6.673 -6.58 -5.154 -3.166 -0.974 1.816 3.163 2.812 3.364 3.628 5.093
2800.0 3.5 -0.1 -8.113 -6.258 -4.103 -2.209 -0.36 1.957 2.872 2.517 3.219 3.427 4.026
2800.0 4.0 -0.1 -7.992 -6.099 -3.937 -2.076 -0.23 1.907 2.869 2.48 3.227 3.424 4.075
2800.0 4.5 -0.1 -7.815 -6.051 -4.067 -2.176 -0.228 1.92 2.877 2.503 3.212 3.428 4.0
2800.0 5.0 -0.1 -7.746 -6.018 -4.031 -2.144 -0.176 1.907 2.883 2.512 3.216 3.43 4.023
3000.0 -0.7 -0.1 -7.396 -6.995 -5.605 -3.554 -1.293 1.787 3.172 2.759 3.474 3.588 5.052
3000.0 -0.29 -0.1 -6.966 -6.565 -5.179 -3.249 -1.035 1.772 3.136 2.764 3.388 3.533 4.978
3000.0 0.28 -0.1 -6.406 -6.005 -4.622 -2.857 -0.71 1.761 3.079 2.762 3.279 3.462 4.867
3000.0 0.6 -0.1 -6.113 -5.712 -4.331 -2.656 -0.548 1.759 3.043 2.754 3.222 3.425 4.799
3000.0 4.0 -0.1 -6.732 -5.068 -3.201 -1.658 -0.009 1.884 2.779 2.48 3.052 3.235 3.83
3000.0 5.0 -0.1 -6.439 -4.872 -3.095 -1.583 0.128 1.854 2.766 2.445 3.041 3.221 3.81
3000.0 5.5 -0.1 -6.354 -4.842 -3.064 -1.557 0.175 1.845 2.768 2.45 3.042 3.22 3.826
3200.0 -0.7 -0.1 -7.289 -6.303 -4.923 -3.087 -0.846 1.755 3.068 2.679 3.325 3.342 4.723
3200.0 -0.51 -0.1 -7.052 -6.066 -4.69 -2.987 -0.786 1.747 3.062 2.685 3.314 3.334 4.713
3200.0 -0.29 -0.1 -6.777 -5.791 -4.42 -2.867 -0.715 1.736 3.055 2.691 3.299 3.321 4.701
3200.0 0.28 -0.1 -6.128 -5.142 -3.782 -2.555 -0.539 1.717 3.034 2.703 3.267 3.297 4.667
3200.0 0.6 -0.1 -5.85 -4.864 -3.509 -2.411 -0.459 1.715 3.022 2.704 3.251 3.289 4.645
3200.0 3.5 -0.1 -6.147 -4.748 -3.247 -1.794 -0.181 1.915 2.8 2.691 2.907 3.116 3.541
3200.0 4.0 -0.1 -5.802 -4.358 -2.785 -1.424 0.101 1.848 2.734 2.525 2.92 3.091 3.614
3200.0 4.5 -0.1 -5.555 -4.129 -2.544 -1.236 0.25 1.813 2.687 2.435 2.903 3.061 3.625
3200.0 5.0 -0.1 -5.385 -4.002 -2.428 -1.15 0.332 1.798 2.665 2.396 2.892 3.046 3.619
3200.0 5.5 -0.1 -5.272 -3.933 -2.336 -1.082 0.393 1.779 2.654 2.376 2.89 3.037 3.635
3350.0 -0.51 -0.1 -6.601 -5.259 -3.769 -2.325 -0.346 1.729 2.962 2.623 3.201 3.226 4.538
3350.0 -0.29 -0.1 -6.411 -5.069 -3.59 -2.25 -0.32 1.718 2.958 2.631 3.192 3.217 4.534
3350.0 0.28 -0.1 -5.983 -4.641 -3.182 -2.066 -0.263 1.692 2.948 2.651 3.168 3.194 4.526
3350.0 0.6 -0.1 -5.926 -4.584 -3.129 -2.05 -0.262 1.694 2.949 2.664 3.165 3.194 4.524
3350.0 0.87 -0.1 -5.877 -4.535 -3.084 -2.036 -0.262 1.694 2.948 2.674 3.161 3.193 4.52
3350.0 4.0 -0.1 -5.288 -3.947 -2.541 -1.273 0.167 1.817 2.706 2.558 2.842 2.986 3.44
3350.0 5.0 -0.1 -4.711 -3.457 -1.967 -0.826 0.458 1.736 2.589 2.351 2.797 2.921 3.477
3350.0 5.5 -0.1 -4.557 -3.369 -1.867 -0.748 0.52 1.719 2.564 2.31 2.785 2.908 3.491
