#  r_c12_ag_o16 deboer sigma = 3.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
6.00000E-01                                                        1.0009271814122000E-25
6.01540E-01                                                        1.0695771627811700E-25
6.03080E-01                                                        1.1426731362933900E-25
6.04620E-01                                                        1.2204859067723300E-25
6.06170E-01                                                        1.3038564862249700E-25
6.07720E-01                                                        1.3926038062418100E-25
6.09280E-01                                                        1.4876825450798400E-25
6.10840E-01                                                        1.5888892901760700E-25
6.12400E-01                                                        1.6965953947252600E-25
6.13970E-01                                                        1.8119509854117500E-25
6.15550E-01                                                        1.9355162673732800E-25
6.17120E-01                                                        2.0661762067007000E-25
6.18700E-01                                                        2.2060738105418600E-25
6.20290E-01                                                        2.3558823327283200E-25
6.21880E-01                                                        2.5152909572574900E-25
6.23470E-01                                                        2.6848778684518600E-25
6.25070E-01                                                        2.8664237489505800E-25
6.26670E-01                                                        3.0595522403724700E-25
6.28270E-01                                                        3.2649577314266400E-25
6.29880E-01                                                        3.4847811568514300E-25
6.31490E-01                                                        3.7185671039869900E-25
6.33110E-01                                                        3.9687408172904000E-25
6.34730E-01                                                        4.2347910274111100E-25
6.36360E-01                                                        4.5194646436172200E-25
6.37990E-01                                                        4.8221876613870000E-25
6.39620E-01                                                        5.1440349909473800E-25
6.41260E-01                                                        5.4883051531700700E-25
6.42900E-01                                                        5.8543038360011900E-25
6.44550E-01                                                        6.2457643241594500E-25
6.46200E-01                                                        6.6619073168693800E-25
6.47860E-01                                                        7.1069574984120500E-25
6.49520E-01                                                        7.5800401418236200E-25
6.51180E-01                                                        8.0828130159403400E-25
6.52850E-01                                                        8.6203425830651800E-25
6.54520E-01                                                        9.1915712788499700E-25
6.56200E-01                                                        9.8022281447945900E-25
6.57880E-01                                                        1.0451126462919400E-24
