#  r_c12_ag_o16 deboer sigma = -1.5 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
6.00000E-01                     5.0819805943913600E-26
6.01540E-01                     5.4301663304792000E-26
6.03080E-01                     5.8008756037320500E-26
6.04620E-01                     6.1954785735234400E-26
6.06170E-01                     6.6182364400878600E-26
6.07720E-01                     7.0682270657458500E-26
6.09280E-01                     7.5502868532213000E-26
6.10840E-01                     8.0633799351425500E-26
6.12400E-01                     8.6093844844497600E-26
6.13970E-01                     9.1941257759139500E-26
6.15550E-01                     9.8204375674518500E-26
6.17120E-01                     1.0482662642132200E-25
6.18700E-01                     1.1191656574219000E-25
6.20290E-01                     1.1950824186717500E-25
6.21880E-01                     1.2758583200774400E-25
6.23470E-01                     1.3617856284821200E-25
6.25070E-01                     1.4537657732616100E-25
6.26670E-01                     1.5516072023632500E-25
6.28270E-01                     1.6556608407874800E-25
6.29880E-01                     1.7670102475825100E-25
6.31490E-01                     1.8854236858573200E-25
6.33110E-01                     2.0121284224837700E-25
6.34730E-01                     2.1468643157825900E-25
6.36360E-01                     2.2910211964232800E-25
6.37990E-01                     2.4443070223914200E-25
6.39620E-01                     2.6072647251616800E-25
6.41260E-01                     2.7815628567773700E-25
6.42900E-01                     2.9668482452204800E-25
6.44550E-01                     3.1650090787299000E-25
6.46200E-01                     3.3756489831547500E-25
6.47860E-01                     3.6009043549232200E-25
6.49520E-01                     3.8403303159148800E-25
6.51180E-01                     4.0947637306796800E-25
6.52850E-01                     4.3667660990968200E-25
6.54520E-01                     4.6557996796183100E-25
6.56200E-01                     4.9647605117431000E-25
6.57880E-01                     5.2930452287595300E-25
6.59560E-01                     5.6417880808220700E-25
6.61250E-01                     6.0144575548816300E-25
6.62940E-01                     6.4103248241598100E-25
