#  r_al26-1_to_al26-2 
# from gupta & meyer 2001 x
# values from the fortran code at http://ftp.aip.org/epaps//phys_rev_c/E-PRVCAN-64-028108/ 
# T8            RATE      
190
  0.01	  0.000E+00	
  0.02	  0.000E+00	
  0.03	  0.000E+00	
  0.04	  0.000E+00	
  0.05	  0.000E+00	
  0.06	  0.000E+00	
  0.07	  0.000E+00	
  0.08	  0.000E+00	
  0.09	  0.000E+00
  1.00    0.398679E-22
  1.10    0.322978E-20
  1.20    0.125782E-18
  1.30    0.278853E-17
  1.40    0.397092E-16
  1.50    0.396822E-15
  1.60    0.297405E-14
  1.70    0.175873E-13
  1.80    0.853613E-13
  1.90    0.350840E-12
  2.00    0.125196E-11
  2.10    0.395773E-11
  2.20    0.112684E-10
  2.30    0.292951E-10
  2.40    0.703386E-10
  2.50    0.157506E-09
  2.60    0.331789E-09
  2.70    0.662945E-09
  2.80    0.126803E-08
  2.90    0.234920E-08
  3.00    0.428838E-08
  3.10    0.790473E-08
  3.20    0.151552E-07
  3.30    0.309560E-07
  3.40    0.676655E-07
  3.50    0.155456E-06
  3.60    0.365024E-06
  3.70    0.854770E-06
  3.80    0.196391E-05
  3.90    0.438860E-05
  4.00    0.950150E-05
  4.10    0.199078E-04
  4.20    0.403861E-04
  4.30    0.794133E-04
  4.40    0.151584E-03
  4.50    0.281320E-03
  4.60    0.508494E-03
  4.70    0.896438E-03
  4.80    0.154371E-02
  4.90    0.260035E-02
  5.00    0.429016E-02
  5.10    0.694057E-02
  5.20    0.110237E-01
  5.30    0.172059E-01
  5.40    0.264160E-01
  5.50    0.399296E-01
  5.60    0.594740E-01
  5.70    0.873563E-01
  5.80    0.126627E+00
  5.90    0.181243E+00
  6.00    0.256356E+00
  6.10    0.358496E+00
  6.20    0.495969E+00
  6.30    0.679132E+00
  6.40    0.920887E+00
  6.50    0.123712E+01
  6.60    0.164724E+01
  6.70    0.217480E+01
  6.80    0.284810E+01
  6.90    0.370144E+01
  7.00    0.477492E+01
  7.10    0.611644E+01
  7.20    0.778246E+01
  7.30    0.983891E+01
  7.40    0.123630E+02
  7.50    0.154438E+02
  7.60    0.191852E+02
  7.70    0.237067E+02
  7.80    0.291459E+02
  7.90    0.356614E+02
  8.00    0.434332E+02
  8.10    0.526695E+02
  8.20    0.636095E+02
  8.30    0.765247E+02
  8.40    0.917218E+02
  8.50    0.109562E+03
  8.60    0.130448E+03
  8.70    0.154839E+03
  8.80    0.183279E+03
  8.90    0.216370E+03
  9.00    0.254820E+03
  9.10    0.299430E+03
  9.20    0.351124E+03
  9.30    0.410980E+03
  9.40    0.480218E+03
  9.50    0.560265E+03
  9.60    0.652778E+03
  9.70    0.759597E+03
  9.80    0.882951E+03
  9.90    0.102534E+04
 10.00    0.118964E+04
 11.00    0.510132E+04
 12.00    0.208264E+05
 13.00    0.782380E+05
 14.00    0.258673E+06
 15.00    0.747260E+06
 16.00    0.188799E+07
 17.00    0.419012E+07
 18.00    0.822074E+07
 19.00    0.143985E+08
 20.00    0.228571E+08
 21.00    0.335366E+08
 22.00    0.464391E+08
 23.00    0.618369E+08
 24.00    0.803678E+08
 25.00    0.103017E+09
 26.00    0.131109E+09
 27.00    0.166273E+09
 28.00    0.210478E+09
 29.00    0.266042E+09
 30.00    0.335686E+09
 31.00    0.422579E+09
 32.00    0.530355E+09
 33.00    0.663281E+09
 34.00    0.826185E+09
 35.00    0.102468E+10
 36.00    0.126509E+10
 37.00    0.155465E+10
 38.00    0.190145E+10
 39.00    0.231460E+10
 40.00    0.280445E+10
 41.00    0.338231E+10
 42.00    0.406078E+10
 43.00    0.485387E+10
 44.00    0.577667E+10
 45.00    0.684611E+10
 46.00    0.808032E+10
 47.00    0.949903E+10
 48.00    0.111235E+11
 49.00    0.129764E+11
 50.00    0.150816E+11
 51.00    0.174651E+11
 52.00    0.201548E+11
 53.00    0.231790E+11
 54.00    0.265682E+11
 55.00    0.303534E+11
 56.00    0.345685E+11
 57.00    0.392464E+11
 58.00    0.444228E+11
 59.00    0.501342E+11
 60.00    0.564173E+11
 61.00    0.633103E+11
 62.00    0.708505E+11
 63.00    0.790733E+11
 64.00    0.880235E+11
 65.00    0.977221E+11
 66.00    0.108220E+12
 67.00    0.119539E+12
 68.00    0.131700E+12
 69.00    0.144730E+12
 70.00    0.158651E+12
 71.00    0.173457E+12
 72.00    0.189157E+12
 73.00    0.205759E+12
 74.00    0.223242E+12
 75.00    0.241596E+12
 76.00    0.260819E+12
 77.00    0.280879E+12
 78.00    0.301753E+12
 79.00    0.323434E+12
 80.00    0.345898E+12
 81.00    0.369117E+12
 82.00    0.393081E+12
 83.00    0.417764E+12
 84.00    0.443158E+12
 85.00    0.515856E+12
 86.00    0.550033E+12
 87.00    0.587072E+12
 88.00    0.625596E+12
 89.00    0.664489E+12
 90.00    0.704630E+12
 91.00    0.747693E+12
 92.00    0.797791E+12
 93.00    0.841301E+12
 94.00    0.891875E+12
 95.00    0.942688E+12
 96.00    0.993734E+12
 97.00    0.104501E+13
 98.00    0.110344E+13
 99.00    0.116212E+13
100.00    0.122105E+13
