#T8    	adopted	
44
   0.18000    1.670000e-33
   0.20000    6.590000e-32
   0.25000    1.060000e-28
   0.30000    2.970000e-26
   0.40000    1.130000e-22
   0.50000    4.070000e-20
   0.60000    3.920000e-18
   0.70000    2.930000e-16
   0.80000    2.340000e-14
   0.90000    9.480000e-13
   1.00000    1.890000e-11
   1.10000    2.180000e-10
   1.20000    1.660000e-09
   1.30000    9.170000e-09
   1.40000    3.940000e-08
   1.50000    1.380000e-07
   1.60000    4.140000e-07
   1.80000    2.550000e-06
   2.00000    1.100000e-05
   2.50000    1.880000e-04
   3.00000    2.000000e-03
   3.50000    1.450000e-02
   4.00000    7.080000e-02
   4.50000    2.510000e-01
   5.00000    7.060000e-01
   6.00000    3.670000e+00
   7.00000    1.440000e+01
   8.00000    4.960000e+01
   9.00000    1.510000e+02
  10.00000    4.040000e+02
  12.50000    2.810000e+03
  15.00000    1.130000e+04
  17.50000    3.170000e+04
  20.00000    7.080000e+04
  25.00000    2.280000e+05
  30.00000    5.210000e+05
  35.00000    9.780000e+05
  40.00000    1.630000e+06
  50.00000    3.560000e+06
  60.00000    6.350000e+06
  70.00000    9.850000e+06
  80.00000    1.380000e+07
  90.00000    1.800000e+07
 100.00000    2.220000e+07
