#T8    	adopted	
58
   0.03000    4.900000e-23
   0.04000    8.690000e-20
   0.05000    1.770000e-17
   0.06000    1.020000e-15
   0.07000    2.580000e-14
   0.08000    3.720000e-13
   0.09000    3.530000e-12
   0.10000    2.450000e-11
   0.11000    1.340000e-10
   0.12000    5.980000e-10
   0.13000    2.280000e-09
   0.14000    7.620000e-09
   0.15000    2.280000e-08
   0.16000    6.220000e-08
   0.18000    3.660000e-07
   0.20000    1.680000e-06
   0.25000    3.550000e-05
   0.30000    3.620000e-04
   0.40000    1.060000e-02
   0.50000    1.160000e-01
   0.60000    7.150000e-01
   0.70000    3.060000e+00
   0.80000    1.020000e+01
   0.90000    2.860000e+01
   1.00000    7.130000e+01
   1.10000    1.620000e+02
   1.20000    3.430000e+02
   1.30000    6.780000e+02
   1.40000    1.260000e+03
   1.50000    2.220000e+03
   1.60000    3.690000e+03
   1.80000    8.960000e+03
   2.00000    1.870000e+04
   2.50000    7.350000e+04
   3.00000    1.920000e+05
   3.50000    3.970000e+05
   4.00000    7.130000e+05
   4.50000    1.170000e+06
   5.00000    1.800000e+06
   6.00000    3.750000e+06
   7.00000    6.820000e+06
   8.00000    1.120000e+07
   9.00000    1.700000e+07
  10.00000    2.420000e+07
  12.50000    4.710000e+07
  15.00000    7.430000e+07
  17.50000    1.030000e+08
  20.00000    1.310000e+08
  25.00000    1.800000e+08
  30.00000    2.200000e+08
  35.00000    2.510000e+08
  40.00000    2.750000e+08
  50.00000    3.080000e+08
  60.00000    3.300000e+08
  70.00000    3.460000e+08
  80.00000    3.570000e+08
  90.00000    3.650000e+08
 100.00000    3.700000e+08
