#T8    	adopted	
57
   0.04000    1.780000e-24
   0.05000    3.650000e-22
   0.06000    2.120000e-20
   0.07000    5.430000e-19
   0.08000    7.890000e-18
   0.09000    7.560000e-17
   0.10000    5.300000e-16
   0.11000    2.910000e-15
   0.12000    1.310000e-14
   0.13000    5.050000e-14
   0.14000    1.700000e-13
   0.15000    5.140000e-13
   0.16000    1.410000e-12
   0.18000    8.450000e-12
   0.20000    3.950000e-11
   0.25000    8.700000e-10
   0.30000    9.260000e-09
   0.40000    2.960000e-07
   0.50000    3.580000e-06
   0.60000    2.490000e-05
   0.70000    1.280000e-04
   0.80000    5.790000e-04
   0.90000    2.500000e-03
   1.00000    9.840000e-03
   1.10000    3.340000e-02
   1.20000    9.670000e-02
   1.30000    2.420000e-01
   1.40000    5.360000e-01
   1.50000    1.070000e+00
   1.60000    1.950000e+00
   1.80000    5.290000e+00
   2.00000    1.160000e+01
   2.50000    4.630000e+01
   3.00000    1.120000e+02
   3.50000    2.030000e+02
   4.00000    3.120000e+02
   4.50000    4.290000e+02
   5.00000    5.490000e+02
   6.00000    7.830000e+02
   7.00000    1.010000e+03
   8.00000    1.240000e+03
   9.00000    1.500000e+03
  10.00000    1.780000e+03
  12.50000    2.640000e+03
  15.00000    3.720000e+03
  17.50000    4.940000e+03
  20.00000    6.240000e+03
  25.00000    8.870000e+03
  30.00000    1.130000e+04
  35.00000    1.350000e+04
  40.00000    1.540000e+04
  50.00000    1.850000e+04
  60.00000    2.090000e+04
  70.00000    2.280000e+04
  80.00000    2.470000e+04
  90.00000    2.670000e+04
 100.00000    2.890000e+04
