#T8    	adopted	
43
   0.20000    4.630000e-27
   0.25000    1.560000e-24
   0.30000    1.300000e-22
   0.40000    7.900000e-20
   0.50000    7.330000e-18
   0.60000    2.280000e-16
   0.70000    3.490000e-15
   0.80000    3.290000e-14
   0.90000    2.180000e-13
   1.00000    1.100000e-12
   1.10000    4.530000e-12
   1.20000    1.580000e-11
   1.30000    4.800000e-11
   1.40000    1.310000e-10
   1.50000    3.240000e-10
   1.60000    7.410000e-10
   1.80000    3.230000e-09
   2.00000    1.230000e-08
   2.50000    6.370000e-07
   3.00000    2.990000e-05
   3.50000    5.110000e-04
   4.00000    4.250000e-03
   4.50000    2.170000e-02
   5.00000    7.860000e-02
   6.00000    5.310000e-01
   7.00000    2.050000e+00
   8.00000    5.630000e+00
   9.00000    1.250000e+01
  10.00000    2.370000e+01
  12.50000    7.810000e+01
  15.00000    1.770000e+02
  17.50000    3.200000e+02
  20.00000    4.970000e+02
  25.00000    9.090000e+02
  30.00000    1.340000e+03
  35.00000    1.740000e+03
  40.00000    2.110000e+03
  50.00000    2.730000e+03
  60.00000    3.220000e+03
  70.00000    3.600000e+03
  80.00000    3.890000e+03
  90.00000    4.100000e+03
 100.00000    4.240000e+03
