#T8    	adopted	
44
   0.18000    5.950000e-25
   0.20000    1.400000e-23
   0.25000    8.040000e-21
   0.30000    1.150000e-18
   0.40000    1.740000e-15
   0.50000    2.840000e-13
   0.60000    1.460000e-11
   0.70000    3.960000e-10
   0.80000    6.340000e-09
   0.90000    6.310000e-08
   1.00000    4.210000e-07
   1.10000    2.060000e-06
   1.20000    7.870000e-06
   1.30000    2.480000e-05
   1.40000    6.740000e-05
   1.50000    1.620000e-04
   1.60000    3.590000e-04
   1.80000    1.440000e-03
   2.00000    5.030000e-03
   2.50000    7.700000e-02
   3.00000    6.660000e-01
   3.50000    3.440000e+00
   4.00000    1.220000e+01
   4.50000    3.300000e+01
   5.00000    7.370000e+01
   6.00000    2.490000e+02
   7.00000    6.050000e+02
   8.00000    1.230000e+03
   9.00000    2.270000e+03
  10.00000    4.090000e+03
  12.50000    1.760000e+04
  15.00000    6.510000e+04
  17.50000    1.870000e+05
  20.00000    4.280000e+05
  25.00000    1.400000e+06
  30.00000    3.110000e+06
  35.00000    5.530000e+06
  40.00000    8.570000e+06
  50.00000    1.620000e+07
  60.00000    2.540000e+07
  70.00000    3.570000e+07
  80.00000    4.660000e+07
  90.00000    5.760000e+07
 100.00000    6.850000e+07
