#T8    	adopted	
59
   0.02000    2.380000e-23
   0.03000    5.950000e-19
   0.04000    3.550000e-16
   0.05000    3.330000e-14
   0.06000    1.060000e-12
   0.07000    1.680000e-11
   0.08000    1.640000e-10
   0.09000    1.120000e-09
   0.10000    5.870000e-09
   0.11000    2.500000e-08
   0.12000    8.990000e-08
   0.13000    2.830000e-07
   0.14000    7.940000e-07
   0.15000    2.030000e-06
   0.16000    4.780000e-06
   0.18000    2.180000e-05
   0.20000    8.050000e-05
   0.25000    1.100000e-03
   0.30000    8.090000e-03
   0.40000    1.480000e-01
   0.50000    1.170000e+00
   0.60000    5.680000e+00
   0.70000    2.010000e+01
   0.80000    5.700000e+01
   0.90000    1.380000e+02
   1.00000    2.950000e+02
   1.10000    5.740000e+02
   1.20000    1.040000e+03
   1.30000    1.770000e+03
   1.40000    2.860000e+03
   1.50000    4.450000e+03
   1.60000    6.670000e+03
   1.80000    1.380000e+04
   2.00000    2.600000e+04
   2.50000    9.630000e+04
   3.00000    2.680000e+05
   3.50000    6.100000e+05
   4.00000    1.190000e+06
   4.50000    2.060000e+06
   5.00000    3.240000e+06
   6.00000    6.570000e+06
   7.00000    1.100000e+07
   8.00000    1.640000e+07
   9.00000    2.220000e+07
  10.00000    2.840000e+07
  12.50000    4.410000e+07
  15.00000    5.880000e+07
  17.50000    7.190000e+07
  20.00000    8.340000e+07
  25.00000    1.020000e+08
  30.00000    1.160000e+08
  35.00000    1.260000e+08
  40.00000    1.340000e+08
  50.00000    1.460000e+08
  60.00000    1.540000e+08
  70.00000    1.590000e+08
  80.00000    1.630000e+08
  90.00000    1.650000e+08
 100.00000    1.670000e+08
