#T8    	adopted	
59
   0.02000    3.320000e-23
   0.03000    8.150000e-19
   0.04000    4.770000e-16
   0.05000    4.410000e-14
   0.06000    1.390000e-12
   0.07000    2.180000e-11
   0.08000    2.100000e-10
   0.09000    1.430000e-09
   0.10000    7.420000e-09
   0.11000    3.140000e-08
   0.12000    1.120000e-07
   0.13000    3.500000e-07
   0.14000    9.780000e-07
   0.15000    2.490000e-06
   0.16000    5.830000e-06
   0.18000    2.640000e-05
   0.20000    9.660000e-05
   0.25000    1.300000e-03
   0.30000    9.440000e-03
   0.40000    1.700000e-01
   0.50000    1.330000e+00
   0.60000    6.400000e+00
   0.70000    2.250000e+01
   0.80000    6.370000e+01
   0.90000    1.540000e+02
   1.00000    3.290000e+02
   1.10000    6.400000e+02
   1.20000    1.160000e+03
   1.30000    1.960000e+03
   1.40000    3.170000e+03
   1.50000    4.910000e+03
   1.60000    7.330000e+03
   1.80000    1.500000e+04
   2.00000    2.800000e+04
   2.50000    9.930000e+04
   3.00000    2.650000e+05
   3.50000    5.770000e+05
   4.00000    1.090000e+06
   4.50000    1.820000e+06
   5.00000    2.810000e+06
   6.00000    5.510000e+06
   7.00000    9.060000e+06
   8.00000    1.320000e+07
   9.00000    1.780000e+07
  10.00000    2.270000e+07
  12.50000    3.490000e+07
  15.00000    4.670000e+07
  17.50000    5.760000e+07
  20.00000    6.750000e+07
  25.00000    8.460000e+07
  30.00000    9.860000e+07
  35.00000    1.100000e+08
  40.00000    1.200000e+08
  50.00000    1.350000e+08
  60.00000    1.450000e+08
  70.00000    1.540000e+08
  80.00000    1.600000e+08
  90.00000    1.650000e+08
 100.00000    1.690000e+08
