#T8    	adopted	
58
   0.03000    4.580000e-23
   0.04000    2.700000e-20
   0.05000    2.500000e-18
   0.06000    7.890000e-17
   0.07000    1.240000e-15
   0.08000    1.200000e-14
   0.09000    8.140000e-14
   0.10000    4.240000e-13
   0.11000    1.790000e-12
   0.12000    6.390000e-12
   0.13000    2.000000e-11
   0.14000    5.570000e-11
   0.15000    1.410000e-10
   0.16000    3.310000e-10
   0.18000    1.490000e-09
   0.20000    5.450000e-09
   0.25000    7.250000e-08
   0.30000    5.200000e-07
   0.40000    9.080000e-06
   0.50000    6.900000e-05
   0.60000    3.230000e-04
   0.70000    1.100000e-03
   0.80000    3.040000e-03
   0.90000    7.160000e-03
   1.00000    1.500000e-02
   1.10000    2.860000e-02
   1.20000    5.070000e-02
   1.30000    8.490000e-02
   1.40000    1.350000e-01
   1.50000    2.070000e-01
   1.60000    3.060000e-01
   1.80000    6.150000e-01
   2.00000    1.130000e+00
   2.50000    3.940000e+00
   3.00000    1.040000e+01
   3.50000    2.250000e+01
   4.00000    4.220000e+01
   4.50000    7.070000e+01
   5.00000    1.080000e+02
   6.00000    2.110000e+02
   7.00000    3.450000e+02
   8.00000    5.080000e+02
   9.00000    6.990000e+02
  10.00000    9.260000e+02
  12.50000    1.720000e+03
  15.00000    2.970000e+03
  17.50000    4.720000e+03
  20.00000    6.900000e+03
  25.00000    1.200000e+04
  30.00000    1.720000e+04
  35.00000    2.170000e+04
  40.00000    2.550000e+04
  50.00000    3.060000e+04
  60.00000    3.320000e+04
  70.00000    3.420000e+04
  80.00000    3.410000e+04
  90.00000    3.340000e+04
 100.00000    3.240000e+04
