#T8    	adopted	
38
   0.60000    6.000000e-26
   0.70000    2.980000e-24
   0.80000    7.430000e-23
   0.90000    1.120000e-21
   1.00000    1.150000e-20
   1.10000    8.810000e-20
   1.20000    5.320000e-19
   1.30000    2.650000e-18
   1.40000    1.130000e-17
   1.50000    4.180000e-17
   1.60000    1.380000e-16
   1.80000    1.150000e-15
   2.00000    7.080000e-15
   2.50000    2.670000e-13
   3.00000    4.190000e-12
   3.50000    3.750000e-11
   4.00000    2.270000e-10
   4.50000    1.030000e-09
   5.00000    3.800000e-09
   6.00000    3.230000e-08
   7.00000    1.770000e-07
   8.00000    7.160000e-07
   9.00000    2.330000e-06
  10.00000    6.450000e-06
  12.50000    4.990000e-05
  15.00000    2.450000e-04
  17.50000    9.130000e-04
  20.00000    2.810000e-03
  25.00000    1.750000e-02
  30.00000    7.190000e-02
  35.00000    2.230000e-01
  40.00000    5.770000e-01
  50.00000    2.750000e+00
  60.00000    9.630000e+00
  70.00000    2.600000e+01
  80.00000    5.660000e+01
  90.00000    1.050000e+02
 100.00000    1.710000e+02
