#T8    	adopted	
40
   0.40000    2.910000e-24
   0.50000    1.820000e-21
   0.60000    2.450000e-19
   0.70000    1.220000e-17
   0.80000    3.060000e-16
   0.90000    4.650000e-15
   1.00000    4.860000e-14
   1.10000    3.780000e-13
   1.20000    2.330000e-12
   1.30000    1.180000e-11
   1.40000    5.150000e-11
   1.50000    1.960000e-10
   1.60000    6.630000e-10
   1.80000    5.770000e-09
   2.00000    3.720000e-08
   2.50000    1.580000e-06
   3.00000    2.890000e-05
   3.50000    3.140000e-04
   4.00000    2.430000e-03
   4.50000    1.450000e-02
   5.00000    6.920000e-02
   6.00000    8.760000e-01
   7.00000    6.060000e+00
   8.00000    2.730000e+01
   9.00000    9.100000e+01
  10.00000    2.440000e+02
  12.50000    1.570000e+03
  15.00000    6.040000e+03
  17.50000    1.730000e+04
  20.00000    4.070000e+04
  25.00000    1.480000e+05
  30.00000    3.700000e+05
  35.00000    7.240000e+05
  40.00000    1.210000e+06
  50.00000    2.540000e+06
  60.00000    4.370000e+06
  70.00000    6.870000e+06
  80.00000    1.040000e+07
  90.00000    1.530000e+07
 100.00000    2.210000e+07
