#T8    	adopted	
54
   0.07000    2.340000e-22
   0.08000    4.860000e-21
   0.09000    6.320000e-20
   0.10000    5.760000e-19
   0.11000    3.980000e-18
   0.12000    2.200000e-17
   0.13000    1.020000e-16
   0.14000    4.020000e-16
   0.15000    1.410000e-15
   0.16000    4.410000e-15
   0.18000    3.320000e-14
   0.20000    1.890000e-13
   0.25000    6.170000e-12
   0.30000    8.770000e-11
   0.40000    4.180000e-09
   0.50000    6.490000e-08
   0.60000    5.250000e-07
   0.70000    2.780000e-06
   0.80000    1.100000e-05
   0.90000    3.520000e-05
   1.00000    9.600000e-05
   1.10000    2.310000e-04
   1.20000    5.010000e-04
   1.30000    1.000000e-03
   1.40000    1.880000e-03
   1.50000    3.330000e-03
   1.60000    5.610000e-03
   1.80000    1.420000e-02
   2.00000    3.180000e-02
   2.50000    1.630000e-01
   3.00000    6.100000e-01
   3.50000    1.980000e+00
   4.00000    5.970000e+00
   4.50000    1.660000e+01
   5.00000    4.140000e+01
   6.00000    1.800000e+02
   7.00000    5.320000e+02
   8.00000    1.200000e+03
   9.00000    2.240000e+03
  10.00000    3.660000e+03
  12.50000    8.530000e+03
  15.00000    1.440000e+04
  17.50000    2.040000e+04
  20.00000    2.580000e+04
  25.00000    3.460000e+04
  30.00000    4.060000e+04
  35.00000    4.460000e+04
  40.00000    4.740000e+04
  50.00000    5.100000e+04
  60.00000    5.350000e+04
  70.00000    5.550000e+04
  80.00000    5.710000e+04
  90.00000    5.840000e+04
 100.00000    5.930000e+04
