# T8 	adopted 	
59
   0.02000    2.980000e-23
   0.03000    4.010000e-20
   0.04000    3.730000e-18
   0.05000    9.340000e-17
   0.06000    1.090000e-15
   0.07000    7.670000e-15
   0.08000    3.850000e-14
   0.09000    1.500000e-13
   0.10000    4.840000e-13
   0.11000    1.350000e-12
   0.12000    3.330000e-12
   0.13000    7.480000e-12
   0.14000    1.550000e-11
   0.15000    3.010000e-11
   0.16000    5.510000e-11
   0.18000    1.610000e-10
   0.20000    4.040000e-10
   0.25000    2.550000e-09
   0.30000    1.040000e-08
   0.40000    8.060000e-08
   0.50000    3.450000e-07
   0.60000    1.050000e-06
   0.70000    2.540000e-06
   0.80000    5.290000e-06
   0.90000    9.850000e-06
   1.00000    1.680000e-05
   1.10000    2.690000e-05
   1.20000    4.080000e-05
   1.30000    5.920000e-05
   1.40000    8.290000e-05
   1.50000    1.130000e-04
   1.60000    1.490000e-04
   1.80000    2.460000e-04
   2.00000    3.800000e-04
   2.50000    9.100000e-04
   3.00000    1.790000e-03
   3.50000    3.090000e-03
   4.00000    4.890000e-03
   4.50000    7.240000e-03
   5.00000    1.020000e-02
   6.00000    1.840000e-02
   7.00000    3.040000e-02
   8.00000    4.780000e-02
   9.00000    7.260000e-02
  10.00000    1.060000e-01
  12.50000    2.360000e-01
  15.00000    4.280000e-01
  17.50000    6.670000e-01
  20.00000    9.320000e-01
  25.00000    1.490000e+00
  30.00000    2.030000e+00
  35.00000    2.570000e+00
  40.00000    3.100000e+00
  50.00000    4.220000e+00
  60.00000    5.500000e+00
  70.00000    6.980000e+00
  80.00000    8.670000e+00
  90.00000    1.050000e+01
 100.00000    1.250000e+01
