#T8    	adopted	
60
   0.01000    1.870000e-07
   0.02000    1.370000e-03
   0.03000    9.980000e-02
   0.04000    1.470000e+00
   0.05000    9.930000e+00
   0.06000    4.240000e+01
   0.07000    1.350000e+02
   0.08000    3.490000e+02
   0.09000    7.800000e+02
   0.10000    1.560000e+03
   0.11000    2.850000e+03
   0.12000    4.870000e+03
   0.13000    7.850000e+03
   0.14000    1.210000e+04
   0.15000    1.790000e+04
   0.16000    2.560000e+04
   0.18000    4.810000e+04
   0.20000    8.300000e+04
   0.25000    2.470000e+05
   0.30000    5.700000e+05
   0.40000    1.930000e+06
   0.50000    4.620000e+06
   0.60000    8.980000e+06
   0.70000    1.520000e+07
   0.80000    2.340000e+07
   0.90000    3.350000e+07
   1.00000    4.520000e+07
   1.10000    5.850000e+07
   1.20000    7.300000e+07
   1.30000    8.840000e+07
   1.40000    1.050000e+08
   1.50000    1.210000e+08
   1.60000    1.380000e+08
   1.80000    1.730000e+08
   2.00000    2.060000e+08
   2.50000    2.830000e+08
   3.00000    3.470000e+08
   3.50000    3.980000e+08
   4.00000    4.360000e+08
   4.50000    4.650000e+08
   5.00000    4.850000e+08
   6.00000    5.100000e+08
   7.00000    5.190000e+08
   8.00000    5.190000e+08
   9.00000    5.130000e+08
  10.00000    5.040000e+08
  12.50000    4.760000e+08
  15.00000    4.470000e+08
  17.50000    4.190000e+08
  20.00000    3.940000e+08
  25.00000    3.520000e+08
  30.00000    3.190000e+08
  35.00000    2.920000e+08
  40.00000    2.700000e+08
  50.00000    2.370000e+08
  60.00000    2.140000e+08
  70.00000    1.970000e+08
  80.00000    1.830000e+08
  90.00000    1.730000e+08
 100.00000    1.640000e+08
