# T8 	    adopted
60
   0.01000    1.460000e-15
   0.02000    6.020000e-12
   0.03000    3.300000e-10
   0.04000    4.050000e-09
   0.05000    2.390000e-08
   0.06000    9.190000e-08
   0.07000    2.680000e-07
   0.08000    6.470000e-07
   0.09000    1.360000e-06
   0.10000    2.570000e-06
   0.11000    4.470000e-06
   0.12000    7.280000e-06
   0.13000    1.130000e-05
   0.14000    1.670000e-05
   0.15000    2.380000e-05
   0.16000    3.290000e-05
   0.18000    5.830000e-05
   0.20000    9.520000e-05
   0.25000    2.520000e-04
   0.30000    5.270000e-04
   0.40000    1.520000e-03
   0.50000    3.190000e-03
   0.60000    5.570000e-03
   0.70000    8.650000e-03
   0.80000    1.240000e-02
   0.90000    1.680000e-02
   1.00000    2.160000e-02
   1.10000    2.710000e-02
   1.20000    3.290000e-02
   1.30000    3.910000e-02
   1.40000    4.570000e-02
   1.50000    5.260000e-02
   1.60000    5.980000e-02
   1.80000    7.480000e-02
   2.00000    9.060000e-02
   2.50000    1.320000e-01
   3.00000    1.760000e-01
   3.50000    2.210000e-01
   4.00000    2.670000e-01
   4.50000    3.150000e-01
   5.00000    3.630000e-01
   6.00000    4.650000e-01
   7.00000    5.740000e-01
   8.00000    6.920000e-01
   9.00000    8.180000e-01
  10.00000    9.540000e-01
  12.50000    1.330000e+00
  15.00000    1.760000e+00
  17.50000    2.230000e+00
  20.00000    2.750000e+00
  25.00000    3.920000e+00
  30.00000    5.270000e+00
  35.00000    6.800000e+00
  40.00000    8.500000e+00
  50.00000    1.230000e+01
  60.00000    1.660000e+01
  70.00000    2.120000e+01
  80.00000    2.580000e+01
  90.00000    3.040000e+01
 100.00000    3.480000e+01
