#T8    	adopted	
60
   0.01000    1.430000e-08
   0.02000    5.950000e-05
   0.03000    3.230000e-03
   0.04000    3.950000e-02
   0.05000    2.340000e-01
   0.06000    9.010000e-01
   0.07000    2.640000e+00
   0.08000    6.380000e+00
   0.09000    1.340000e+01
   0.10000    2.540000e+01
   0.11000    4.440000e+01
   0.12000    7.250000e+01
   0.13000    1.120000e+02
   0.14000    1.670000e+02
   0.15000    2.390000e+02
   0.16000    3.310000e+02
   0.18000    5.880000e+02
   0.20000    9.640000e+02
   0.25000    2.580000e+03
   0.30000    5.440000e+03
   0.40000    1.600000e+04
   0.50000    3.400000e+04
   0.60000    6.040000e+04
   0.70000    9.520000e+04
   0.80000    1.380000e+05
   0.90000    1.890000e+05
   1.00000    2.480000e+05
   1.10000    3.130000e+05
   1.20000    3.860000e+05
   1.30000    4.640000e+05
   1.40000    5.480000e+05
   1.50000    6.380000e+05
   1.60000    7.320000e+05
   1.80000    9.360000e+05
   2.00000    1.160000e+06
   2.50000    1.770000e+06
   3.00000    2.460000e+06
   3.50000    3.200000e+06
   4.00000    3.980000e+06
   4.50000    4.780000e+06
   5.00000    5.590000e+06
   6.00000    7.250000e+06
   7.00000    8.900000e+06
   8.00000    1.050000e+07
   9.00000    1.220000e+07
  10.00000    1.370000e+07
  12.50000    1.760000e+07
  15.00000    2.120000e+07
  17.50000    2.460000e+07
  20.00000    2.790000e+07
  25.00000    3.390000e+07
  30.00000    3.930000e+07
  35.00000    4.430000e+07
  40.00000    4.870000e+07
  50.00000    5.650000e+07
  60.00000    6.260000e+07
  70.00000    6.730000e+07
  80.00000    7.270000e+07
  90.00000    7.720000e+07
 100.00000    8.130000e+07
