#T8    	adopted	
60
   0.01000    3.540000e-19
   0.02000    6.140000e-13
   0.03000    6.360000e-10
   0.04000    5.020000e-08
   0.05000    1.110000e-06
   0.06000    1.180000e-05
   0.07000    7.740000e-05
   0.08000    3.640000e-04
   0.09000    1.350000e-03
   0.10000    4.150000e-03
   0.11000    1.110000e-02
   0.12000    2.640000e-02
   0.13000    5.740000e-02
   0.14000    1.160000e-01
   0.15000    2.180000e-01
   0.16000    3.890000e-01
   0.18000    1.080000e+00
   0.20000    2.620000e+00
   0.25000    1.520000e+01
   0.30000    5.820000e+01
   0.40000    4.070000e+02
   0.50000    1.620000e+03
   0.60000    4.630000e+03
   0.70000    1.070000e+04
   0.80000    2.140000e+04
   0.90000    3.850000e+04
   1.00000    6.380000e+04
   1.10000    9.940000e+04
   1.20000    1.470000e+05
   1.30000    2.090000e+05
   1.40000    2.880000e+05
   1.50000    3.850000e+05
   1.60000    5.030000e+05
   1.80000    8.070000e+05
   2.00000    1.220000e+06
   2.50000    2.770000e+06
   3.00000    5.190000e+06
   3.50000    8.510000e+06
   4.00000    1.270000e+07
   4.50000    1.760000e+07
   5.00000    2.310000e+07
   6.00000    3.530000e+07
   7.00000    4.830000e+07
   8.00000    6.120000e+07
   9.00000    7.350000e+07
  10.00000    8.490000e+07
  12.50000    1.090000e+08
  15.00000    1.270000e+08
  17.50000    1.390000e+08
  20.00000    1.480000e+08
  25.00000    1.570000e+08
  30.00000    1.610000e+08
  35.00000    1.610000e+08
  40.00000    1.590000e+08
  50.00000    1.530000e+08
  60.00000    1.460000e+08
  70.00000    1.380000e+08
  80.00000    1.310000e+08
  90.00000    1.240000e+08
 100.00000    1.170000e+08
