# T8 	  adopted 	
56
   0.05000    5.140000e-25
   0.06000    3.790000e-23
   0.07000    1.170000e-21
   0.08000    1.990000e-20
   0.09000    2.170000e-19
   0.10000    1.700000e-18
   0.11000    1.030000e-17
   0.12000    5.030000e-17
   0.13000    2.090000e-16
   0.14000    7.510000e-16
   0.15000    2.400000e-15
   0.16000    6.960000e-15
   0.18000    4.560000e-14
   0.20000    2.300000e-13
   0.25000    5.860000e-12
   0.30000    6.880000e-11
   0.40000    2.460000e-09
   0.50000    3.110000e-08
   0.60000    2.140000e-07
   0.70000    9.920000e-07
   0.80000    3.500000e-06
   0.90000    1.020000e-05
   1.00000    2.530000e-05
   1.10000    5.620000e-05
   1.20000    1.140000e-04
   1.30000    2.130000e-04
   1.40000    3.750000e-04
   1.50000    6.250000e-04
   1.60000    9.980000e-04
   1.80000    2.280000e-03
   2.00000    4.620000e-03
   2.50000    1.890000e-02
   3.00000    5.490000e-02
   3.50000    1.280000e-01
   4.00000    2.540000e-01
   4.50000    4.540000e-01
   5.00000    7.440000e-01
   6.00000    1.670000e+00
   7.00000    3.160000e+00
   8.00000    5.300000e+00
   9.00000    8.170000e+00
  10.00000    1.180000e+01
  12.50000    2.440000e+01
  15.00000    4.190000e+01
  17.50000    6.400000e+01
  20.00000    9.040000e+01
  25.00000    1.540000e+02
  30.00000    2.320000e+02
  35.00000    3.210000e+02
  40.00000    4.210000e+02
  50.00000    6.530000e+02
  60.00000    9.150000e+02
  70.00000    1.190000e+03
  80.00000    1.470000e+03
  90.00000    1.740000e+03
 100.00000    1.990000e+03
