#T8	  adopted   
59
   0.02000    7.060000e-21
   0.03000    1.790000e-17
   0.04000    2.480000e-15
   0.05000    8.210000e-14
   0.06000    1.180000e-12
   0.07000    9.870000e-12
   0.08000    5.680000e-11
   0.09000    2.490000e-10
   0.10000    8.850000e-10
   0.11000    2.680000e-09
   0.12000    7.150000e-09
   0.13000    1.720000e-08
   0.14000    3.780000e-08
   0.15000    7.730000e-08
   0.16000    1.490000e-07
   0.18000    4.720000e-07
   0.20000    1.270000e-06
   0.25000    9.250000e-06
   0.30000    4.170000e-05
   0.40000    3.700000e-04
   0.50000    1.730000e-03
   0.60000    5.550000e-03
   0.70000    1.400000e-02
   0.80000    3.000000e-02
   0.90000    5.680000e-02
   1.00000    9.830000e-02
   1.10000    1.580000e-01
   1.20000    2.410000e-01
   1.30000    3.500000e-01
   1.40000    4.900000e-01
   1.50000    6.640000e-01
   1.60000    8.760000e-01
   1.80000    1.430000e+00
   2.00000    2.160000e+00
   2.50000    4.930000e+00
   3.00000    9.140000e+00
   3.50000    1.490000e+01
   4.00000    2.210000e+01
   4.50000    3.070000e+01
   5.00000    4.060000e+01
   6.00000    6.390000e+01
   7.00000    9.120000e+01
   8.00000    1.220000e+02
   9.00000    1.550000e+02
  10.00000    1.900000e+02
  12.50000    2.850000e+02
  15.00000    3.870000e+02
  17.50000    4.920000e+02
  20.00000    6.000000e+02
  25.00000    8.190000e+02
  30.00000    1.040000e+03
  35.00000    1.270000e+03
  40.00000    1.500000e+03
  50.00000    1.960000e+03
  60.00000    2.400000e+03
  70.00000    2.780000e+03
  80.00000    3.100000e+03
  90.00000    3.360000e+03
 100.00000    3.550000e+03
