#T8    	adopted	
58
   0.03000    2.800000e-25
   0.04000    5.550000e-22
   0.05000    1.220000e-19
   0.06000    7.480000e-18
   0.07000    1.990000e-16
   0.08000    2.980000e-15
   0.09000    2.930000e-14
   0.10000    2.090000e-13
   0.11000    1.170000e-12
   0.12000    5.340000e-12
   0.13000    2.080000e-11
   0.14000    7.080000e-11
   0.15000    2.150000e-10
   0.16000    5.950000e-10
   0.18000    3.590000e-09
   0.20000    1.680000e-08
   0.25000    3.710000e-07
   0.30000    3.910000e-06
   0.40000    1.190000e-04
   0.50000    1.350000e-03
   0.60000    8.490000e-03
   0.70000    3.680000e-02
   0.80000    1.230000e-01
   0.90000    3.400000e-01
   1.00000    8.130000e-01
   1.10000    1.740000e+00
   1.20000    3.410000e+00
   1.30000    6.210000e+00
   1.40000    1.070000e+01
   1.50000    1.740000e+01
   1.60000    2.710000e+01
   1.80000    5.960000e+01
   2.00000    1.170000e+02
   2.50000    4.500000e+02
   3.00000    1.240000e+03
   3.50000    2.790000e+03
   4.00000    5.400000e+03
   4.50000    9.420000e+03
   5.00000    1.520000e+04
   6.00000    3.300000e+04
   7.00000    6.100000e+04
   8.00000    1.010000e+05
   9.00000    1.530000e+05
  10.00000    2.190000e+05
  12.50000    4.460000e+05
  15.00000    7.600000e+05
  17.50000    1.160000e+06
  20.00000    1.640000e+06
  25.00000    2.830000e+06
  30.00000    4.300000e+06
  35.00000    6.010000e+06
  40.00000    7.920000e+06
  50.00000    1.220000e+07
  60.00000    1.700000e+07
  70.00000    2.210000e+07
  80.00000    2.730000e+07
  90.00000    3.270000e+07
 100.00000    3.800000e+07
