#T8    	adopted	
46
   0.15000    1.730000e-25
   0.16000    8.640000e-25
   0.18000    1.480000e-23
   0.20000    1.710000e-22
   0.25000    2.300000e-20
   0.30000    9.610000e-19
   0.40000    2.200000e-16
   0.50000    1.050000e-14
   0.60000    1.990000e-13
   0.70000    2.090000e-12
   0.80000    1.570000e-11
   0.90000    1.390000e-10
   1.00000    1.790000e-09
   1.10000    2.000000e-08
   1.20000    1.600000e-07
   1.30000    9.330000e-07
   1.40000    4.230000e-06
   1.50000    1.560000e-05
   1.60000    4.840000e-05
   1.80000    3.170000e-04
   2.00000    1.400000e-03
   2.50000    1.930000e-02
   3.00000    1.060000e-01
   3.50000    3.440000e-01
   4.00000    8.130000e-01
   4.50000    1.570000e+00
   5.00000    2.660000e+00
   6.00000    6.180000e+00
   7.00000    1.260000e+01
   8.00000    2.400000e+01
   9.00000    4.270000e+01
  10.00000    7.020000e+01
  12.50000    1.800000e+02
  15.00000    3.370000e+02
  17.50000    5.200000e+02
  20.00000    7.130000e+02
  25.00000    1.100000e+03
  30.00000    1.480000e+03
  35.00000    1.870000e+03
  40.00000    2.250000e+03
  50.00000    2.970000e+03
  60.00000    3.590000e+03
  70.00000    4.100000e+03
  80.00000    4.500000e+03
  90.00000    4.790000e+03
 100.00000    5.000000e+03
