#T8    	adopted	
60
   0.01000    9.170000e-27
   0.02000    2.380000e-19
   0.03000    9.060000e-16
   0.04000    1.610000e-13
   0.05000    6.410000e-12
   0.06000    1.060000e-10
   0.07000    9.930000e-10
   0.08000    6.280000e-09
   0.09000    2.980000e-08
   0.10000    1.140000e-07
   0.11000    3.680000e-07
   0.12000    1.040000e-06
   0.13000    2.620000e-06
   0.14000    6.040000e-06
   0.15000    1.290000e-05
   0.16000    2.580000e-05
   0.18000    8.800000e-05
   0.20000    2.530000e-04
   0.25000    2.090000e-03
   0.30000    1.040000e-02
   0.40000    1.080000e-01
   0.50000    5.630000e-01
   0.60000    1.980000e+00
   0.70000    5.400000e+00
   0.80000    1.230000e+01
   0.90000    2.470000e+01
   1.00000    4.480000e+01
   1.10000    7.530000e+01
   1.20000    1.190000e+02
   1.30000    1.790000e+02
   1.40000    2.600000e+02
   1.50000    3.620000e+02
   1.60000    4.920000e+02
   1.80000    8.420000e+02
   2.00000    1.340000e+03
   2.50000    3.350000e+03
   3.00000    6.730000e+03
   3.50000    1.170000e+04
   4.00000    1.840000e+04
   4.50000    2.680000e+04
   5.00000    3.710000e+04
   6.00000    6.310000e+04
   7.00000    9.580000e+04
   8.00000    1.350000e+05
   9.00000    1.790000e+05
  10.00000    2.290000e+05
  12.50000    3.720000e+05
  15.00000    5.390000e+05
  17.50000    7.250000e+05
  20.00000    9.310000e+05
  25.00000    1.400000e+06
  30.00000    1.980000e+06
  35.00000    2.680000e+06
  40.00000    3.510000e+06
  50.00000    5.520000e+06
  60.00000    7.860000e+06
  70.00000    1.030000e+07
  80.00000    1.270000e+07
  90.00000    1.490000e+07
 100.00000    1.700000e+07
