#T8    	adopted	
60
   0.01000    2.500000e-28
   0.02000    6.160000e-21
   0.03000    2.320000e-17
   0.04000    4.120000e-15
   0.05000    1.630000e-13
   0.06000    2.680000e-12
   0.07000    2.500000e-11
   0.08000    1.570000e-10
   0.09000    7.440000e-10
   0.10000    2.830000e-09
   0.11000    9.080000e-09
   0.12000    2.550000e-08
   0.13000    6.400000e-08
   0.14000    1.470000e-07
   0.15000    3.120000e-07
   0.16000    6.210000e-07
   0.18000    2.090000e-06
   0.20000    5.960000e-06
   0.25000    4.810000e-05
   0.30000    2.350000e-04
   0.40000    2.350000e-03
   0.50000    1.200000e-02
   0.60000    4.110000e-02
   0.70000    1.100000e-01
   0.80000    2.450000e-01
   0.90000    4.840000e-01
   1.00000    8.650000e-01
   1.10000    1.440000e+00
   1.20000    2.250000e+00
   1.30000    3.350000e+00
   1.40000    4.790000e+00
   1.50000    6.630000e+00
   1.60000    8.920000e+00
   1.80000    1.500000e+01
   2.00000    2.350000e+01
   2.50000    5.770000e+01
   3.00000    1.170000e+02
   3.50000    2.180000e+02
   4.00000    3.970000e+02
   4.50000    7.100000e+02
   5.00000    1.220000e+03
   6.00000    3.070000e+03
   7.00000    6.220000e+03
   8.00000    1.060000e+04
   9.00000    1.600000e+04
  10.00000    2.210000e+04
  12.50000    3.800000e+04
  15.00000    5.270000e+04
  17.50000    6.480000e+04
  20.00000    7.420000e+04
  25.00000    8.640000e+04
  30.00000    9.290000e+04
  35.00000    9.590000e+04
  40.00000    9.710000e+04
  50.00000    9.730000e+04
  60.00000    9.660000e+04
  70.00000    9.630000e+04
  80.00000    9.660000e+04
  90.00000    9.770000e+04
 100.00000    9.930000e+04
