#T8    	adopted	
53
   0.08000    1.480000e-24
   0.09000    2.560000e-23
   0.10000    2.980000e-22
   0.11000    2.550000e-21
   0.12000    1.710000e-20
   0.13000    9.340000e-20
   0.14000    4.320000e-19
   0.15000    1.740000e-18
   0.16000    6.200000e-18
   0.18000    5.890000e-17
   0.20000    4.100000e-16
   0.25000    1.990000e-14
   0.30000    3.840000e-13
   0.40000    2.860000e-11
   0.50000    6.140000e-10
   0.60000    6.370000e-09
   0.70000    4.130000e-08
   0.80000    1.930000e-07
   0.90000    7.130000e-07
   1.00000    2.200000e-06
   1.10000    5.900000e-06
   1.20000    1.410000e-05
   1.30000    3.100000e-05
   1.40000    6.300000e-05
   1.50000    1.200000e-04
   1.60000    2.170000e-04
   1.80000    6.250000e-04
   2.00000    1.560000e-03
   2.50000    1.030000e-02
   3.00000    4.880000e-02
   3.50000    2.030000e-01
   4.00000    7.710000e-01
   4.50000    2.530000e+00
   5.00000    6.990000e+00
   6.00000    3.420000e+01
   7.00000    1.080000e+02
   8.00000    2.530000e+02
   9.00000    4.850000e+02
  10.00000    8.070000e+02
  12.50000    1.940000e+03
  15.00000    3.330000e+03
  17.50000    4.740000e+03
  20.00000    6.030000e+03
  25.00000    8.050000e+03
  30.00000    9.310000e+03
  35.00000    1.000000e+04
  40.00000    1.030000e+04
  50.00000    1.030000e+04
  60.00000    1.000000e+04
  70.00000    9.740000e+03
  80.00000    9.620000e+03
  90.00000    9.670000e+03
 100.00000    9.850000e+03
