#T8    	adopted	
56
   0.05000    6.590000e-26
   0.06000    1.140000e-23
   0.07000    7.040000e-22
   0.08000    2.110000e-20
   0.09000    3.730000e-19
   0.10000    4.430000e-18
   0.11000    3.860000e-17
   0.12000    2.630000e-16
   0.13000    1.460000e-15
   0.14000    6.850000e-15
   0.15000    2.800000e-14
   0.16000    1.010000e-13
   0.18000    9.870000e-13
   0.20000    7.020000e-12
   0.25000    3.600000e-10
   0.30000    7.300000e-09
   0.40000    5.950000e-07
   0.50000    1.380000e-05
   0.60000    1.530000e-04
   0.70000    1.050000e-03
   0.80000    5.200000e-03
   0.90000    2.030000e-02
   1.00000    6.650000e-02
   1.10000    1.900000e-01
   1.20000    4.870000e-01
   1.30000    1.140000e+00
   1.40000    2.490000e+00
   1.50000    5.130000e+00
   1.60000    1.000000e+01
   1.80000    3.380000e+01
   2.00000    9.910000e+01
   2.50000    9.000000e+02
   3.00000    4.760000e+03
   3.50000    1.700000e+04
   4.00000    4.580000e+04
   4.50000    1.000000e+05
   5.00000    1.900000e+05
   6.00000    4.970000e+05
   7.00000    9.920000e+05
   8.00000    1.660000e+06
   9.00000    2.500000e+06
  10.00000    3.470000e+06
  12.50000    6.380000e+06
  15.00000    9.880000e+06
  17.50000    1.390000e+07
  20.00000    1.820000e+07
  25.00000    2.710000e+07
  30.00000    3.570000e+07
  35.00000    4.320000e+07
  40.00000    4.930000e+07
  50.00000    5.840000e+07
  60.00000    6.400000e+07
  70.00000    6.760000e+07
  80.00000    6.980000e+07
  90.00000    7.120000e+07
 100.00000    7.190000e+07
