     omega          i        C_T        C_L
0.00000000 0.00000000 1.00000000 1.00000000
0.00000000 0.07853982 1.00000000 1.00000000
0.00000000 0.15707963 1.00000000 1.00000000
0.00000000 0.23561945 1.00000000 1.00000000
0.00000000 0.31415927 1.00000000 1.00000000
0.00000000 0.39269908 1.00000000 1.00000000
0.00000000 0.47123890 1.00000000 1.00000000
0.00000000 0.54977871 1.00000000 1.00000000
0.00000000 0.62831853 1.00000000 1.00000000
0.00000000 0.70685835 1.00000000 1.00000000
0.00000000 0.78539816 1.00000000 1.00000000
0.00000000 0.86393798 1.00000000 1.00000000
0.00000000 0.94247780 1.00000000 1.00000000
0.00000000 1.02101761 1.00000000 1.00000000
0.00000000 1.09955743 1.00000000 1.00000000
0.00000000 1.17809725 1.00000000 1.00000000
0.00000000 1.25663706 1.00000000 1.00000000
0.00000000 1.33517688 1.00000000 1.00000000
0.00000000 1.41371669 1.00000000 1.00000000
0.00000000 1.49225651 1.00000000 1.00000000
0.00000000 1.57079633 1.00000000 1.00000000
0.05000000 0.00000000 1.00020914 1.00166901
0.05000000 0.07853982 1.00020722 1.00165436
0.05000000 0.15707963 1.00020150 1.00160856
0.05000000 0.23561945 1.00019213 1.00153348
0.05000000 0.31415927 1.00017933 1.00143099
0.05000000 0.39269908 1.00016341 1.00130355
0.05000000 0.47123890 1.00014477 1.00115439
0.05000000 0.54977871 1.00012386 1.00098708
0.05000000 0.62831853 1.00010119 1.00080581
0.05000000 0.70685835 1.00007733 1.00061500
0.05000000 0.78539816 1.00005284 1.00041938
0.05000000 0.86393798 1.00002834 1.00022369
0.05000000 0.94247780 1.00000443 1.00003283
0.05000000 1.02101761 0.99998170 0.99985145
0.05000000 1.09955743 0.99996070 0.99968403
0.05000000 1.17809725 0.99994196 0.99953465
0.05000000 1.25663706 0.99992593 0.99940703
0.05000000 1.33517688 0.99991302 0.99930427
0.05000000 1.41371669 0.99990354 0.99922891
0.05000000 1.49225651 0.99989772 0.99918280
0.05000000 1.57079633 0.99989571 0.99916725
0.10000000 0.00000000 1.00083385 1.00668483
0.10000000 0.07853982 1.00082623 1.00662393
0.10000000 0.15707963 1.00080356 1.00644061
0.10000000 0.23561945 1.00076637 1.00614003
0.10000000 0.31415927 1.00071556 1.00572963
0.10000000 0.39269908 1.00065234 1.00521952
0.10000000 0.47123890 1.00057823 1.00462220
0.10000000 0.54977871 1.00049501 1.00395240
0.10000000 0.62831853 1.00040470 1.00322658
0.10000000 0.70685835 1.00030950 1.00246258
0.10000000 0.78539816 1.00021172 1.00167924
0.10000000 0.86393798 1.00011376 1.00089578
0.10000000 0.94247780 1.00001804 1.00013152
0.10000000 1.02101761 0.99992692 0.99940521
0.10000000 1.09955743 0.99984268 0.99873478
0.10000000 1.17809725 0.99976741 0.99813667
0.10000000 1.25663706 0.99970299 0.99762562
0.10000000 1.33517688 0.99965105 0.99721419
0.10000000 1.41371669 0.99961289 0.99691249
0.10000000 1.49225651 0.99958948 0.99672792
0.10000000 1.57079633 0.99958139 0.99666519
0.15000000 0.00000000 1.00186576 1.01505267
0.15000000 0.07853982 1.00184887 1.01491465
0.15000000 0.15707963 1.00179859 1.01450191
0.15000000 0.23561945 1.00171607 1.01382528
0.15000000 0.31415927 1.00160321 1.01290138
0.15000000 0.39269908 1.00146262 1.01175292
0.15000000 0.47123890 1.00129757 1.01040812
0.15000000 0.54977871 1.00111194 1.00890003
0.15000000 0.62831853 1.00091012 1.00726575
0.15000000 0.70685835 1.00069695 1.00554551
0.15000000 0.78539816 1.00047757 1.00378158
0.15000000 0.86393798 1.00025736 1.00201741
0.15000000 0.94247780 1.00004174 1.00029636
0.15000000 1.02101761 0.99983611 0.99866085
0.15000000 1.09955743 0.99964564 0.99715108
0.15000000 1.17809725 0.99947519 0.99580421
0.15000000 1.25663706 0.99932911 0.99465338
0.15000000 1.33517688 0.99921119 0.99372688
0.15000000 1.41371669 0.99912448 0.99304749
0.15000000 1.49225651 0.99907124 0.99263187
0.15000000 1.57079633 0.99905284 0.99249041
0.20000000 0.00000000 1.00329018 1.02678098
0.20000000 0.07853982 1.00326077 1.02653499
0.20000000 0.15707963 1.00317320 1.02580086
0.20000000 0.23561945 1.00302937 1.02459732
0.20000000 0.31415927 1.00283238 1.02295391
0.20000000 0.39269908 1.00258658 1.02091095
0.20000000 0.47123890 1.00229744 1.01851860
0.20000000 0.54977871 1.00197148 1.01583563
0.20000000 0.62831853 1.00161620 1.01292802
0.20000000 0.70685835 1.00123992 1.00986729
0.20000000 0.78539816 1.00085162 1.00672873
0.20000000 0.86393798 1.00046074 1.00358969
0.20000000 0.94247780 1.00007696 1.00052738
0.20000000 1.02101761 0.99970999 0.99761724
0.20000000 1.09955743 0.99936925 0.99493093
0.20000000 1.17809725 0.99906364 0.99253453
0.20000000 1.25663706 0.99880124 0.99048698
0.20000000 1.33517688 0.99858907 0.98883862
0.20000000 1.41371669 0.99843287 0.98762992
0.20000000 1.49225651 0.99833687 0.98689054
0.20000000 1.57079633 0.99830371 0.98663875
0.25000000 0.00000000 1.00508493 1.04187405
0.25000000 0.07853982 1.00504023 1.04148914
0.25000000 0.15707963 1.00490706 1.04034172
0.25000000 0.23561945 1.00468806 1.03846048
0.25000000 0.31415927 1.00438764 1.03589151
0.25000000 0.39269908 1.00401195 1.03269765
0.25000000 0.47123890 1.00356884 1.02895727
0.25000000 0.54977871 1.00306784 1.02476215
0.25000000 0.62831853 1.00252000 1.02021544
0.25000000 0.70685835 1.00193776 1.01542903
0.25000000 0.78539816 1.00133478 1.01052087
0.25000000 0.86393798 1.00072563 1.00561190
0.25000000 0.94247780 1.00012548 1.00082314
0.25000000 1.02101761 0.99954969 0.99627263
0.25000000 1.09955743 0.99901342 0.99207241
0.25000000 1.17809725 0.99853108 0.98832584
0.25000000 1.25663706 0.99811595 0.98512500
0.25000000 1.33517688 0.99777962 0.98254841
0.25000000 1.41371669 0.99753164 0.98065924
0.25000000 1.49225651 0.99737910 0.97950365
0.25000000 1.57079633 0.99732638 0.97911004
0.30000000 0.00000000 1.00721889 1.06032426
0.30000000 0.07853982 1.00715672 1.05976972
0.30000000 0.15707963 1.00697138 1.05811740
0.30000000 0.23561945 1.00666613 1.05540823
0.30000000 0.31415927 1.00624652 1.05170819
0.30000000 0.39269908 1.00572036 1.04710758
0.30000000 0.47123890 1.00509779 1.04171896
0.30000000 0.54977871 1.00439130 1.03567454
0.30000000 0.62831853 1.00361568 1.02912294
0.30000000 0.70685835 1.00278790 1.02222562
0.30000000 0.78539816 1.00192694 1.01515283
