! Sound-speed inversion results from the mean-multiplet frequencies.

! table from
! "Measurements of Frequencies of Solar Oscillations from the MDI medium-l Program"
! by E.J. Rhodes, Jr., A.G. Kosovichev, P.H. Scherrer, J. Schou & J. Reiter 
! http://soho.nascom.nasa.gov/publications/CDROM1/papers/rhodes/table6b.txt



    r0/R     c_mod,cm/s  c_sun,cm/s  sigma_c,cm/s  dc^2/c^2    sigma_c^2   width/R

  8.9600e-02  5.0974e+07  5.0950e+07  1.7153e+04 -9.1700e-04  6.7300e-04  6.5600e-02
  9.0400e-02  5.0962e+07  5.0937e+07  1.7123e+04 -9.9000e-04  6.7200e-04  6.0200e-02
  9.2800e-02  5.0923e+07  5.0895e+07  1.6805e+04 -1.0800e-03  6.6000e-04  5.6300e-02
  9.7400e-02  5.0835e+07  5.0805e+07  1.6089e+04 -1.1900e-03  6.3300e-04  5.3900e-02
  1.0500e-01  5.0652e+07  5.0619e+07  1.4993e+04 -1.3100e-03  5.9200e-04  5.2000e-02
  1.1400e-01  5.0377e+07  5.0341e+07  1.3551e+04 -1.4300e-03  5.3800e-04  4.9200e-02
  1.2500e-01  4.9957e+07  4.9918e+07  1.1990e+04 -1.5500e-03  4.8000e-04  4.4700e-02
  1.3500e-01  4.9504e+07  4.9463e+07  1.0495e+04 -1.6200e-03  4.2400e-04  3.9300e-02
  1.4300e-01  4.9098e+07  4.9057e+07  9.1322e+03 -1.6500e-03  3.7200e-04  3.5200e-02
  1.5000e-01  4.8715e+07  4.8676e+07  7.9406e+03 -1.6000e-03  3.2600e-04  3.3000e-02
  1.5800e-01  4.8250e+07  4.8213e+07  6.8756e+03 -1.5200e-03  2.8500e-04  3.2000e-02
  1.6600e-01  4.7760e+07  4.7726e+07  5.9700e+03 -1.4300e-03  2.5000e-04  3.1500e-02
  1.7600e-01  4.7120e+07  4.7087e+07  5.3010e+03 -1.3700e-03  2.2500e-04  3.1400e-02
  1.8800e-01  4.6322e+07  4.6290e+07  4.7712e+03 -1.3900e-03  2.0600e-04  3.1400e-02
  2.0100e-01  4.5437e+07  4.5403e+07  4.3847e+03 -1.4700e-03  1.9300e-04  3.0900e-02
  2.1400e-01  4.4544e+07  4.4509e+07  4.0313e+03 -1.5600e-03  1.8100e-04  2.9900e-02
  2.2700e-01  4.3654e+07  4.3620e+07  3.6887e+03 -1.5600e-03  1.6900e-04  2.8500e-02
  2.3900e-01  4.2841e+07  4.2810e+07  3.3630e+03 -1.4100e-03  1.5700e-04  2.7200e-02
  2.5100e-01  4.2041e+07  4.2019e+07  3.0690e+03 -1.0700e-03  1.4600e-04  2.6300e-02
  2.6300e-01  4.1259e+07  4.1247e+07  2.8469e+03 -5.9100e-04  1.3800e-04  2.5800e-02
  2.7500e-01  4.0498e+07  4.0495e+07  2.7538e+03 -1.1800e-04  1.3600e-04  2.5200e-02
  2.8800e-01  3.9700e+07  3.9704e+07  2.6401e+03  1.8700e-04  1.3300e-04  2.4400e-02
  3.0000e-01  3.8990e+07  3.8994e+07  2.3979e+03  2.3900e-04  1.2300e-04  2.3800e-02
  3.1300e-01  3.8247e+07  3.8249e+07  2.2565e+03  1.0800e-04  1.1800e-04  2.3300e-02
  3.2500e-01  3.7584e+07  3.7583e+07  2.1986e+03 -1.0600e-05  1.1700e-04  2.2600e-02
  3.3800e-01  3.6889e+07  3.6890e+07  2.0473e+03  7.3700e-05  1.1100e-04  2.2000e-02
  3.5000e-01  3.6269e+07  3.6276e+07  1.9585e+03  3.9700e-04  1.0800e-04  2.1600e-02
  3.6300e-01  3.5620e+07  3.5634e+07  1.8879e+03  8.0000e-04  1.0600e-04  2.1100e-02
  3.7500e-01  3.5040e+07  3.5059e+07  1.7485e+03  1.0500e-03  9.9800e-05  2.0600e-02
  3.8800e-01  3.4432e+07  3.4450e+07  1.7388e+03  1.0500e-03  1.0100e-04  2.0100e-02
  4.0000e-01  3.3887e+07  3.3903e+07  1.6825e+03  9.4100e-04  9.9300e-05  1.9700e-02
  4.1300e-01  3.3315e+07  3.3331e+07  1.5858e+03  9.6900e-04  9.5200e-05  1.9100e-02
  4.2500e-01  3.2803e+07  3.2822e+07  1.5548e+03  1.2100e-03  9.4800e-05  1.8700e-02
  4.3800e-01  3.2264e+07  3.2288e+07  1.4761e+03  1.4700e-03  9.1500e-05  1.8400e-02
  4.5000e-01  3.1780e+07  3.1805e+07  1.4746e+03  1.5500e-03  9.2800e-05  1.7900e-02
  4.6300e-01  3.1271e+07  3.1293e+07  1.4041e+03  1.4300e-03  8.9800e-05  1.7700e-02
  4.7500e-01  3.0813e+07  3.0834e+07  1.3989e+03  1.3400e-03  9.0800e-05  1.7200e-02
  4.8700e-01  3.0366e+07  3.0387e+07  1.3331e+03  1.4000e-03  8.7800e-05  1.6900e-02
  5.0000e-01  2.9893e+07  2.9915e+07  1.3168e+03  1.4600e-03  8.8100e-05  1.6500e-02
  5.1300e-01  2.9430e+07  2.9451e+07  1.2714e+03  1.3700e-03  8.6400e-05  1.6200e-02
  5.2500e-01  2.9012e+07  2.9030e+07  1.2359e+03  1.2200e-03  8.5200e-05  1.5900e-02
  5.3700e-01  2.8601e+07  2.8619e+07  1.2184e+03  1.2100e-03  8.5200e-05  1.5600e-02
  5.5000e-01  2.8163e+07  2.8181e+07  1.1660e+03  1.2900e-03  8.2800e-05  1.5400e-02
  5.6200e-01  2.7764e+07  2.7781e+07  1.1703e+03  1.2400e-03  8.4300e-05  1.5100e-02
  5.7500e-01  2.7336e+07  2.7350e+07  1.1221e+03  1.0500e-03  8.2100e-05  1.4800e-02
  5.8700e-01  2.6944e+07  2.6956e+07  1.1087e+03  9.5200e-04  8.2300e-05  1.4500e-02
  6.0000e-01  2.6519e+07  2.6534e+07  1.0793e+03  1.1100e-03  8.1400e-05  1.4300e-02
  6.1200e-01  2.6126e+07  2.6146e+07  1.0503e+03  1.4900e-03  8.0400e-05  1.4100e-02
  6.2500e-01  2.5697e+07  2.5723e+07  1.0446e+03  1.9700e-03  8.1300e-05  1.3700e-02
  6.3700e-01  2.5296e+07  2.5327e+07  9.8653e+02  2.4900e-03  7.8000e-05  1.3600e-02
  6.5000e-01  2.4852e+07  2.4891e+07  9.8664e+02  3.0900e-03  7.9400e-05  1.3200e-02
  6.6300e-01  2.4397e+07  2.4443e+07  9.4540e+02  3.7400e-03  7.7500e-05  1.3000e-02
  6.7500e-01  2.3962e+07  2.4011e+07  9.4292e+02  4.0100e-03  7.8700e-05  1.2700e-02
  6.8700e-01  2.3507e+07  2.3546e+07  9.0619e+02  3.3000e-03  7.7100e-05  1.2500e-02
  7.0000e-01  2.2975e+07  2.2998e+07  8.8452e+02  2.0300e-03  7.7000e-05  1.2200e-02
  7.1200e-01  2.2416e+07  2.2429e+07  8.8879e+02  1.1400e-03  7.9300e-05  1.1900e-02
  7.2500e-01  2.1710e+07  2.1717e+07  8.5970e+02  7.0000e-04  7.9200e-05  1.1600e-02
  7.3700e-01  2.1058e+07  2.1062e+07  8.5180e+02  3.9300e-04  8.0900e-05  1.1200e-02
  7.5000e-01  2.0352e+07  2.0357e+07  8.3952e+02  5.0000e-04  8.2500e-05  1.0800e-02
